gene	geneProduct
V1000546	Maltose/maltodextrin-binding protein precursor
V1464571	Elongation factor Tu-B
V1000545	Maltose transport system permease protein MalF
V1000122	Elongation factor Tu
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1000004	DNA-directed RNA polymerase subunit alpha
V1000640	Phosphoglycerate kinase
V1158426	PTS system mannose-specific EIIC component
V1016072	DNA replication initiation protein gpA
V1000116	Pyruvate kinase
V1016074	capsid protein
V1000549	Maltose phosphorylase
V1143274	gram-positive signal peptide%2C YSIRK family
V1503141	LPXTG cell wall anchor domain protein
V1001368	EIIAB-Man
V1912442	6-phosphofructokinase
V1016073	minor spike protein
V1144133	hypothetical protein
V1000487	Fructose-bisphosphate aldolase
V1000548	Beta-phosphoglucomutase
V1000527	Vegetative protein 19
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1000943	50S ribosomal protein L11
V1006020	50S ribosomal protein L2
V1000305	Enolase
V1000596	Stress protein H5
V1000018	hypothetical protein
V1000841	F-type ATPase subunit delta
V1195882	Fructose-bisphosphate aldolase
V1000017	50S ribosomal protein L16
V1042355	EIIAB-Man
V1000079	DNA gyrase subunit A
V1073967	50S ribosomal protein L10
V1430708	LPXTG cell wall anchor domain protein
V1000008	Adenylate kinase
V1851967	Heat-inducible transcription repressor HrcA
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1000840	F-ATPase gamma subunit
V1339706	PTS system mannose-specific EIIC component
V1000021	50S ribosomal protein L3
V1339929	L-lactate dehydrogenase
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1000547	Trehalose import ATP-binding protein SugC
V1036606	F-type ATPase subunit b
V1000641	Triosephosphate isomerase
V1392216	Stress protein H5
V1000642	Enolase
V1541158	major spike protein
V1580898	hypothetical protein
V1836833	C protein alpha-antigen precursor
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1203355	Chaperone protein DnaJ
V1431607	50S ribosomal protein L21
V1852084	50S ribosomal protein L23
V1000842	F-ATPase subunit 6
V1338854	Immunoglobulin G-binding protein G precursor
V1391945	product=Deoxyuridine 5'-triphosphate nucleotidohydrolase
V1306539	50S ribosomal protein L13
V1381099	F-ATPase gamma subunit
V1552772	Pyruvate kinase
V1836823	hypothetical protein
V1000134	HSP-70 cofactor
V1574099	PTS system mannose-specific EIIC component
V1034630	DNA protection during starvation protein
V1000003	hypothetical protein
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1580955	Heat shock protein 70
V1151035	Immunoglobulin G-binding protein G precursor
V1000007	Translation initiation factor IF-1
V1000011	50S ribosomal protein L18
V1000005	30S ribosomal protein S11
V1608705	Surface layer protein
V1464396	hypothetical protein
V1694047	hypothetical protein
V1204223	repeat
V1167440	6-phospho-alpha-glucosidase 1
V1064200	Alpha-glycerophosphate oxidase
V1000845	Glucose-6-phosphate isomerase
V1000013	30S ribosomal protein S8
V1190407	Immunoglobulin G-binding protein G precursor
V1235890	Immunoglobulin G-binding protein G precursor
V1886336	Phosphocarrier protein HPr
V1594784	Diacylglycerol kinase
V1295196	Cell division protein FtsA
V1064214	external scaffolding protein
V1852083	50S ribosomal protein L5
V1000143	Elongation factor Ts
V1000184	Bacteriophage peptidoglycan hydrolase
V1295109	Thiol-activated cytolysin
V1000638	Central glycolytic genes regulator
V1491714	30S ribosomal protein S1
V1000080	hypothetical protein
V1000944	50S ribosomal protein L1
V1000528	30S ribosomal protein S7
V1851982	putative ABC transporter ATP-binding protein YheS
V1887021	Trigger factor
V1000519	PTS system maltose-specific EIICB component
V1836804	Lysine--tRNA ligase
V1000828	ATP-dependent zinc metalloprotease FtsH
V1162881	Phosphoglucomutase
V1000570	Rod shape-determining protein MreB
V1828770	Phosphoenolpyruvate synthase
V1851964	hypothetical protein
V1000616	Immunoglobulin G-binding protein G precursor
V1191213	type 2 lantibiotic biosynthesis protein LanM
V1390171	C protein alpha-antigen precursor
V1000627	Ribonuclease Y
V1006021	hypothetical protein
V1420563	DNA gyrase subunit B
V1615860	repeat
V1112930	gram-positive signal peptide%2C YSIRK family
V1006727	30S ribosomal protein S1
V1059001	Phosphoenolpyruvate-protein phosphotransferase
V1000551	Intracellular maltogenic amylase
V1581223	Helix-destabilizing protein
V1000009	50S ribosomal protein L15
V1542216	hypothetical protein
V1366240	Surface layer protein
V1075411	Vegetative protein 19
V1499093	co-chaperonin GroES
V1299127	Penicillin-binding protein B
V1364877	F-ATPase epsilon subunit
V1064534	DNA-directed RNA polymerase subunit beta
V1000109	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
V1483972	C protein alpha-antigen precursor
V1381169	DNA-directed RNA polymerase subunit beta
V1000326	Threonine--tRNA ligase
V1000012	50S ribosomal protein L6
V1000010	50S ribosomal protein L30
V1000835	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
V1836805	Copper-exporting P-type ATPase B
V1380652	50S ribosomal protein L15
V1552777	Translation initiation factor IF-2
V1151580	Pollen proteins Ole e I like protein
V1338863	Pyruvate kinase
V1000564	Cell division protein FtsZ
V1000892	Phosphoglucosamine mutase
V1033079	6-phosphofructokinase
V1481366	30S ribosomal protein S1
V1001475	putative ABC transporter ATP-binding protein YxlF
V1445136	Immunoglobulin G-binding protein G precursor
V1000168	Isoleucine--tRNA ligase
V1000601	Alanine--tRNA ligase
V1445209	Immunoglobulin G-binding protein G precursor
V1000499	Glutamyl-tRNA(Gln) amidotransferase subunit A
V1339707	Rib/alpha/Esp surface antigen repeat
V1000603	Putative Holliday junction resolvase
V1000014	50S ribosomal protein L14
V1000001	30S ribosomal protein S9
V1852133	Translation initiation factor IF-3
V1385451	Immunoglobulin G-binding protein G precursor
V1000015	hypothetical protein
V1000630	preprotein translocase subunit SecA
V1836820	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
V1289775	hypothetical protein
V1301126	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
V1000144	Vegetative protein 209
V1000082	Replicative DNA helicase
V1034296	Pyruvate oxidase
V1607579	hypothetical protein
V1032631	Cyclodextrin-binding protein precursor
V1076330	Helix-destabilizing protein
V1400074	ATP-dependent protease ATPase subunit ClpY
V1143377	EIIABC-Fru
V1060343	F-type ATPase subunit delta
