gene	geneProduct
V1143274	gram-positive signal peptide%2C YSIRK family
V1000546	Maltose/maltodextrin-binding protein precursor
V1000122	Elongation factor Tu
V1836803	Beta-N-acetylhexosaminidase precursor
V1016072	DNA replication initiation protein gpA
V1000549	Maltose phosphorylase
V1016074	capsid protein
V1000545	Maltose transport system permease protein MalF
V1464571	Elongation factor Tu-B
V1000004	DNA-directed RNA polymerase subunit alpha
V1310212	Beta-N-acetylhexosaminidase precursor
V1010364	Outer membrane protein alpha precursor
V1016073	minor spike protein
V1073455	Phosphoenolpyruvate carboxykinase [ATP]
V1000171	Oligopeptide-binding protein AppA precursor
V1079798	TonB-linked outer membrane protein%2C SusC/RagA family
V1836823	hypothetical protein
V1001368	EIIAB-Man
V1000548	Beta-phosphoglucomutase
V1000116	Pyruvate kinase
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1574099	PTS system mannose-specific EIIC component
V1391945	product=Deoxyuridine 5'-triphosphate nucleotidohydrolase
V1485691	Elongation factor Tu
V1000527	Vegetative protein 19
V1158426	PTS system mannose-specific EIIC component
V1000018	hypothetical protein
V1075033	Glyceraldehyde-3-phosphate dehydrogenase A
V1073967	50S ribosomal protein L10
V1912442	6-phosphofructokinase
V1541158	major spike protein
V1431607	50S ribosomal protein L21
V1138842	30S ribosomal protein S1
V1000841	F-type ATPase subunit delta
V1000943	50S ribosomal protein L11
V1000008	Adenylate kinase
V1000547	Trehalose import ATP-binding protein SugC
V1010320	putative FAD-linked oxidoreductase
V1000487	Fructose-bisphosphate aldolase
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1267384	Procyclic acidic repetitive protein (PARP)
V1851980	Procyclic acidic repetitive protein (PARP)
V1000021	50S ribosomal protein L3
V1000640	Phosphoglycerate kinase
V1883290	hypothetical protein
V1306539	50S ribosomal protein L13
V1000840	F-ATPase gamma subunit
V1500439	Elongation factor Tu
V1079799	SusD family protein
V1852109	gram-positive signal peptide%2C YSIRK family
V1195882	Fructose-bisphosphate aldolase
V1015469	Electron transfer flavoprotein large subunit
V1000079	DNA gyrase subunit A
V1265423	hypothetical protein
V1072266	Enolase
V1000017	50S ribosomal protein L16
V1074522	Biopolymer transport protein ExbD/TolR
V1036606	F-type ATPase subunit b
V1000305	Enolase
V1499465	hypothetical protein
V1088192	hypothetical protein
V1077152	50S ribosomal protein L10
V1580898	hypothetical protein
V1339929	L-lactate dehydrogenase
V1081400	Biopolymer transport protein ExbB
V1491714	30S ribosomal protein S1
V1000842	F-ATPase subunit 6
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1499048	DNA-directed RNA polymerase subunit beta
V1150294	Serine 3-dehydrogenase
V1290863	gram-positive signal peptide%2C YSIRK family
V1006727	30S ribosomal protein S1
V1074069	hypothetical protein
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1071037	Stage 0 sporulation protein KA
V1064214	external scaffolding protein
