gene	geneProduct
V1608705	Surface layer protein
V1338863	Pyruvate kinase
V1033079	6-phosphofructokinase
V1034259	Elongation factor Tu
V1033096	DNA-directed RNA polymerase subunit alpha
V1032513	50S ribosomal protein L10
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1032825	preprotein translocase subunit SecY
V1694047	hypothetical protein
V1016072	DNA replication initiation protein gpA
V1032815	50S ribosomal protein L16
V1032814	hypothetical protein
V1047208	Elongation factor G
V1032826	Adenylate kinase
V1204502	Anaerobic ribonucleoside-triphosphate reductase
V1033549	Enolase
V1016074	capsid protein
V1872734	50S ribosomal protein L11
V1033091	50S ribosomal protein L13
V1016073	minor spike protein
V1885172	ATP synthase subunit alpha
V1032750	Vegetative protein 209
V1033558	Phosphoglycerate kinase
V1033097	Carbamoyl-phosphate synthase large chain
V1032984	hypothetical protein
V1032631	Cyclodextrin-binding protein precursor
V1032527	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1032751	Elongation factor Ts
V1046995	F-ATPase gamma subunit
V1608729	Surface layer protein
V1033500	Fructose-bisphosphate aldolase
V1765286	Fructose-bisphosphate aldolase
V1424927	50S ribosomal protein L18
V1887313	30S ribosomal protein S6
V1033629	Heat shock protein 70
V1046993	F-type ATPase subunit b
V1032819	50S ribosomal protein L24
V1032808	50S ribosomal protein L4
V1032528	ribosomal-protein-alanine N-acetyltransferase
V1755587	hypothetical protein
V1032617	Phosphate import ATP-binding protein PstB 3
V1032820	50S ribosomal protein L5
V1046991	F-ATPase subunit 6
V1032681	L-lactate dehydrogenase
V1032638	Translation initiation factor IF-2
V1366240	Surface layer protein
V1807974	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1887290	Translation initiation factor IF-3
V1033306	Trigger factor
V1032822	hypothetical protein
V1032341	F-ATPase epsilon subunit
V1047060	Oligopeptide-binding protein AppA precursor
V1032342	ATP synthase subunit beta
V1541158	major spike protein
V1033003	Phosphoenolpyruvate-protein phosphotransferase
V1338860	Proline--tRNA ligase
V1162609	Folate ECF transporter S component FolT
V1552800	30S ribosomal protein S1
V1884884	Magnesium-transporting ATPase%2C P-type 1
V1032303	Diacylglycerol kinase
V1032809	50S ribosomal protein L23
V1033578	putative bacteriocin transport accessory protein
V1033428	EIIAB-Man
V1032618	Phosphate regulon transcriptional regulatory protein PhoB
V1163789	Deoxyadenosine kinase
V1033464	Glutamine synthetase
V1552772	Pyruvate kinase
V1032824	50S ribosomal protein L15
V1806605	Beta-phosphoglucomutase
V1032713	30S ribosomal protein S12
V1032526	Acyl-ACP thioesterase
V1032821	30S ribosomal protein S8
V1032792	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
V1806611	D-lactate dehydrogenase
V1033133	Ribosomal RNA small subunit methyltransferase H
V1033346	Valine--tRNA ligase
V1872751	gram-positive signal peptide%2C YSIRK family
V1033034	50S ribosomal protein L35
V1033341	DAK2 domain fusion protein YloV
V1163652	ATP-dependent zinc metalloprotease FtsH
V1033559	Triosephosphate isomerase
V1150427	Fructose-bisphosphate aldolase
V1046994	F-type ATPase subunit delta
V1032979	50S ribosomal protein L21
V1047181	Multiple sugar-binding protein precursor
V1684154	DNA-directed RNA polymerase subunit beta'
V1032817	hypothetical protein
V1143661	Ribonuclease Y
V1033129	Phosphoenolpyruvate-protein phosphotransferase
V1032715	Glutamate--tRNA ligase
V1684155	DNA-directed RNA polymerase subunit beta
V1204734	Aldehyde-alcohol dehydrogenase
V1033056	Purine nucleoside receptor A
V1886984	PhoU-like phosphate uptake regulator
V1610069	50S ribosomal protein L6
V1032333	30S ribosomal protein S4
V1684175	D-alanyl-lipoteichoic acid biosynthesis protein DltB
V1034296	Pyruvate oxidase
V1032372	D-alanyl-lipoteichoic acid biosynthesis protein DltD
V1032827	Translation initiation factor IF-1
V1032619	Alkaline phosphatase synthesis sensor protein PhoR
V1032639	hypothetical protein
V1064214	external scaffolding protein
V1684153	50S ribosomal protein L2
V1047291	hypothetical protein
V1033216	hypothetical protein
V1033740	Central glycolytic genes regulator
V1684093	Zinc metalloprotease RasP
V1032374	D-alanine--poly(phosphoribitol) ligase subunit 1
V1033667	S-adenosylmethionine synthase
V1033375	Trigger factor
V1033276	Isoleucine--tRNA ligase
V1828832	Alkaline phosphatase synthesis sensor protein PhoR
V1032309	Stress protein H5
V1880844	Heterocyst differentiation ATP-binding protein HepA
V1034213	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1032210	anaerobic ribonucleotide reductase-activating protein
V1032616	Phosphate transport system permease protein PstA
V1002229	Transposase DDE domain protein
V1032301	Glutamyl-tRNA(Gln) amidotransferase subunit A
V1032339	Rod shape-determining protein MreB
V1203697	Bifunctional protein FolD protein
V1032473	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
V1032714	30S ribosomal protein S7
V1032630	Trehalose import ATP-binding protein SugC
V1032632	Maltose transport system permease protein MalF
V1047007	Glycine--tRNA ligase beta subunit
V1032670	putative transcriptional regulatory protein
V1033614	Arginine--tRNA ligase
V1033134	Saliva-binding protein
V1808000	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
V1034256	DNA topoisomerase 4 subunit B
V1033085	FtsX-like permease family protein
V1032514	hypothetical protein
V1882158	hypothetical protein
V1032620	Ribonucleoside-diphosphate reductase 2 subunit beta
V1032983	hypothetical protein
V1033821	hypothetical protein
V1032628	Intracellular maltogenic amylase
V1769429	30S ribosomal protein S11
V1033322	Surface layer protein
V1884418	Bacterial Ig-like domain (group 3)
V1032397	Recombinase A
V1033426	product=hypothetical protein
V1796904	Aminopeptidase N
V1046990	Ditrans%2Cpolycis-undecaprenyl-diphosphate synthase ((2E%2C6E)-farnesyl-diphosphate specific)
V1204587	Minicell-associated protein DivIVA
V1032634	Heat-inducible transcription repressor HrcA
V1032763	Surface layer protein
V1204335	PPOX class probable F420-dependent enzyme%2C family
V1032823	50S ribosomal protein L30
V1033098	Carbamoyl-phosphate synthase small chain
V1032315	Alanine--tRNA ligase
V1046989	HSP-70 cofactor
V1034179	Glyceraldehyde-3-phosphate dehydrogenase
V1032218	Glutamine transport ATP-binding protein GlnQ
