gene	count	length
V1006735	209586	1347
V1464571	83063	1452
V1000122	80660	1191
V1469467	73439	441
V1000004	69891	939
V1000546	68874	1215
V1000639	61405	1017
V1000549	59642	2274
V1000116	53970	1770
V1016072	52208	1569
V1362340	51430	7902
V1577228	47107	1896
V1000640	46242	1215
V1000596	45195	1635
V1852109	44846	1302
V1576144	43248	1308
V1912442	43053	996
V1034630	42643	483
V1000527	42149	2091
V1578275	41757	1341
V1016074	41463	1284
V1093074	40335	510
V1430275	39343	1515
V1000642	38509	1299
V1043485	38073	309
V1000018	38019	675
V1000487	37853	915
V1000545	37727	1350
V1000886	36732	1290
V1000548	35357	663
V1006020	34618	837
V1203355	34616	1143
V1016073	34111	987
V1464170	33917	1515
V1000534	33769	720
V1164548	32489	3666
V1033869	30925	537
V1000943	30866	426
V1851967	29677	1083
V1195882	29135	870
V1000017	26841	438
V1000305	26539	1287
V1000841	26315	570
V1000008	26164	651
V1481435	26125	1740
V1036606	25756	501
V1073967	25257	564
V1431607	25155	441
V1000079	25090	2448
V1339929	24562	981
V1580955	24306	588
V1836803	23866	1284
V1482595	23344	621
V1000842	22576	753
V1000021	22517	630
V1469573	22460	300
V1340131	22139	774
V1306539	21891	552
V1001368	21653	990
V1000547	21609	1104
V1310212	21349	1236
V1552772	21203	1770
V1851961	21175	2178
V1000641	20554	756
V1886336	20538	282
V1392216	20389	1011
V1552804	19713	1335
V1000080	18846	297
V1483570	18530	1251
V1547338	18526	291
V1541158	18520	582
V1000129	18326	1899
V1886416	18086	1017
V1000840	17970	954
V1000003	17916	384
V1541236	17614	678
V1886558	17128	351
V1580898	16886	516
V1574099	16525	798
V1608705	16405	1407
V1836804	16262	1512
V1888216	16243	1431
V1852084	16215	366
V1887021	16149	1341
V1033721	15709	1614
V1519450	15703	447
V1000638	15620	1068
V1000134	15596	549
V1144133	15459	426
V1000627	15053	1632
V1481324	14905	1434
V1499093	14797	195
V1158426	14506	810
V1852083	14494	588
V1297356	14456	630
V1000326	14435	1932
V1000944	14400	693
V1000143	14361	879
V1500383	14350	1317
V1000040	14344	2190
V1000106	14330	1677
V1295196	14188	1386
V1482513	14168	2103
V1006736	14136	1020
V1000828	14106	2046
V1000011	13968	360
V1033803	13744	960
V1592992	13683	1509
V1553747	13581	5856
V1430573	13460	360
V1886517	13387	576
V1033902	13125	447
V1000570	13123	1044
V1491714	12947	1425
V1000528	12786	471
V1000013	12723	399
V1364867	12522	120
V1886582	12335	2412
V1000821	12247	1101
V1340164	12146	747
V1143984	12133	573
V1620445	12022	381
V1064214	11967	459
V1162881	11943	1749
V1483404	11853	1866
V1886409	11787	618
V1000551	11749	1749
V1000845	11728	1341
V1000044	11663	1950
V1000005	11596	390
V1594784	11537	915
V1075411	11429	933
V1000014	11394	369
V1000564	11385	1263
V1000827	11353	996
V1006727	11322	1188
V1000109	11254	1314
V1033302	11203	1296
V1464441	11101	2643
V1553523	11094	942
V1000075	11066	372
V1101641	11041	597
V1171078	10997	717
V1059001	10996	1065
V1358422	10893	594
V1886466	10880	348
V1541135	10822	1668
V1000594	10798	3192
V1000012	10745	531
V1164541	10712	2181
V1493841	10650	996
V1851982	10611	1587
V1000601	10598	2721
V1503142	10484	2511
V1356383	10478	897
V1000499	10432	1440
V1000007	10411	252
V1565357	10409	1782
V1481366	10405	930
V1000630	10387	2400
V1381099	10335	741
V1852133	10298	408
V1886605	10154	903
V1034832	10139	1902
V1880077	10116	1347
V1580921	10079	657
V1167440	9848	1344
V1852094	9687	1305
V1046751	9671	1299
V1552777	9649	3591
V1420563	9620	1971
V1164543	9482	1293
V1000009	9386	441
V1000835	9132	1368
V1612021	9040	429
V1891332	9017	5532
V1836820	8948	1560
V1886538	8902	351
V1882239	8856	1098
V1432502	8833	591
V1886399	8802	315
V1503164	8798	9888
V1297375	8698	186
V1000168	8687	2874
V1064534	8682	3699
V1469282	8682	978
V1581637	8666	351
V1000502	8619	1143
V1033557	8551	1017
V1042355	8519	987
V1000093	8439	2286
V1000144	8378	774
V1483085	8378	4182
V1879897	8378	498
V1491685	8355	1116
V1363976	8308	1776
V1000300	8198	1839
V1576349	8180	1101
V1491698	8102	2709
V1204223	8097	7362
V1000171	8069	1752
V1380652	8058	441
V1191213	7992	2637
V1006021	7991	360
V1836800	7883	1131
V1607575	7872	4287
V1000142	7865	726
V1552751	7831	1104
V1203300	7698	1689
V1389769	7590	405
V1006017	7575	1020
V1552718	7535	2568
V1001468	7522	2415
V1879985	7482	561
V1553618	7471	894
V1852121	7440	1557
V1000533	7400	1623
V1000010	7332	186
V1000885	7238	1290
V1581223	7214	405
V1594229	7206	1410
V1213480	7199	1062
V1000307	7194	1338
V1389384	7156	657
V1000001	7148	396
V1000023	7060	993
V1043994	7032	660
V1001475	7011	891
V1000518	7009	807
V1000892	6993	1353
V1033474	6965	894
V1000140	6949	1746
V1000632	6913	1020
V1381169	6850	2031
V1000475	6835	279
V1481436	6815	279
V1060343	6794	360
V1391945	6730	936
V1503004	6723	309
V1694047	6673	228
V1886961	6671	1968
V1886464	6665	255
V1879847	6659	330
V1852140	6612	2028
V1836823	6596	375
V1340709	6557	480
V1299127	6547	2154
V1046767	6534	2709
V1034259	6498	1191
V1000603	6489	432
V1503141	6489	9558
V1445345	6485	183
V1420559	6480	3171
V1000092	6448	1218
V1439186	6421	405
V1000637	6411	585
V1074742	6411	414
V1851966	6411	8442
V1159530	6399	987
V1879918	6397	438
V1592800	6381	195
V1522030	6380	948
V1000558	6370	750
V1144304	6307	342
V1000643	6275	2277
V1554600	6267	480
V1879928	6264	936
V1000108	6247	525
V1033560	6190	741
V1889488	6189	333
V1430882	6179	717
V1000519	6176	1638
V1481312	6148	1500
V1000184	6132	1218
V1885928	6122	2760
V1852039	6111	555
V1000625	6098	1104
V1522724	6096	1353
V1542216	6093	5388
V1481392	6039	147
V1494140	6029	528
V1000500	6027	2019
V1037430	6016	2088
V1000020	5984	285
V1000162	5954	1137
V1000132	5946	2286
V1000593	5935	1083
V1577140	5924	3606
V1364877	5911	441
V1615860	5863	7791
V1481441	5846	1437
V1836833	5844	11382
V1000082	5834	1374
V1886965	5758	444
V1852053	5746	1314
V1594051	5713	1293
V1356068	5681	1698
V1033079	5666	963
V1467000	5628	276
V1886461	5622	321
V1000015	5592	267
V1574088	5592	6735
V1000623	5553	2265
V1000295	5550	2070
V1398674	5542	297
V1000294	5538	1803
V1338863	5516	1779
V1607579	5460	4860
V1000304	5435	1872
V1851983	5402	2235
V1301126	5390	1830
V1000141	5387	798
V1483972	5384	10128
V1298018	5373	261
V1609073	5350	324
V1000081	5292	2016
V1519910	5283	222
V1886513	5242	696
V1000139	5239	4263
V1381763	5227	918
V1469363	5221	864
V1034135	5203	186
V1552713	5175	1353
V1541162	5160	9300
V1000301	5152	2253
V1574082	5150	1281
V1000834	5144	1464
V1608313	5138	450
V1553668	5137	1308
V1562543	5124	618
V1576837	5096	1287
V1000091	5095	1155
V1032631	5024	1227
V1038287	5001	924
V1423320	4997	8682
V1886712	4980	1212
V1364188	4970	1278
V1076330	4954	465
V1000563	4952	627
V1150427	4944	918
V1000069	4937	1839
V1000022	4930	309
V1000117	4930	927
V1879848	4926	324
V1301166	4890	9579
V1503139	4881	2349
V1000155	4855	867
V1151052	4855	7704
V1594437	4849	954
V1000325	4843	201
V1400074	4843	1431
V1390171	4840	9840
V1547329	4838	972
V1000318	4834	2415
V1607589	4821	1551
V1000317	4804	525
V1000503	4774	2664
V1851995	4762	954
V1851978	4760	1308
V1482551	4752	912
V1430753	4749	1890
V1158598	4748	387
V1553528	4731	828
V1000019	4728	354
V1574110	4728	660
V1163596	4718	7965
V1033096	4702	939
V1043313	4679	1005
V1481338	4633	579
V1852142	4578	1302
V1000604	4555	312
V1431657	4551	588
V1553632	4543	978
V1836829	4543	1623
V1464388	4531	3438
V1000572	4506	1266
V1000526	4495	2310
V1520185	4482	393
V1553537	4468	7752
V1852092	4438	525
V1078022	4421	357
V1033375	4417	1299
V1000836	4413	279
V1851988	4354	1392
V1095854	4332	384
V1852138	4332	893
V1000166	4328	564
V1607584	4317	843
V1000073	4281	444
V1006728	4267	837
V1886398	4260	123
V1164544	4248	1830
V1469304	4230	336
V1481429	4228	7854
V1851964	4223	510
V1552764	4219	1407
V1137029	4209	978
V1423289	4209	1266
V1581807	4156	252
V1879882	4150	438
V1912438	4130	5448
V1594655	4090	1035
V1000631	4085	1080
V1339706	4074	804
V1033549	4062	1287
V1598238	4055	1095
V1519499	4053	444
V1006628	4050	822
V1000074	4047	1893
V1420575	4046	834
V1852080	4041	1380
V1001467	4037	1206
V1033129	4033	1521
V1886580	4032	696
V1000180	4003	1314
V1399511	3974	282
V1581271	3974	249
V1047177	3958	2265
V1392006	3957	387
V1852132	3957	1230
V1572527	3951	186
V1077866	3949	387
V1552729	3948	678
V1588328	3920	297
V1381895	3904	1110
V1338161	3884	351
V1035129	3855	1227
V1043350	3852	705
V1886629	3852	888
V1000152	3846	1428
V1469298	3843	636
V1445186	3838	2127
V1503145	3838	630
V1000456	3832	1047
V1872766	3808	2184
V1173748	3792	588
V1144210	3788	402
V1852111	3788	2151
V1000172	3778	930
V1553729	3771	1638
V1464271	3765	9654
V1553598	3762	897
V1000076	3745	141
V1420560	3739	1269
V1530689	3724	1317
V1000037	3717	1311
V1000525	3717	867
V1100534	3711	192
V1076036	3698	942
V1158726	3693	1473
V1143837	3677	273
V1032513	3667	513
V1000086	3660	1089
V1150958	3660	2499
V1581212	3655	507
V1886446	3655	828
V1362252	3647	2790
V1034593	3619	1257
V1295801	3618	807
V1886951	3613	906
V1159013	3595	1371
V1000077	3581	1143
V1851977	3579	930
V1006627	3577	915
V1000574	3563	1728
V1886451	3563	1605
V1000154	3562	1680
V1607588	3559	7899
V1058821	3552	1020
V1886377	3538	1098
V1879849	3537	195
V1836815	3526	1539
V1000592	3522	1278
V1096366	3518	345
V1397482	3518	399
V1415806	3515	4086
V1541133	3512	1395
V1012052	3510	1170
V1033925	3506	198
V1291229	3503	4476
V1886635	3501	849
V1000881	3492	1374
V1339861	3484	435
V1000327	3471	1347
V1469296	3467	267
V1032825	3466	1296
V1594750	3428	576
V1036199	3393	1062
V1000298	3380	444
V1338858	3370	1326
V1000634	3357	2817
V1000938	3355	1413
V1339711	3345	519
V1852118	3329	492
V1442368	3327	948
V1008711	3324	4848
V1047208	3304	2094
V1436021	3294	5076
V1547320	3294	1383
V1000569	3286	849
V1006022	3276	690
V1006029	3257	915
V1886598	3256	468
V1295109	3244	1578
V1000888	3234	477
V1886508	3234	432
V1447216	3231	510
V1420585	3226	1809
V1469274	3223	1095
V1000045	3218	483
V1852085	3210	2775
V1887155	3210	1164
V1033682	3206	1074
V1000057	3203	990
V1000619	3202	399
V1576856	3200	777
V1399043	3193	519
V1420576	3183	840
V1000624	3176	1230
V1574093	3161	6354
V1464174	3157	1170
V1886922	3155	8052
V1000590	3139	543
V1032815	3126	441
V1594580	3123	192
V1886303	3119	999
V1886153	3118	447
V1886512	3108	825
V1382281	3104	300
V1481445	3104	6438
V1000505	3101	699
V1104333	3100	993
V1553617	3100	2817
V1882996	3098	7089
V1000600	3091	957
V1091760	3083	624
V1339795	3077	1146
V1851960	3069	843
V1000622	3067	810
V1000006	3063	117
V1423328	3060	5556
V1886411	3051	1647
V1268426	3044	1983
V1268240	3038	4962
V1886673	3032	2079
V1295628	3029	1017
V1448171	3019	321
V1882989	3018	7992
V1301198	3003	3756
V1033120	3002	639
V1034296	3001	1842
V1851981	3001	5952
V1037449	2991	957
V1481437	2990	1239
V1886400	2986	171
V1000016	2984	186
V1032814	2978	675
V1397554	2972	396
V1000479	2966	654
V1469327	2961	519
V1381260	2959	870
V1836802	2956	513
V1430382	2947	1074
V1006819	2941	786
V1399193	2939	204
V1366629	2925	318
V1851972	2900	1332
V1000605	2899	2361
V1567200	2889	876
V1799411	2885	135
V1875146	2881	639
V1574080	2873	1167
V1607555	2864	900
V1883280	2863	111
V1886979	2861	807
V1436037	2859	1296
V1164542	2849	1047
V1884596	2845	711
V1038282	2841	1251
V1420577	2841	3645
V1886439	2829	1002
V1000118	2826	1923
V1047240	2826	1488
V1464033	2820	1161
V1464337	2818	723
V1136911	2817	1332
V1000062	2815	648
V1032826	2804	657
V1553655	2798	519
V1204502	2791	2223
V1012053	2783	492
V1000046	2781	477
V1151036	2774	861
V1000328	2758	594
V1268292	2744	2712
V1481337	2744	984
