gene	geneProduct
V1342924	Putative endo-beta-N-acetylglucosaminidase precursor
V1013092	Formate acetyltransferase
V1016072	DNA replication initiation protein gpA
V1016074	capsid protein
V1016073	minor spike protein
V1042479	Glyceraldehyde-3-phosphate dehydrogenase A
V1008495	Formate acetyltransferase
V1010947	Vegetative protein 19
V1013090	Fructose-bisphosphate aldolase
V1067188	30S ribosomal protein S1
V1594291	Elongation factor Tu
V1151091	Thiol-activated cytolysin
V1541158	major spike protein
V1011312	Pyruvate-flavodoxin oxidoreductase
V1083372	Stress protein H5
V1070014	Elongation factor Tu
V1230453	Phosphoenolpyruvate carboxykinase [ATP]
V1067673	Elongation factor Tu
V1015220	30S ribosomal protein S2
V1007060	Glyceraldehyde-3-phosphate dehydrogenase
V1367500	Outer membrane porin F precursor
V1042478	Enolase
V1052940	hypothetical protein
V1042531	50S ribosomal protein L1
V1618059	hypothetical protein
V1064214	external scaffolding protein
V1195869	Alkyl hydroperoxide reductase subunit C
V1014080	Elongation factor G
V1040877	Phosphoenolpyruvate carboxykinase [ATP]
V1069194	colicin uptake protein TolQ
V1074835	hypothetical protein
V1081714	hypothetical protein
V1039342	50S ribosomal protein L10
V1041445	co-chaperonin GroES
V1013431	Acyl-CoA dehydrogenase%2C short-chain specific
V1145959	Formate acetyltransferase 1
V1232403	Elongation factor Tu
V1393635	Flagellin subunit protein B2
V1010067	ATP synthase subunit alpha%2C sodium ion specific
V1070848	putative NADH oxidase
V1375517	Outer membrane porin F precursor
V1010069	ATP synthase subunit beta%2C sodium ion specific
V1039005	hypothetical protein
V1066646	Maltose/maltodextrin-binding protein precursor
V1230314	hypothetical protein
V1238174	Vegetative protein 300
V1014358	Pyruvate kinase I
V1265423	hypothetical protein
V1069595	hypothetical protein
V1011783	Aldehyde-alcohol dehydrogenase
V1362709	hypothetical protein
V1007076	Maltose-binding periplasmic proteins/domains
V1041712	biopolymer transport protein ExbD
V1012671	V-type sodium pump subunit B
V1042555	Malate dehydrogenase
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1041711	protein TolR
V1012333	Enolase
V1015867	50S ribosomal protein L11
V1594514	ATP synthase subunit beta%2C sodium ion specific
V1269217	hypothetical protein
V1040473	hypothetical protein
V1067311	Phosphoenolpyruvate carboxykinase [ATP]
V1403660	hypothetical protein
V1040402	ATP synthase subunit beta%2C sodium ion specific
V1067810	NAD-specific glutamate dehydrogenase
V1042989	50S ribosomal protein L27
V1041703	DNA-directed RNA polymerase subunit alpha
V1506464	Elongation factor Tu
V1067936	Formate acetyltransferase
V1040581	protein TolR
V1201698	hypothetical protein
V1014867	EIIAB-Man
V1011136	hypothetical protein
V1230880	Elongation factor G
V1585250	50S ribosomal protein L5
V1106595	hypothetical protein
V1559610	Autolysin
V1040177	Maltodextrin phosphorylase
V1595708	Helix-destabilizing protein
V1067146	hypothetical protein
V1069350	Glyceraldehyde-3-phosphate dehydrogenase
V1039792	30S ribosomal protein S5
V1430967	hypothetical protein
V1231384	hypothetical protein
V1037687	Stress protein H5
V1018031	50S ribosomal protein L11
V1068728	hypothetical protein
V1013432	(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha
V1067144	hypothetical protein
V1153346	hypothetical protein
V1200593	Multiple sugar-binding protein precursor
V1066779	Vegetative protein 209
V1071116	Ribonuclease E
V1394807	Elongation factor Tu
V1409030	DNA protection during starvation protein
V1012423	hypothetical protein
V1010065	F-type ATPase subunit b
V1042495	50S ribosomal protein L11
V1011423	Oxygen-independent coproporphyrinogen-III oxidase 1
V1041069	hypothetical protein
V1640376	Vegetative protein 300
V1085663	co-chaperonin GroES
V1007059	Phosphoglycerate kinase
V1039702	bifunctional preprotein translocase subunit SecD/SecF
V1042496	50S ribosomal protein L1
V1014079	30S ribosomal protein S12
V1548048	DNA-directed RNA polymerase subunit beta'
V1384350	30S ribosomal protein S7
V1015279	50S ribosomal protein L2
V1040657	cellulose synthase subunit BcsC
V1070983	30S ribosomal protein S6
V1181010	hypothetical protein
V1043613	hypothetical protein
V1067672	50S ribosomal protein L7/L12
V1040802	Elongation factor Ts
V1070341	Iron-regulated outer membrane proteins
V1016739	50S ribosomal protein L1
V1041475	chromosome segregation protein SMC
V1011309	putative ribosomal protein
V1047883	RlpA-like protein precursor
V1157905	Inner membrane protein YjiY
V1409362	DNA topoisomerase 1
V1230718	30S ribosomal protein S1
V1640334	DNA-directed RNA polymerase subunit beta'
V1593683	Fimbrial subunit type 1 precursor
V1108111	Elongation factor G
V1040580	Biopolymer transport protein ExbD/TolR
V1012424	30S ribosomal protein S5
V1015219	Elongation factor Ts
V1197020	Formate acetyltransferase 1
V1069011	Flavodoxin
V1362479	Heat shock protein 70-2
V1039790	50S ribosomal protein L15
V1068418	Penicillin-binding protein 1A
V1604687	Ferrous iron transport protein A
V1884213	Pyruvate-flavodoxin oxidoreductase
V1144855	hypothetical protein
V1013130	C4-dicarboxylate anaerobic carrier
V1603838	DNA-directed RNA polymerase subunit alpha
V1196425	hypothetical protein
V1041961	50S ribosomal protein L3
V1066987	Major cold shock protein
V1041071	50S ribosomal protein L24
V1066640	Elongation factor Tu
V1014732	Outer membrane protein alpha precursor
V1067493	Heme/hemopexin utilization protein C precursor
V1013127	Arginine deiminase
V1012302	hypothetical protein
V1152387	Enolase
V1012417	50S ribosomal protein L16
V1044382	Spore protein SP21
V1012030	30S ribosomal protein S11
V1013888	Methionine aminopeptidase 1
V1012414	50S ribosomal protein L3
V1358470	Formate acetyltransferase 1
V1564264	Heat shock protein 70
V1010370	Ferrous iron transport protein B
V1012672	V-type sodium ATPase catalytic subunit A
V1016891	Helix-destabilizing protein
V1103289	PPIC-type PPIASE domain protein
V1041390	hypothetical protein
V1409952	Root adhesin
V1040122	Polyribonucleotide nucleotidyltransferase
V1039764	hypothetical protein
V1012032	DNA-directed RNA polymerase subunit alpha
V1752973	hypothetical protein
V1017114	preprotein translocase%2C SecG subunit
V1231595	Glyceraldehyde-3-phosphate dehydrogenase A
V1043227	50S ribosomal protein L13
V1007050	hypothetical protein
V1463773	hypothetical protein
V1071185	hypothetical protein
V1012419	50S ribosomal protein L14
V1041962	50S ribosomal protein L4
V1151507	hypothetical protein
V1010661	ATP synthase subunit alpha
V1585494	hypothetical protein
V1015469	Electron transfer flavoprotein large subunit
V1066910	Ribonuclease Y
V1069949	Fructose-bisphosphate aldolase
V1291459	hypothetical protein
V1010674	Colicin I receptor precursor
V1068208	30S ribosomal protein S3
V1231130	hypothetical protein
V1012422	30S ribosomal protein S8
V1014869	product=PTS system mannose-specific EIIC component
V1012420	50S ribosomal protein L24
V1408929	Hexagonal wall protein
V1007054	DNA-directed RNA polymerase subunit beta
V1006962	Nucleoside triphosphate pyrophosphohydrolase
V1043792	hypothetical protein
V1070390	ATP-dependent Clp protease proteolytic subunit
V1013966	Pyridoxamine 5'-phosphate oxidase
V1041490	hypothetical protein
V1585936	50S ribosomal protein L15
V1010659	ATP synthase subunit beta
V1014136	Aerobic cobaltochelatase subunit CobN
V1069115	hypothetical protein
V1011651	Phosphoenolpyruvate-protein phosphotransferase
V1752972	hypothetical protein
V1071705	hypothetical protein
V1585317	Flavodoxin-2
V1010068	F-ATPase gamma subunit%2C sodium ion specific
V1018135	Helix-destabilizing protein
V1041068	50S ribosomal protein L29
V1271577	ATP synthase subunit alpha
V1568540	hypothetical protein
V1011087	Heat shock protein 70
V1069206	Regulatory protein AsnC
V1041707	Ferritin
V1382261	RlpA-like protein precursor
V1039788	Translation initiation factor IF-1
V1067671	DNA-directed RNA polymerase subunit beta
V1040349	DNA gyrase subunit B
V1313717	Phosphate acetyltransferase
V1041070	50S ribosomal protein L14
V1294890	Fimbrial subunit type 1 precursor
V1042267	2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase
V1039794	hypothetical protein
V1068860	hypothetical protein
V1069596	50S ribosomal protein L22
V1102813	Filamentous hemagglutinin
V1071534	Pyruvate-flavodoxin oxidoreductase
V1181752	Outer membrane protein alpha precursor
V1388020	30S ribosomal protein S8
V1040696	Lysine--tRNA ligase%2C heat inducible
V1155393	Vegetative protein 19
V1012343	Trigger factor
V1368386	30S ribosomal protein S7
V1007070	Isoleucine--tRNA ligase
V1014359	6-phosphofructokinase
V1013129	Carbamate kinase 1
V1194965	hypothetical protein
V1010667	FeoA domain protein
V1039717	Fumarate reductase flavoprotein subunit
V1039789	preprotein translocase subunit SecY
V1367988	hypothetical protein
V1385524	hypothetical protein
V1103826	hypothetical protein
V1145075	GTPase Era
V1068201	30S ribosomal protein S5
V1016291	pyridoxamine 5'-phosphate oxidase%2C FMN-binding family
V1067254	Colicin I receptor precursor
V1241918	hypothetical protein
V1104099	DNA-directed RNA polymerase subunit beta
V1038290	FeoA domain protein
V1017017	50S ribosomal protein L28
V1007073	sn-glycerol-3-phosphate import ATP-binding protein UgpC
V1068145	Translation initiation factor IF-2
V1102368	type IV pilus biogenesis/stability protein PilW
V1602760	Translation initiation factor IF-2
V1357591	Nickel uptake substrate-specific transmembrane region
V1012031	hypothetical protein
V1016738	50S ribosomal protein L11
V1039879	Glucosamine-6-phosphate deaminase 1
V1015115	Vegetative protein 19
V1171667	hypothetical protein
V1042990	50S ribosomal protein L21
V1072147	hypothetical protein
V1015375	Stress protein H5
V1067559	Phosphoglycerate kinase
V1011471	Purine nucleoside receptor A
V1067529	Lon protease 1
V1102938	Colicin I receptor precursor
V1017113	DNA-binding protein HRm
V1039343	50S ribosomal protein L7/L12
V1146065	Membrane-bound lysozyme-inhibitor of c-type lysozyme
V1066130	Phosphoglucomutase
V1154539	Glyceraldehyde-3-phosphate dehydrogenase
V1151454	Chaperone protein ClpB 1
V1201618	Formate acetyltransferase
V1069108	Trigger factor
V1516671	50S ribosomal protein L31 type B
V1039832	Threonine--tRNA ligase
V1042614	hypothetical protein
V1118483	Maltose/maltodextrin-binding protein precursor
V1169826	Chaperone protein ClpB 1
V1506181	Ribokinase
V1040409	hypothetical protein
V1171494	Septal ring factor
V1015276	hypothetical protein
V1563832	Vegetative protein 209
V1067190	Phenylalanine--tRNA ligase beta subunit
V1082019	hypothetical protein
V1394860	hypothetical protein
V1069236	hypothetical protein
V1201556	DNA-directed RNA polymerase subunit beta'
V1007007	Translation initiation factor IF-2
V1013128	Ornithine carbamoyltransferase
V1240949	TonB-linked outer membrane protein%2C SusC/RagA family
V1230565	Flavodoxin
V1039387	Outer membrane protein MIP precursor
V1080328	hypothetical protein
V1067735	Oxa1Ec
V1043900	50S ribosomal protein L21
V1040259	ATP-dependent zinc metalloprotease FtsH
V1367057	DNA-directed RNA polymerase subunit beta'
V1068363	Phosphoglycerate kinase
V1066925	Oligopeptide-binding protein AppA precursor
V1375131	hypothetical protein
V1923563	hypothetical protein
V1066990	50S ribosomal protein L7/L12
V1168626	Translation initiation factor IF-1
V1074383	Glyceraldehyde-3-phosphate dehydrogenase
V1070081	Heat shock protein J
V1883569	Neopullulanase 2
V1167808	Malate dehydrogenase
V1011347	TonB-linked outer membrane protein%2C SusC/RagA family
V1151496	TonB-linked outer membrane protein%2C SusC/RagA family
V1290735	hypothetical protein
V1291101	hypothetical protein
V1072620	hypothetical protein
V1010946	30S ribosomal protein S7
V1356918	Methionine aminopeptidase 1
V1761748	Membrane-bound lysozyme-inhibitor of c-type lysozyme
V1231237	Acetate CoA-transferase YdiF
V1010263	putative protein involved in outer membrane biogenesis
V1363264	Thiol-activated cytolysin
V1010660	F-ATPase gamma subunit
V1039565	Peptide chain release factor 2
V1011337	30S ribosomal protein S1
V1368493	30S ribosomal protein S8
V1841310	TonB-linked outer membrane protein%2C SusC/RagA family
V1010605	Heat shock protein 70
V1066641	Vegetative protein 19
V1082297	50S ribosomal protein L7/L12
V1066648	DNA-directed RNA polymerase subunit beta
V1070120	hypothetical protein
V1440929	Elongation factor Tu
V1506450	hypothetical protein
V1103507	Tyrosine phosphorylated protein A
V1381041	hypothetical protein
V1430515	Elongation factor G
V1068288	Aldehyde-alcohol dehydrogenase
V1015866	hypothetical protein
V1039793	hypothetical protein
V1241092	hypothetical protein
V1382250	hypothetical protein
V1040552	F-type ATPase subunit b
V1041073	30S ribosomal protein S14
V1535169	50S ribosomal protein L22
V1014360	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1069493	hypothetical protein
V1015868	50S ribosomal protein L1
V1041929	Ribonuclease 3
V1088967	hypothetical protein
V1559180	Flavodoxin
V1039396	Aspartate--tRNA ligase
V1266145	S-adenosylmethionine synthase
V1007161	4-hydroxyphenylacetate decarboxylase large subunit
V1104643	1%2C4-alpha-glucan branching enzyme GlgB
V1114294	Glycosyl hydrolase family 109 protein 1 precursor
V1230228	Vegetative protein 209
V1014074	Formate acetyltransferase
V1195784	hypothetical protein
V1068175	Vegetative protein 209
V1041890	Adenylosuccinate synthetase
V1144897	Trigger factor
V1013967	Dihydrolipoyl dehydrogenase
V1585543	50S ribosomal protein L4
V1014868	PTS system mannose-specific EIIC component
V1069215	Heat shock protein 70
V1013091	Pyruvate formate-lyase 1-activating enzyme
V1007014	Electron transfer flavoprotein small subunit
V1231011	hypothetical protein
V1067675	Tyrosine recombinase XerC
V1040579	transport protein TonB
V1586266	Na+/Pi-cotransporter
V1175702	hypothetical protein
V1231937	DNA-directed RNA polymerase subunit beta'
V1068836	High temperature protein G
V1243501	Tyrosine-protein kinase wzc
V1040352	ribosome hibernation promoting factor HPF
V1013969	Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit alpha
V1068636	hypothetical protein
V1013890	30S ribosomal protein S5
V1532613	hypothetical protein
V1068141	Polyribonucleotide nucleotidyltransferase
V1362603	Vegetative protein 19
V1230866	30S ribosomal protein S5
V1010716	hypothetical protein
V1014378	DNA gyrase subunit A
V1040353	Tyrosine recombinase XerD
V1018464	Vegetative protein 209
V1067736	CTP synthase
V1008496	Pyruvate formate-lyase 1-activating enzyme
V1067558	Glyceraldehyde-3-phosphate dehydrogenase
V1640306	Adenylate kinase
V1016740	Ribosomal protein 'A'
V1016237	Glycogen phosphorylase
V1041963	50S ribosomal protein L23
V1013250	Cold shock protein CspC
V1013304	Thioredoxin reductase
V1039831	Translation initiation factor IF-3
V1528520	hypothetical protein
V1527518	Bifunctional protein GlmU
V1069593	50S ribosomal protein L17
V1013795	Nucleoside triphosphate pyrophosphohydrolase
V1154160	TonB-linked outer membrane protein%2C SusC/RagA family
V1069833	Nickel-binding periplasmic protein precursor
V1040206	TonB-linked outer membrane protein%2C SusC/RagA family
V1012421	Alternate 30S ribosomal protein S14
V1068813	hypothetical protein
V1069524	hypothetical protein
V1394360	putative TonB-dependent receptor precursor
V1761899	Elongation factor Tu
V1229971	hypothetical protein
V1240359	Outer membrane protein alpha precursor
V1072924	50S ribosomal protein L7/L12
V1040761	Cell division protein FtsZ
V1040562	Triosephosphate isomerase
V1014991	putative RNA-binding protein%2C contains TRAM domain
V1066718	Glucose-6-phosphate isomerase B
V1761897	hypothetical protein
V1498433	Methylmalonyl-CoA carboxyltransferase 5S subunit
V1067134	30S ribosomal protein S1
V1235913	ATP synthase subunit alpha
V1368314	hypothetical protein
V1752974	hypothetical protein
V1069014	putative CtpA-like serine protease
V1041739	hypothetical protein
V1139410	Aldehyde-alcohol dehydrogenase
V1039344	hypothetical protein
V1068197	DNA-directed RNA polymerase subunit alpha
V1102242	Colicin I receptor precursor
V1015400	hypothetical protein
V1564223	Colicin I receptor precursor
V1068297	Trigger factor
V1603920	50S ribosomal protein L21
V1071732	30S ribosomal protein S12
V1010943	DNA-directed RNA polymerase subunit beta
V1011090	Putative peptidyl-prolyl cis-trans isomerase Cbf2 precursor
V1091774	hypothetical protein
V1051247	Haemagglutinin
V1013968	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
V1048488	DNA polymerase III subunit beta
V1012033	hypothetical protein
V1640305	preprotein translocase subunit SecY
V1066642	30S ribosomal protein S7
V1068793	Trifunctional nucleotide phosphoesterase protein YfkN precursor
V1013311	putative FAD-linked oxidoreductase
V1068678	Translation initiation factor IF-2
V1010070	Na(+)-translocating ATPase subunit epsilon
V1010180	3-oxoacyl-[acyl-carrier-protein] synthase 2
V1341867	50S ribosomal protein L13
V1047876	Chromosome partition protein Smc
V1145703	Transposase
V1761898	Vegetative protein 19
V1007090	NADH dehydrogenase
V1044484	hypothetical protein
V1145425	TonB-linked outer membrane protein%2C SusC/RagA family
V1465010	PTS system maltose- and glucose-specific EIICB component
V1547956	hypothetical protein
V1069598	Vegetative protein 19
V1041072	50S ribosomal protein L5
V1047979	Glucose-6-phosphate isomerase
V1548529	V-type ATP synthase subunit I
V1122767	Enolase
V1087549	hypothetical protein
V1015297	hypothetical protein
V1230655	Pyruvate-flavodoxin oxidoreductase
V1015374	co-chaperonin GroES
V1069237	Streptopain precursor
V1072836	colicin uptake protein TolQ
V1012416	30S ribosomal protein S19
V1012677	V-type ATP synthase subunit I
V1069719	Glutamate--tRNA ligase
V1231757	Fructose-bisphosphate aldolase
V1081244	hypothetical protein
V1640303	30S ribosomal protein S19
V1012379	Flavodoxin
V1067478	Aminopeptidase E
V1017894	Outer membrane protein
V1068206	hypothetical protein
V1006847	Tyrosine phosphorylated protein A
V1044903	Desulfoferrodoxin
V1041173	Nucleoside triphosphate pyrophosphohydrolase
V1367867	Cytosol non-specific dipeptidase
V1007905	General stress protein 13
V1068831	50S ribosomal protein L9
V1040092	lipopolysaccharide transport periplasmic protein LptA
V1069268	ATPase involved in DNA repair
V1200606	Outer membrane porin F precursor
V1043632	putative transcriptional regulatory proteinc
V1009566	hypothetical protein
V1070346	Methylmalonyl-CoA carboxyltransferase 5S subunit
V1012330	1%2C4-alpha-glucan branching enzyme
V1015282	50S ribosomal protein L16
V1039872	RNA polymerase sigma-54 factor 1
V1016828	preprotein translocase subunit SecA
V1145130	hypothetical protein
V1018030	hypothetical protein
V1023084	chromosome segregation protein
V1069594	50S ribosomal protein L5
V1013433	2-hydroxyglutaryl-CoA dehydratase component A
V1066339	Phosphoserine aminotransferase
V1144854	putative TonB-dependent receptor precursor
V1078361	ATPase involved in DNA repair
V1069488	Histidine--tRNA ligase
V1166804	Colicin I receptor precursor
V1069721	Dipeptidase A
V1009897	Elongation factor Ts
V1068203	50S ribosomal protein L6
V1566472	30S ribosomal protein S12
V1052248	Alkyl hydroperoxide reductase subunit C
V1068022	hypothetical protein
V1171786	hypothetical protein
V1017738	Ribonuclease Y
V1230490	protein TolR
V1141150	Enolase
V1106622	hypothetical protein
V1230869	30S ribosomal protein S8
V1594932	ATP synthase subunit alpha%2C sodium ion specific
V1068537	Pyruvate%2C phosphate dikinase
V1068634	2-oxoglutarate oxidoreductase subunit KorA
V1039836	photosystem I assembly protein Ycf3
V1146840	Flavodoxin
V1007062	DegV domain-containing protein
V1157774	hypothetical protein
V1011014	ATP synthase subunit alpha
V1073961	hypothetical protein
V1071535	hypothetical protein
V1050760	DNA primase
V1067145	lipoprotein involved with copper homeostasis and adhesion
V1011714	Transketolase 1
V1066970	Triosephosphate isomerase
V1232405	50S ribosomal protein L1
V1041182	2-dehydropantoate 2-reductase
V1039856	Alkyl hydroperoxide reductase subunit C
V1265557	Outer membrane protein alpha precursor
V1067670	DNA-directed RNA polymerase subunit beta'
V1069588	Ribonuclease Y
V1089343	hypothetical protein
V1067539	TonB-linked outer membrane protein%2C SusC/RagA family
V1075065	Alcohol dehydrogenase 1
V1067193	Isoleucine--tRNA ligase
V1196355	Inner membrane protein YjjP
V1015217	Rod shape-determining protein MreB
V1752971	putative TonB-dependent receptor precursor
V1182737	NAD-specific glutamate dehydrogenase
V1103293	outer membrane channel protein
V1015277	50S ribosomal protein L3
V1011658	Leucine--tRNA ligase
V1070645	Murein hydrolase activator NlpD precursor
V1014020	nif11 domain/cupin domain protein
V1200321	F-ATPase gamma subunit%2C sodium ion specific
V1042761	DNA protection during starvation protein
V1068223	Peptidyl-prolyl cis-trans isomerase SurA
V1043600	hypothetical protein
V1082589	F5/8 type C domain protein
V1585622	Pyruvate kinase
V1232718	Heat shock protein 70-2
V1041109	High temperature protein G
V1070985	50S ribosomal protein L9
V1065923	ATP synthase subunit beta%2C sodium ion specific
V1009698	Alkyl hydroperoxide reductase subunit C
V1514891	Alanine--tRNA ligase
V1290810	Malonyl CoA-acyl carrier protein transacylase
V1548958	hypothetical protein
V1230227	Elongation factor Ts
V1012038	Pullulanase precursor
V1069670	6-phosphofructokinase isozyme 1
V1006838	hypothetical protein
V1013892	30S ribosomal protein S8
V1168447	Vegetative protein 300
V1367059	Triosephosphate isomerase
V1265582	Elongation factor Tu
V1011086	Heat-inducible transcription repressor HrcA
V1328542	Membrane protein YdfJ
V1562682	Carbon starvation protein A
V1007078	50S ribosomal protein L13
V1066986	Colicin I receptor precursor
V1139691	preprotein translocase subunit SecY
V1327667	Heat shock protein 70
V1524769	Hexagonal wall protein
V1040524	Acyl-CoA dehydrogenase
V1068198	hypothetical protein
V1066338	(S)-sulfolactate dehydrogenase
V1066658	flagellar capping protein
V1007075	Maltose transport system permease protein MalF
V1268420	hypothetical protein
V1070282	Heat shock protein 70-2
V1168418	50S ribosomal protein L13
V1169817	Elongation factor G
V1009565	putative RNA-binding protein (contains KH domain)
V1068196	50S ribosomal protein L17
V1067830	putative glycogen debranching enzyme%2C archaeal type
V1071120	Pyruvate kinase
V1069597	50S ribosomal protein L2
V1020203	hypothetical protein
V1012345	ATP-dependent Clp protease ATP-binding subunit ClpX
V1011009	Putative F0F1-ATPase subunit (ATPase_gene1)
V1014517	pyrroloquinoline quinone biosynthesis protein PqqE
V1507114	50S ribosomal protein L3
V1053762	hypothetical protein
V1012820	(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha
V1066335	hypothetical protein
V1230449	DNA protection during starvation protein
V1343606	hypothetical protein
V1013891	hypothetical protein
V1374349	type IV pilus biogenesis/stability protein PilW
V1039787	30S ribosomal protein S11
V1044337	Alkyl hydroperoxide reductase subunit C
V1380987	hypothetical protein
V1067197	Inner membrane lipoprotein YiaD precursor
V1068556	DNA polymerase III subunit alpha
V1230964	Lon protease 1
V1017115	Triosephosphate isomerase
V1010364	Outer membrane protein alpha precursor
V1012925	Phosphate acetyltransferase
V1436794	Maltose-binding periplasmic proteins/domains
V1089774	phage portal protein%2C SPP1 family
V1230375	Translation initiation factor IF-2
V1051183	Phage terminase-like protein%2C large subunit
