gene	geneProduct
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1265423	hypothetical protein
V1547956	hypothetical protein
V1385524	hypothetical protein
V1238174	Vegetative protein 300
V1037687	Stress protein H5
V1015469	Electron transfer flavoprotein large subunit
V1016072	DNA replication initiation protein gpA
V1010370	Ferrous iron transport protein B
V1175702	hypothetical protein
V1016074	capsid protein
V1015867	50S ribosomal protein L11
V1012379	Flavodoxin
V1010320	putative FAD-linked oxidoreductase
V1015868	50S ribosomal protein L1
V1884213	Pyruvate-flavodoxin oxidoreductase
V1384350	30S ribosomal protein S7
V1201618	Formate acetyltransferase
V1016073	minor spike protein
V1013795	Nucleoside triphosphate pyrophosphohydrolase
V1016891	Helix-destabilizing protein
V1367057	DNA-directed RNA polymerase subunit beta'
V1016291	pyridoxamine 5'-phosphate oxidase%2C FMN-binding family
V1014517	pyrroloquinoline quinone biosynthesis protein PqqE
V1038290	FeoA domain protein
V1010716	hypothetical protein
V1012820	(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha
V1012925	Phosphate acetyltransferase
V1037377	Rubrerythrin
V1036980	Acetate CoA-transferase YdiF
V1013250	Cold shock protein CspC
V1010605	Heat shock protein 70
V1015866	hypothetical protein
V1039764	hypothetical protein
V1265582	Elongation factor Tu
V1038350	putative 3-hydroxybutyryl-CoA dehydrogenase
V1010209	Isoleucine--tRNA ligase
V1012602	Acetate kinase
V1012852	DNA-directed RNA polymerase subunit alpha
V1013990	50S ribosomal protein L21
V1153964	Acyl-CoA dehydrogenase%2C short-chain specific
V1018464	Vegetative protein 209
V1011952	hypothetical protein
V1541158	major spike protein
V1009707	putative NADH oxidase
V1017544	Elongation factor Tu
V1380402	Adhesin YadA precursor
V1014074	Formate acetyltransferase
V1265557	Outer membrane protein alpha precursor
V1166870	Outer membrane protein alpha precursor
V1012819	(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta
V1266145	S-adenosylmethionine synthase
V1009698	Alkyl hydroperoxide reductase subunit C
V1102145	Elongation factor Ts
V1440338	Outer membrane protein alpha precursor
V1875168	Acyl carrier protein
V1016890	hypothetical protein
V1875176	2-hydroxyglutaryl-CoA dehydratase component A
V1576738	methylmalonyl-CoA epimerase
V1884198	Acetyl-CoA acetyltransferase
V1820405	preprotein translocase subunit SecY
V1266125	Formate acetyltransferase
V1466175	Vegetative protein 19
V1011016	ATP synthase subunit beta
V1011009	Putative F0F1-ATPase subunit (ATPase_gene1)
V1012850	hypothetical protein
V1011014	ATP synthase subunit alpha
V1010364	Outer membrane protein alpha precursor
V1166828	hypothetical protein
V1039101	Trigger factor
V1201514	Anaerobic ribonucleoside-triphosphate reductase
V1010826	Translation initiation factor IF-3
V1014932	Oligopeptide-binding protein AppA precursor
V1064214	external scaffolding protein
V1013406	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
V1011483	DNA protection during starvation protein
V1010860	50S ribosomal protein L13
V1017894	Outer membrane protein
V1039802	Benzylsuccinate synthase alpha subunit
V1017590	Aspartokinase
V1014328	hypothetical protein
V1010603	Heat-inducible transcription repressor HrcA
V1011015	F-ATPase gamma subunit
V1009873	Rubredoxin-oxygen oxidoreductase
V1038426	Methionine aminopeptidase 1
