gene	count	length
V1882239	114989	1098
V1608705	109612	1407
V1338863	97168	1779
V1033079	83265	963
V1034259	82585	1191
V1033557	77484	1017
V1033096	66926	939
V1032513	59088	513
V1872766	53314	2184
V1032825	50253	1296
V1694047	49274	228
V1016072	48870	1569
V1032815	48451	441
V1032814	47886	675
V1047208	47861	2094
V1032826	47653	657
V1204502	46945	2223
V1033549	40840	1287
V1016074	39123	1284
V1884596	38192	711
V1884825	36725	213
V1872734	36698	432
V1033091	33042	444
V1016073	31191	987
V1389855	30592	204
V1885172	29911	1527
V1032750	28051	774
V1033558	27953	1293
V1033097	27267	3189
V1032818	27249	369
V1032984	27002	507
V1032631	26094	1227
V1032527	25822	744
V1032751	25769	1026
V1046995	25563	963
V1608729	25188	1830
V1033500	24594	912
V1765286	24524	912
V1424927	24347	360
V1887313	24216	321
V1033629	23539	1854
V1046993	23235	507
V1032807	23140	645
V1032819	23027	237
V1032808	22656	618
V1032528	22630	573
V1755587	22430	375
V1032617	22190	759
V1047294	21066	2934
V1032820	20585	543
V1046991	20411	714
V1032681	20374	972
V1032829	20335	1209
V1032638	20186	2622
V1366240	19191	795
V1807974	18774	1050
V1887290	18573	534
V1799411	18457	135
V1033306	18443	1332
V1032822	17873	507
V1032341	17737	441
V1047060	17683	1821
V1032342	17500	1440
V1541158	17474	582
V1033003	17219	1734
V1338860	16979	1704
V1162609	16973	549
V1552800	16850	951
V1033302	16548	1296
V1884576	16429	921
V1884884	16073	2667
V1883121	15559	858
V1882329	15344	1461
V1032303	15343	921
V1032809	15139	306
V1033578	15017	1305
V1033428	14926	1008
V1032618	14904	678
V1163789	14645	738
V1033464	14392	1338
V1552772	14385	1770
V1032824	14354	441
V1806605	14240	675
V1884560	14175	312
V1032713	14095	408
V1032526	13900	738
V1032821	13807	399
V1032792	13761	1812
V1806611	13639	1050
V1884555	13634	3615
V1033133	13442	948
V1033346	13391	2652
V1882359	13289	423
V1872751	13205	1809
V1882317	13157	717
V1033034	13060	201
V1033341	12998	1662
V1163652	12900	2169
V1033559	12825	759
V1150427	12743	918
V1046994	12658	549
V1212521	12584	480
V1032979	12583	312
V1032629	12394	2265
V1047181	12387	1302
V1033869	12320	537
V1884638	12300	594
V1684154	12234	3660
V1032817	12191	267
V1143661	12157	1638
V1882237	12067	681
V1552805	12044	987
V1032641	11940	4311
V1033129	11869	1521
V1032715	11868	1500
V1684155	11756	3639
V1891261	11745	3564
V1204734	11585	2625
V1033056	11551	1095
V1886984	11505	645
V1610069	11451	537
V1032333	11375	744
V1684175	11339	1239
V1034296	11242	1842
V1032372	11143	1287
V1032827	11127	222
V1032619	11015	1659
V1883097	10995	2337
V1032639	10943	1224
V1064214	10913	459
V1684153	10891	837
V1047291	10784	732
V1033216	10779	432
V1033474	10776	894
V1033740	10732	1056
V1684093	10724	1257
V1032374	10693	1515
V1033667	10501	1200
V1033375	10398	1299
V1033276	10328	2802
V1828832	10245	1635
V1032309	10172	1626
V1880844	10166	1632
V1886281	10102	774
V1034213	10092	729
V1891370	10043	1179
V1032210	9936	714
V1032616	9864	876
V1884566	9607	495
V1002229	9590	858
V1032301	9534	1440
V1032339	9449	990
V1203697	9402	882
V1032473	9392	1572
V1032714	9274	471
V1032630	9239	1107
V1882372	9204	390
V1032632	9197	1359
V1047007	9101	2064
V1032670	9041	729
V1033614	9036	1683
V1033134	9021	930
V1808000	8868	1431
V1034256	8858	1947
V1033085	8790	1062
V1032514	8759	363
V1882158	8732	705
V1032620	8726	1059
V1032983	8701	309
V1033821	8617	753
V1032628	8486	1722
V1769429	8419	393
V1884575	8407	609
V1033322	8343	1140
V1884418	8310	1641
V1032397	8303	1101
V1033426	8277	921
V1796904	8255	2604
V1046990	8189	735
V1032811	8171	504
V1033560	8089	741
V1204587	8054	837
V1032634	8001	1050
V1033902	7869	447
V1032763	7847	1476
V1033782	7833	1077
V1204335	7790	396
V1032823	7788	186
V1033098	7758	1086
V1032315	7746	2640
V1046989	7688	585
V1034179	7679	1029
V1552701	7658	894
V1032218	7586	774
V1032563	7553	1659
V1684077	7553	1428
V1033213	7523	870
V1033168	7521	903
V1032349	7490	630
V1032468	7462	1101
V1032371	7436	942
V1032699	7425	1314
V1684156	7421	1551
V1032813	7407	354
V1202532	7339	669
V1033200	7324	1299
V1884563	7315	549
V1047113	7313	2031
V1032406	7309	1020
V1796922	7271	1407
V1032615	7236	909
V1032978	7232	297
V1806600	7221	1785
V1033033	7215	1854
V1033383	7210	297
V1206514	7187	1041
V1033682	7171	1074
V1032381	7038	2739
V1032407	7027	1386
V1755585	7025	1968
V1806647	7025	1830
V1032812	6997	285
V1032903	6977	3570
V1032434	6870	2421
V1032614	6859	888
V1032476	6847	1404
V1552781	6825	4857
V1886313	6756	1032
V1796890	6742	678
V1033542	6732	525
V1033217	6712	570
V1388962	6676	2466
V1796878	6666	942
V1047070	6642	2109
V1033347	6640	2991
V1338889	6634	1878
V1684092	6630	1362
V1755566	6608	357
V1032211	6598	1284
V1886306	6593	2502
V1755579	6580	2346
V1032299	6579	2025
V1047061	6535	2010
V1885167	6477	384
V1032997	6455	2112
V1887199	6453	384
V1032558	6401	1353
V1884310	6400	1698
V1032410	6222	1620
V1033416	6220	615
