gene	count	length
V1033557	202895	1017
V1338863	195635	1779
V1204502	173366	2223
V1033079	171269	963
V1608705	167126	1407
V1882239	165561	1098
V1034259	149410	1191
V1872766	119301	2184
V1016072	108770	1569
V1033549	91347	1287
V1032617	87377	759
V1016074	86611	1284
V1033097	73675	3189
V1608729	72152	1830
V1033096	70326	939
V1016073	70250	987
V1033500	58526	912
V1032631	55631	1227
V1882329	53470	1461
V1765286	53092	912
V1032618	52856	678
V1033558	51988	1293
V1886984	51470	645
V1032513	50855	513
V1885172	50557	1527
V1032825	46551	1296
V1033629	45028	1854
V1047208	44603	2094
V1032814	43725	675
V1033444	43339	426
V1338876	43307	1449
V1694047	43257	228
V1032826	42837	657
V1366240	42629	795
V1032815	42148	441
V1046995	41674	963
V1032616	41134	876
V1032201	41083	1554
V1389855	40931	204
V1806600	40344	1785
V1799411	40008	135
V1541158	38819	582
V1047291	38357	732
V1032527	38199	744
V1033003	37976	1734
V1872734	37969	432
V1047181	37347	1302
V1032619	36231	1659
V1884310	36179	1698
V1033091	35663	444
V1032309	35020	1626
V1806605	34422	675
V1886281	34269	774
V1032615	34054	909
V1828832	34001	1635
V1032614	33919	888
V1046993	33595	507
V1032629	32968	2265
V1150427	32813	918
V1033428	32659	1008
V1032528	32467	573
V1884596	32232	711
V1806611	31842	1050
V1882237	31517	681
V1884884	31122	2667
V1046991	30994	714
V1880844	30862	1632
V1884825	30802	213
V1032210	30425	714
V1552772	29813	1770
V1882158	29735	705
V1032341	29493	441
V1033322	29471	1140
V1032638	29366	2622
V1047294	28987	2934
V1880007	28870	2172
V1033464	28853	1338
V1884691	28745	2193
V1033332	28626	1179
V1212521	28124	480
V1032342	27538	1440
V1034296	26845	1842
V1884566	26789	495
V1032750	26736	774
V1884638	26470	594
V1047060	25863	1821
V1033129	25858	1521
V1032303	25792	921
V1033056	25728	1095
V1032407	25645	1386
V1884576	25505	921
V1032818	25470	369
V1807974	25127	1050
V1064214	24765	459
V1883121	24747	858
V1163652	24512	2169
V1032763	24373	1476
V1883305	24333	2073
V1032829	24136	1209
V1032630	24006	1107
V1162609	23983	549
V1033331	23965	1071
V1033098	23952	1086
V1884555	23806	3615
V1891370	23802	1179
V1032751	23649	1026
V1033821	23633	753
V1796890	23371	678
V1033559	22983	759
V1806575	22781	642
V1033341	22414	1662
V1032374	22167	1515
V1755587	22143	375
V1034206	22081	1404
V1033306	21803	1332
V1883097	21662	2337
V1032984	21603	507
V1424927	21456	360
V1032807	21453	645
V1033392	21432	1239
V1552800	20971	951
V1338860	20880	1704
V1033869	20867	537
V1882317	20729	717
V1032349	20600	630
V1887290	20547	534
V1032808	20127	618
V1552805	20118	987
V1032699	19942	1314
V1684175	19848	1239
V1032526	19643	738
V1032372	19548	1287
V1033393	19536	462
V1204335	19530	396
V1032620	19333	1059
V1033346	19299	2652
V1046994	19184	549
V1034179	19077	1029
V1034213	18990	729
V1032601	18988	1881
V1033902	18752	447
V1032819	18673	237
