gene	geneProduct
V1143274	gram-positive signal peptide%2C YSIRK family
V1000304	Pullulanase
V1836829	putative ABC transporter ATP-binding protein YheS
V1016072	DNA replication initiation protein gpA
V1000546	Maltose/maltodextrin-binding protein precursor
V1464571	Elongation factor Tu-B
V1000004	DNA-directed RNA polymerase subunit alpha
V1000122	Elongation factor Tu
V1016074	capsid protein
V1000596	Stress protein H5
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1000116	Pyruvate kinase
V1016073	minor spike protein
V1000527	Vegetative protein 19
V1000549	Maltose phosphorylase
V1203355	Chaperone protein DnaJ
V1000545	Maltose transport system permease protein MalF
V1912442	6-phosphofructokinase
V1000640	Phosphoglycerate kinase
V1606123	C protein alpha-antigen precursor
V1034630	DNA protection during starvation protein
V1000018	hypothetical protein
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1000305	Enolase
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1392216	Stress protein H5
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1851967	Heat-inducible transcription repressor HrcA
V1000008	Adenylate kinase
V1000943	50S ribosomal protein L11
V1000548	Beta-phosphoglucomutase
V1431607	50S ribosomal protein L21
V1541158	major spike protein
V1000017	50S ribosomal protein L16
V1000487	Fructose-bisphosphate aldolase
V1836823	hypothetical protein
V1339929	L-lactate dehydrogenase
V1001368	EIIAB-Man
V1073967	50S ribosomal protein L10
V1306539	50S ribosomal protein L13
V1000079	DNA gyrase subunit A
V1000547	Trehalose import ATP-binding protein SugC
V1499093	co-chaperonin GroES
V1000021	50S ribosomal protein L3
V1000841	F-type ATPase subunit delta
V1000641	Triosephosphate isomerase
V1195882	Fructose-bisphosphate aldolase
V1000134	HSP-70 cofactor
V1036606	F-type ATPase subunit b
V1552772	Pyruvate kinase
V1000129	Tyrosine phosphorylated protein A
V1391945	product=Deoxyuridine 5'-triphosphate nucleotidohydrolase
V1580955	Heat shock protein 70
V1167440	6-phospho-alpha-glucosidase 1
V1600200	Phosphoenolpyruvate-protein phosphotransferase
V1819525	Plasmin-sensitive surface protein
V1000528	30S ribosomal protein S7
V1000106	Formate--tetrahydrofolate ligase 1
V1158426	PTS system mannose-specific EIIC component
V1006020	50S ribosomal protein L2
V1000627	Ribonuclease Y
V1000519	PTS system maltose-specific EIICB component
V1064214	external scaffolding protein
V1000564	Cell division protein FtsZ
V1574099	PTS system mannose-specific EIIC component
V1887021	Trigger factor
V1295196	Cell division protein FtsA
V1203576	6-phosphofructokinase
V1000842	F-ATPase subunit 6
V1614095	gram-positive signal peptide%2C YSIRK family
V1000109	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
V1580898	hypothetical protein
V1852084	50S ribosomal protein L23
V1899748	MucBP domain protein
V1000518	Glv operon regulatory protein
V1162881	Phosphoglucomutase
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1000005	30S ribosomal protein S11
V1213484	Cyclodextrin-binding protein precursor
V1852083	50S ribosomal protein L5
V1144133	hypothetical protein
V1836804	Lysine--tRNA ligase
V1000143	Elongation factor Ts
V1852109	gram-positive signal peptide%2C YSIRK family
V1381099	F-ATPase gamma subunit
V1000638	Central glycolytic genes regulator
V1000080	hypothetical protein
V1000570	Rod shape-determining protein MreB
V1000533	CTP synthase
V1000326	Threonine--tRNA ligase
V1000011	50S ribosomal protein L18
V1000171	Oligopeptide-binding protein AppA precursor
V1338858	GTP-binding protein HflX
V1214686	LPXTG cell wall anchor domain protein
V1000003	hypothetical protein
V1000944	50S ribosomal protein L1
V1064534	DNA-directed RNA polymerase subunit beta
V1000014	50S ribosomal protein L14
V1290863	gram-positive signal peptide%2C YSIRK family
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1469318	Orotate phosphoribosyltransferase
V1000551	Intracellular maltogenic amylase
V1491714	30S ribosomal protein S1
V1000601	Alanine--tRNA ligase
V1075411	Vegetative protein 19
V1000012	50S ribosomal protein L6
V1000845	Glucose-6-phosphate isomerase
V1136133	Stress protein H5
V1151035	Immunoglobulin G-binding protein G precursor
V1213513	Maltose phosphorylase
V1211172	gram-positive signal peptide%2C YSIRK family
V1143275	Immunoglobulin G-binding protein G precursor
V1886336	Phosphocarrier protein HPr
V1448552	hypothetical protein
V1000075	Ribonuclease P protein component
V1552777	Translation initiation factor IF-2
V1888216	NADH oxidase
V1381169	DNA-directed RNA polymerase subunit beta
V1000835	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
