gene	geneProduct
V1886560	chromosome segregation protein
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1448552	hypothetical protein
V1211201	preprotein translocase subunit SecY
V1819563	putative endopeptidase precursor
V1600200	Phosphoenolpyruvate-protein phosphotransferase
V1136163	50S ribosomal protein L10
V1136440	50S ribosomal protein L16
V1136510	50S ribosomal protein L2
V1597389	50S ribosomal protein L11
V1819554	C protein alpha-antigen precursor
V1448284	Xylulose-5-phosphate phosphoketolase
V1136465	30S ribosomal protein S5
V1136203	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1599352	C protein alpha-antigen precursor
V1154972	hypothetical protein
V1016072	DNA replication initiation protein gpA
V1213484	Cyclodextrin-binding protein precursor
V1799342	DNA-directed RNA polymerase subunit beta'
V1136462	30S ribosomal protein S8
V1136548	Elongation factor Ts
V1136121	30S ribosomal protein S6
V1154969	50S ribosomal protein L15
V1237698	50S ribosomal protein L3
V1016074	capsid protein
V1213511	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1136437	50S ribosomal protein L24
V1154974	50S ribosomal protein L4
V1213513	Maltose phosphorylase
V1203576	6-phosphofructokinase
V1203452	Muramidase-2 precursor
V1155228	Elongation factor Tu
V1448327	F-ATPase gamma subunit
V1136538	Trigger factor
V1211229	ATP synthase subunit beta
V1886543	Vegetative protein 19
V1016073	minor spike protein
V1819491	putative outer membrane protein
V1136049	50S ribosomal protein L13
V1614064	C protein alpha-antigen precursor
V1886600	hypothetical protein
V1136573	50S ribosomal protein L1
V1819423	Ribokinase
V1819490	hypothetical protein
V1157115	Enolase
V1211411	Ribosomal RNA small subunit methyltransferase H
V1156179	30S ribosomal protein S1
V1899703	Folate ECF transporter S component FolT
V1213485	Maltose transport system permease protein MalF
V1448519	Glyceraldehyde-3-phosphate dehydrogenase
V1211184	DNA-directed RNA polymerase subunit beta
V1599264	Phosphoenolpyruvate carboxylase
V1136305	Beta-phosphoglucomutase
V1136438	50S ribosomal protein L14
V1136463	50S ribosomal protein L6
V1799340	hypothetical protein
V1136265	Recombination protein O
V1136202	ribosomal-protein-alanine N-acetyltransferase
V1203556	Acyl-ACP thioesterase
V1203335	Beta-Ala-Xaa dipeptidase
V1136304	Trehalose import ATP-binding protein SugC
V1212427	Adenylate kinase
V1886755	hypothetical protein
V1426355	Translation initiation factor IF-3
V1136388	Phosphoglycerate kinase
V1136418	Phosphoenolpyruvate carboxykinase [ATP]
V1448286	Tagatose-6-phosphate kinase
V1213705	Fructose-bisphosphate aldolase
V1136122	Helix-destabilizing protein
V1819486	type IV secretion system protein VirD4
V1819485	hypothetical protein
V1203570	Glucose-6-phosphate isomerase
V1136635	Phosphocarrier protein HPr
V1211166	chromosome segregation protein SMC
V1819528	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1136447	Ribose-5-phosphate isomerase A
V1799382	hypothetical protein
V1203420	Fic/DOC family protein
V1211345	ATP synthase subunit alpha
V1136381	C protein alpha-antigen precursor
V1203478	EIIAB-Man
V1136252	Phosphoglucomutase
V1819493	chromosome segregation protein
V1599277	GTPase Era
V1599322	30S ribosomal protein S4
V1541158	major spike protein
V1886757	sortase
V1912376	Pyruvate oxidase
V1599151	Translation initiation factor IF-2
V1136479	N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase precursor
V1880284	Vegetative protein 209
V1819416	ATP-dependent Clp protease ATP-binding subunit ClpE
V1203343	DNA gyrase subunit A
V1136116	Ribonuclease P protein component
V1599149	Proline--tRNA ligase
V1886768	UvsW helicase
V1599332	Ribonuclease R
V1601156	Aryl-phospho-beta-D-glucosidase BglH
V1136045	30S ribosomal protein S11
V1423938	Enolase
V1136352	Tyrosine phosphorylated protein A
V1599150	DNA polymerase III PolC-type
V1211334	Enolase
V1032620	Ribonucleoside-diphosphate reductase 2 subunit beta
V1600643	Alpha-xylosidase
V1883085	hypothetical protein
V1238840	Translation initiation factor IF-1
V1819556	MucBP domain protein
V1136133	Stress protein H5
V1448276	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1203784	Tyrosine recombinase XerC
V1136070	HTH-type transcriptional repressor GlcR
V1599309	Isoleucine--tRNA ligase
V1203723	cell division protein MraZ
V1600632	ABC exporter transmembrane subunit%2C DevC protein
V1891002	chromosome segregation protein
V1136558	YbbR-like protein
V1211176	EIIABC-Fru
V1216924	Ribonucleoside-diphosphate reductase 2 subunit beta
V1158332	Pyruvate kinase
V1597118	F-ATPase subunit 6
V1136174	Phosphoglycerol transferase%2C alkaline phosphatase superfamily
V1237789	hypothetical protein
V1886762	hypothetical protein
V1136511	30S ribosomal protein S19
V1136324	Threonine--tRNA ligase
V1755637	hypothetical protein
V1600192	Diaminopropionate ammonia-lyase
V1136439	50S ribosomal protein L29
V1213504	30S ribosomal protein S12
V1136386	Fumarate reductase flavoprotein subunit precursor
V1819427	hypothetical protein
V1136464	50S ribosomal protein L18
V1154975	Vegetative protein 19
V1425581	50S ribosomal protein L2
V1211182	Alanine--tRNA ligase
V1599299	Membrane-bound protein LytR
V1136570	SigL modulation protein
V1064214	external scaffolding protein
V1599213	Magnesium-transporting ATPase%2C P-type 1
V1891385	50S ribosomal protein L29
V1600206	preprotein translocase subunit SecA
V1211322	Phosphoglucosamine mutase
V1599154	Heat shock protein 70
V1237406	Lysine--tRNA ligase
V1600693	Leucine--tRNA ligase
V1599324	Uracil phosphoribosyltransferase
V1136449	hypothetical protein
V1213499	F-type ATPase subunit delta
V1157421	50S ribosomal protein L21
V1136606	50S ribosomal protein L27
V1601106	gram-positive signal peptide%2C YSIRK family
V1211258	ATP-dependent zinc metalloprotease FtsH
V1159480	Vegetative protein 209
V1213486	Maltose transport system permease protein MalG
V1600995	hypothetical protein
V1136248	Recombinase A
V1799334	Ribonuclease J 2
V1599336	gram-positive signal peptide%2C YSIRK family
V1136385	L-lactate dehydrogenase
V1899671	DNA primase
V1136335	Asparagine synthetase [glutamine-hydrolyzing] 1
V1136448	PTS system mannose-specific EIIC component
V1899669	Tyrosine-protein phosphatase YwqE
V1136546	Glutathione transport system permease protein GsiC
V1154976	30S ribosomal protein S7
V1136076	Bifunctional protein GlmU
V1156008	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1799360	Rod shape-determining protein RodA
V1136124	Bifunctional oligoribonuclease and PAP phosphatase NrnA
V1136422	Rod shape-determining protein MreB
V1136380	hypothetical protein
V1880839	putative endopeptidase precursor
V1885246	Valine--tRNA ligase
V1136308	putative endopeptidase precursor
V1211276	hypothetical protein
V1136303	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
V1899761	hypothetical protein
V1799323	product=Cysteine--tRNA ligase
V1599167	Bifunctional (p)ppGpp synthase/hydrolase RelA
V1136164	hypothetical protein
V1448368	Oligopeptide-binding protein AppA precursor
V1211371	Glutamate--tRNA ligase
V1203334	Glycine reductase complex component B subunit gamma
V1211402	Asparagine--tRNA ligase
V1615032	ATP-dependent zinc metalloprotease FtsH
V1219985	C protein alpha-antigen precursor
V1481311	putative outer membrane protein
V1597160	50S ribosomal protein L5
V1213596	GTP-binding protein obg
V1136272	D-lactate dehydrogenase
V1599174	O-acetyltransferase OatA
V1211327	Neutral endopeptidase
V1211207	Chromosome partition protein Smc
V1912594	HTH-type transcriptional repressor YvoA
V1136504	PTS system lichenan-specific EIIC component
V1211279	Aminopeptidase N
V1599276	Glycine--tRNA ligase beta subunit
V1799345	putative membrane protein
V1136255	DNA gyrase subunit B
V1136359	Glutamine synthetase
V1211254	Ribonuclease Y
V1211358	UTP--glucose-1-phosphate uridylyltransferase
V1136387	Triosephosphate isomerase
V1886761	hypothetical protein
V1600193	DNA polymerase I
V1899658	Stage III sporulation protein E
V1136563	Alkaline shock protein 23
V1886395	Restriction enzyme BgcI subunit alpha
V1599311	Cell division protein FtsA
V1136115	Stage III sporulation protein J
V1599163	Fumarate hydratase class II
V1601107	nicotinamide mononucleotide transporter PnuC
V1136050	30S ribosomal protein S9
V1601177	hypothetical protein
V1136518	Glucosamine kinase GspK
V1203453	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1599138	Serine/threonine-protein kinase PrkC
V1136681	F-type ATPase subunit b
V1211238	hypothetical protein
V1203690	Aldose 1-epimerase
V1764175	Vegetative protein 19
V1891003	hypothetical protein
V1899668	Tyrosine-protein kinase YwqD
V1819498	hypothetical protein
V1599135	Recombination protein N
V1600990	Protein involved in sex pheromone biosynthesis
V1136334	D-aspartate ligase
V1136123	hypothetical protein
V1819489	hypothetical protein
V1600199	Peptide chain release factor 3
V1899577	Lipoprotein-releasing system ATP-binding protein LolD
V1203477	product=hypothetical protein
V1154973	50S ribosomal protein L22
V1136259	Lichenan-specific phosphotransferase enzyme IIB component
V1599233	Formate--tetrahydrofolate ligase 1
V1203647	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2
V1886767	hypothetical protein
V1819482	Peptidase family M23
V1600196	Phenylalanine--tRNA ligase beta subunit
V1203506	Lipoteichoic acid synthase 1
V1203516	Intracellular maltogenic amylase
V1606068	putative endopeptidase precursor
V1599316	Rod shape-determining protein MreC
V1136046	hypothetical protein
V1912710	hypothetical protein
V1601045	GTP-binding protein HflX
V1884738	hypothetical protein
V1136244	Fic/DOC family protein
V1601044	Putative peptidoglycan binding domain protein
V1211165	MucBP domain protein
V1211250	Stage 0 sporulation protein KD
V1238011	Flavodoxin
V1600645	Saliva-binding protein
V1885719	hypothetical protein
V1448268	MucBP domain protein
V1203704	putative peptidase
V1615031	Transcription antiterminator LicT
V1136550	putative protein containing a divergent version of the methyl-accepting chemotaxis-like domain protein
V1599194	ATP-dependent protease ATPase subunit ClpY
V1599343	Negative regulator of genetic competence ClpC/MecB
V1599193	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
V1596869	Beta-hexosaminidase A precursor
V1599148	Zinc metalloprotease RasP
V1149748	Translation initiation factor IF-3
V1599275	RNA polymerase sigma factor RpoD
V1799364	DEAD-box ATP-dependent RNA helicase CshB
V1136081	Methionine--tRNA ligase
V1211168	Replicative DNA helicase
V1136423	F-ATPase epsilon subunit
V1136484	UDP-glucose 4-epimerase
V1606124	EIIBCA-Bgl
V1448344	Ribonuclease J 1
V1136458	Cell division protein SepF
V1614151	Type IIS restriction enzyme Eco57I
V1600614	EIIBCA-Bgl
V1599298	Capsular polysaccharide type 8 biosynthesis protein cap8A
V1203641	Replication initiation and membrane attachment protein
V1136581	Central glycolytic genes regulator
V1213492	Ornithine decarboxylase%2C inducible
V1136485	Thioredoxin reductase
V1899578	ABC-2 family transporter protein
V1819525	Plasmin-sensitive surface protein
V1885690	Putative penicillin-binding protein PbpX
V1339744	Bacterial SH3 domain protein
V1599319	putative tRNA sulfurtransferase
V1136234	Fructose-specific phosphotransferase enzyme IIB component
V1599306	Exodeoxyribonuclease V alpha chain
V1213489	Diacylglycerol kinase
V1599142	Signal recognition particle receptor FtsY
V1101550	sortase
V1213556	Oligo-1%2C6-glucosidase
V1599140	dihydroxyacetone kinase
V1223278	Gas vesicle protein
V1819419	Beta-hexosaminidase
V1136235	PTS system N-acetylgalactosamine-specific EIIC component 1
V1599321	Septation ring formation regulator EzrA
V1615081	hypothetical protein
V1136294	putative metal-dependent RNase%2C consists of a metallo-beta-lactamase domain and an RNA-binding KH domain
V1448858	F-type ATPase subunit b
V1599068	Xaa-Pro dipeptidyl-peptidase
V1600991	DNA ligase
V1599358	Penicillin-binding protein F
V1599181	GTP-binding protein EngA
V1211286	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
V1301210	Transposase
V1136579	Phosphatidate cytidylyltransferase
V1599224	DNA topoisomerase 4 subunit B
V1885612	Guanylate kinase
V1211230	Uridylate kinase
V1136295	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1599337	MucBP domain protein
V1599086	hypothetical protein
V1203569	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
V1213495	DNA polymerase III subunit gamma/tau
V1136624	Magnesium and cobalt efflux protein CorC
V1599997	Putative penicillin-binding protein PbpX
V1819428	Foldase protein PrsA precursor
V1599226	putative manganese-dependent inorganic pyrophosphatase
V1136526	putative GTP-binding protein EngB
V1599345	Aminopeptidase C
V1154971	50S ribosomal protein L5
V1605662	putative transcriptional regulatory protein
V1209677	chromosome segregation protein SMC
V1799376	Penicillin-binding protein F
V1136113	Glucose-inhibited division protein A
V1819557	Beta antigen
V1886671	Peptidase T
V1601046	Inner membrane transporter YcaM
V1034259	Elongation factor Tu
V1211203	DNA topoisomerase 1
V1136254	DNA replication and repair protein RecF
V1211268	Magnesium and cobalt efflux protein CorC
V1600195	hypothetical protein
V1136630	D-ribose pyranase
V1448291	Stage 0 sporulation protein KE
V1799337	tRNA pseudouridine synthase A
V1799363	Penicillin-binding protein 2B
V1599057	EIIBCA-Bgl
V1136232	putative tRNA-dihydrouridine synthase
V1599069	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
V1157136	EIIAB-Man
V1481317	hypothetical protein
V1714616	6-phosphofructokinase
V1136491	CCA-adding enzyme
V1885262	Aldehyde-alcohol dehydrogenase
V1203454	Serine--tRNA ligase
V1899748	MucBP domain protein
V1605696	Cell division protein FtsZ
V1819475	Levanbiose-producing levanase
V1600636	Thiamine biosynthesis lipoprotein ApbE precursor
V1136290	RNAP delta factor
V1886397	hypothetical protein
V1599239	hypothetical protein
V1136467	Putative Holliday junction resolvase
V1615339	Lipid-binding protein
V1156922	Phosphoenolpyruvate-protein phosphotransferase
V1799374	hypothetical protein
V1819480	hypothetical protein
V1136302	Glutamyl-tRNA(Gln) amidotransferase subunit A
V1614095	gram-positive signal peptide%2C YSIRK family
V1136226	chromosome segregation protein SMC
V1448294	D-alanine--D-alanine ligase A
V1203703	Heat-inducible transcription repressor HrcA
V1136233	N-acetylglucosamine-6-phosphate deacetylase
V1203443	Aminopeptidase E
V1136416	putative mannose-6-phosphate isomerase GmuF
V1883012	Putative DNA-invertase from lambdoid prophage Rac
V1599236	Ribosomal RNA large subunit methyltransferase L
V1136615	HSP-70 cofactor
V1692640	Enolase
V1819527	hypothetical protein
V1136125	hypothetical protein
V1448315	3-hydroxy-3-methylglutaryl-coenzyme A reductase
V1599996	D-alanine--poly(phosphoribitol) ligase subunit 1
V1136348	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
V1912357	Tagatose 1%2C6-diphosphate aldolase
V1136342	Beta-Ala-Xaa dipeptidase
V1238369	hypothetical protein
V1136247	Helix-turn-helix domain protein
V1211294	Fumarate reductase flavoprotein subunit precursor
V1136048	Energy-coupling factor transporter transmembrane protein EcfT
V1211216	putative MFS family transporter protein
V1799292	phosphatidylglycerophosphatase B
V1136274	Inosine-5'-monophosphate dehydrogenase
V1136483	Sorbose-specific phosphotransferase enzyme IIB component
V1033549	Enolase
V1448504	Methionyl-tRNA formyltransferase
V1599335	galactose-1-phosphate uridylyltransferase
V1599158	Thymidylate synthase
V1136217	Nicotinate phosphoribosyltransferase pncB2
V1599225	DNA topoisomerase 4 subunit A
V1819488	TrbC/VIRB2 family protein
V1136363	hypothetical protein
V1136075	Ribose-phosphate pyrophosphokinase
V1819568	Lipopolysaccharide export system ATP-binding protein LptB
V1136584	Ribonuclease Z
V1599302	ATP-dependent Clp protease ATP-binding subunit ClpX
V1136460	photosystem II S4 domain protein
V1599133	Exodeoxyribonuclease 7 large subunit
V1203451	D-alanyl-lipoteichoic acid biosynthesis protein DltB
V1606490	Muramidase-2 precursor
V1136083	putative secreted protein
V1203399	hypothetical protein
V1158337	F-ATPase subunit 6
V1599143	hypothetical protein
V1136114	tRNA modification GTPase MnmE
V1203510	hypothetical protein
V1203492	Putative tagatose-6-phosphate ketose/aldose isomerase
V1599315	Penicillin-binding protein B
V1600634	hypothetical protein
V1203398	hypothetical protein
V1155989	Glyceraldehyde-3-phosphate dehydrogenase
V1203293	Protein involved in initiation of plasmid replication
V1136262	glutamyl-tRNA(Gln) amidotransferase subunit E
V1799385	Penicillin-binding protein 1A
V1599293	Glycosyl transferase family 11
V1211359	Dipeptidase A
V1819439	Polyketide biosynthesis 3-hydroxy-3-methylglutaryl-ACP synthase PksG
V1600639	hypothetical protein
V1599342	Transcription-repair-coupling factor
V1899678	Antitoxin DinJ
V1885222	sucrose/H+ symporter
V1599333	LPPG:FO 2-phospho-L-lactate transferase
V1899639	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
V1599059	Calcium-transporting ATPase
V1203419	Cytochrome d ubiquinol oxidase subunit 2
V1819499	hypothetical protein
V1819513	Cytidylate kinase
V1203748	Putative ribosomal N-acetyltransferase YdaF
V1136141	Putative fructokinase
V1136346	L-2-hydroxyisocaproate dehydrogenase
V1203342	DNA polymerase III subunit beta
V1599178	DNA polymerase III subunit alpha
V1203583	hypothetical protein
V1136080	putative deoxyribonuclease YcfH
V1136549	hypothetical protein
V1211485	Putative universal stress protein
V1136297	Cytochrome d ubiquinol oxidase subunit 1
V1203571	Cell division protein DivIB
V1203664	PTS system galactitol-specific EIIC component
V1601155	Oligopeptide-binding protein AppA precursor
V1599230	Carbamoyl-phosphate synthase large chain
V1136612	Formamidopyrimidine-DNA glycosylase
V1203646	S-adenosylmethionine synthase
V1599334	Excinuclease ABC subunit A
V1886772	hypothetical protein
V1886765	LemA family protein
V1886769	hypothetical protein
V1899699	Multidrug-efflux transporter 3
V1212594	SsrA-binding protein
V1136218	putative hydrolase
V1136599	putative ribosomal protein YlxQ
V1136222	hypothetical protein
V1599314	Phospho-N-acetylmuramoyl-pentapeptide-transferase
V1899654	Primosomal protein DnaI
V1136555	50S ribosomal protein L20
V1211292	Ribosome-binding factor A
V1211454	Methionine aminopeptidase 1
V1799344	DEAD-box ATP-dependent RNA helicase CshA
V1890949	putative phage-associated protein
V1136553	Farnesyl diphosphate synthase
V1599310	Minicell-associated protein DivIVA
V1136446	Aspartate--tRNA ligase
V1136111	preprotein translocase subunit YajC
