gene	geneProduct
V1204502	Anaerobic ribonucleoside-triphosphate reductase
V1338863	Pyruvate kinase
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1608705	Surface layer protein
V1034259	Elongation factor Tu
V1033079	6-phosphofructokinase
V1016072	DNA replication initiation protein gpA
V1016074	capsid protein
V1032617	Phosphate import ATP-binding protein PstB 3
V1016073	minor spike protein
V1032631	Cyclodextrin-binding protein precursor
V1033549	Enolase
V1366240	Surface layer protein
V1032618	Phosphate regulon transcriptional regulatory protein PhoB
V1033096	DNA-directed RNA polymerase subunit alpha
V1765286	Fructose-bisphosphate aldolase
V1033500	Fructose-bisphosphate aldolase
V1032513	50S ribosomal protein L10
V1032814	hypothetical protein
V1033097	Carbamoyl-phosphate synthase large chain
V1032815	50S ribosomal protein L16
V1885172	ATP synthase subunit alpha
V1032825	preprotein translocase subunit SecY
V1033629	Heat shock protein 70
V1047208	Elongation factor G
V1806605	Beta-phosphoglucomutase
V1033444	hypothetical protein
V1032309	Stress protein H5
V1886984	PhoU-like phosphate uptake regulator
V1033558	Phosphoglycerate kinase
V1872734	50S ribosomal protein L11
V1033464	Glutamine synthetase
V1541158	major spike protein
V1032619	Alkaline phosphatase synthesis sensor protein PhoR
V1032826	Adenylate kinase
V1033428	EIIAB-Man
V1828832	Alkaline phosphatase synthesis sensor protein PhoR
V1150427	Fructose-bisphosphate aldolase
V1033091	50S ribosomal protein L13
V1046995	F-ATPase gamma subunit
V1899820	single-stranded DNA-binding protein
V1033003	Phosphoenolpyruvate-protein phosphotransferase
V1032341	F-ATPase epsilon subunit
V1032210	anaerobic ribonucleotide reductase-activating protein
V1032630	Trehalose import ATP-binding protein SugC
V1032616	Phosphate transport system permease protein PstA
V1047291	hypothetical protein
V1032615	Phosphate transport system permease protein PstC
V1338876	NADH peroxidase
V1046991	F-ATPase subunit 6
V1046993	F-type ATPase subunit b
V1032632	Maltose transport system permease protein MalF
V1032750	Vegetative protein 209
V1884884	Magnesium-transporting ATPase%2C P-type 1
V1047181	Multiple sugar-binding protein precursor
V1032342	ATP synthase subunit beta
V1872751	gram-positive signal peptide%2C YSIRK family
V1883114	SigL modulation protein
V1032751	Elongation factor Ts
V1064214	external scaffolding protein
V1806611	D-lactate dehydrogenase
V1032614	Phosphate-binding protein PstS 1 precursor
V1032563	phosphoenolpyruvate carboxykinase
V1552772	Pyruvate kinase
V1424927	50S ribosomal protein L18
V1032638	Translation initiation factor IF-2
V1032620	Ribonucleoside-diphosphate reductase 2 subunit beta
V1033332	Riboflavin biosynthesis protein RibBA
V1882158	hypothetical protein
V1033129	Phosphoenolpyruvate-protein phosphotransferase
V1032601	PTS system maltose-specific EIICB component
V1796890	hypothetical protein
V1032984	hypothetical protein
V1755587	hypothetical protein
V1887290	Translation initiation factor IF-3
V1552800	30S ribosomal protein S1
V1032303	Diacylglycerol kinase
V1032201	Multicopper oxidase mco
V1033085	FtsX-like permease family protein
V1033341	DAK2 domain fusion protein YloV
V1033056	Purine nucleoside receptor A
V1032819	50S ribosomal protein L24
V1163652	ATP-dependent zinc metalloprotease FtsH
V1033376	DNA protection during starvation protein
V1033306	Trigger factor
V1033821	hypothetical protein
V1033331	Riboflavin biosynthesis protein RibD
V1032374	D-alanine--poly(phosphoribitol) ligase subunit 1
V1694047	hypothetical protein
V1034296	Pyruvate oxidase
V1684175	D-alanyl-lipoteichoic acid biosynthesis protein DltB
V1163624	ATP-dependent Clp protease ATP-binding subunit ClpE
V1033045	6-phospho-alpha-glucosidase 1
V1033559	Triosephosphate isomerase
V1884418	Bacterial Ig-like domain (group 3)
V1033346	Valine--tRNA ligase
V1046994	F-type ATPase subunit delta
V1032808	50S ribosomal protein L4
V1033098	Carbamoyl-phosphate synthase small chain
V1032349	Uracil phosphoribosyltransferase
V1032820	50S ribosomal protein L5
V1032681	L-lactate dehydrogenase
V1033392	putative cysteine desulfurase
V1034206	FeS cluster assembly protein SufB
V1032339	Rod shape-determining protein MreB
V1339684	Surface layer protein
V1338860	Proline--tRNA ligase
V1806575	Riboflavin synthase
V1032792	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
V1806600	Surface layer protein
V1047172	Thymidylate synthase
V1033133	Ribosomal RNA small subunit methyltransferase H
V1163789	Deoxyadenosine kinase
V1032575	Thymidylate synthase
V1047061	Threonine--tRNA ligase
V1033740	Central glycolytic genes regulator
V1034232	C protein alpha-antigen precursor
V1887313	30S ribosomal protein S6
V1448274	C protein alpha-antigen precursor
V1033426	product=hypothetical protein
V1047177	Maltose phosphorylase
V1047159	Aldehyde-alcohol dehydrogenase
V1216924	Ribonucleoside-diphosphate reductase 2 subunit beta
V1033413	Adenylosuccinate synthetase
V1032372	D-alanyl-lipoteichoic acid biosynthesis protein DltD
V1047060	Oligopeptide-binding protein AppA precursor
V1032670	putative transcriptional regulatory protein
V1032473	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
V1880007	Surface layer protein
V1101430	Bacterial Ig-like domain (group 3)
V1204335	PPOX class probable F420-dependent enzyme%2C family
V1034213	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1684155	DNA-directed RNA polymerase subunit beta
V1503161	Rib/alpha/Esp surface antigen repeat
V1032715	Glutamate--tRNA ligase
V1033427	PTS system mannose-specific EIIC component
V1796915	Pullulanase
V1143661	Ribonuclease Y
V1046989	HSP-70 cofactor
V1033216	hypothetical protein
V1033393	NifU-like protein
V1886306	ATP-dependent Clp protease ATP-binding subunit ClpC
V1032763	Surface layer protein
V1033391	putative ABC transporter ATP-binding protein
V1884691	Surface layer protein
V1032407	Bifunctional protein GlmU
V1033322	Surface layer protein
V1033034	50S ribosomal protein L35
V1608729	Surface layer protein
V1883379	Major Facilitator Superfamily protein
V1032822	hypothetical protein
V1032639	hypothetical protein
V1032301	Glutamyl-tRNA(Gln) amidotransferase subunit A
V1143301	FeS cluster assembly protein SufB
V1684181	hypothetical protein
V1883371	Glv operon regulatory protein
V1684154	DNA-directed RNA polymerase subunit beta'
V1883305	hypothetical protein
V1755566	PPOX class probable F420-dependent enzyme%2C family
V1032218	Glutamine transport ATP-binding protein GlnQ
V1032634	Heat-inducible transcription repressor HrcA
V1032397	Recombinase A
V1032824	50S ribosomal protein L15
V1796838	Fumarate hydratase class II
V1883370	Pullulanase
V1032979	50S ribosomal protein L21
V1034179	Glyceraldehyde-3-phosphate dehydrogenase
V1796904	Aminopeptidase N
V1684093	Zinc metalloprotease RasP
V1203697	Bifunctional protein FolD protein
V1684092	Ribosomal RNA small subunit methyltransferase B
V1032809	50S ribosomal protein L23
V1032315	Alanine--tRNA ligase
V1819373	Aldehyde-alcohol dehydrogenase
V1032941	Exo-glucosaminidase LytG precursor
V1033414	Adenylosuccinate lyase
V1032821	30S ribosomal protein S8
V1755585	DNA gyrase subunit B
V1684153	50S ribosomal protein L2
V1032713	30S ribosomal protein S12
V1032729	Glucan 1%2C6-alpha-glucosidase
V1684156	Lysine--tRNA ligase
V1206514	Ribose-phosphate pyrophosphokinase
V1033126	Phosphate-import protein PhnD precursor
V1032571	Fumarate reductase flavoprotein subunit precursor
V1808000	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
V1204587	Minicell-associated protein DivIVA
V1033375	Trigger factor
V1032330	putative tRNA sulfurtransferase
V1033565	RNA polymerase sigma factor RpoD
V1032381	Phosphoenolpyruvate carboxylase
V1033542	Endoribonuclease YbeY
V1047113	Serine/threonine-protein kinase PrkC
V1033614	Arginine--tRNA ligase
V1047236	ATP-dependent Clp protease ATP-binding subunit ClpE
V1032578	hypothetical protein
V1032527	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1204748	major capsid protein
V1032333	30S ribosomal protein S4
V1237175	Thymidylate synthase
V1033217	Elongation factor P
V1032628	Intracellular maltogenic amylase
V1033213	Farnesyl diphosphate synthase
V1033416	Guanylate kinase
V1032910	Replication initiation and membrane attachment protein
V1034200	ABC transporter ATP-binding protein YtrE
V1796841	Ribokinase
V1034221	Phosphoglucomutase
V1163759	Purine nucleoside receptor A
V1046990	Ditrans%2Cpolycis-undecaprenyl-diphosphate synthase ((2E%2C6E)-farnesyl-diphosphate specific)
V1755580	L-2-hydroxyisocaproate dehydrogenase
V1806578	Cell division protein FtsZ
V1032633	Maltose transport system permease protein MalG
V1032406	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
V1033276	Isoleucine--tRNA ligase
V1033667	S-adenosylmethionine synthase
V1033099	Dihydroorotase
V1610069	50S ribosomal protein L6
V1032558	Phosphoglucosamine mutase
V1032371	Putative penicillin-binding protein PbpX
V1684077	Cell division protein FtsA
V1101442	FmtA-like protein
V1033030	Bifunctional (p)ppGpp synthase/hydrolase RelA
V1033004	Adapter protein MecA
V1887317	hypothetical protein
V1552781	DNA polymerase III PolC-type
V1032468	Ribosome-binding ATPase YchF
V1032528	ribosomal-protein-alanine N-acetyltransferase
V1047301	Gram positive anchor
V1162957	Surface layer protein
V1032827	Translation initiation factor IF-1
V1034256	DNA topoisomerase 4 subunit B
V1163598	Glucose-6-phosphate isomerase
V1033321	Surface layer protein
V1032299	DNA ligase
V1806647	DNA primase
V1101399	Inosine-5'-monophosphate dehydrogenase
V1204779	Stage 0 sporulation protein KD
V1692640	Enolase
V1033229	hypothetical protein
V1032880	DNA gyrase subunit A
V1755579	Ribonuclease R
V1032747	Neutral endopeptidase
V1819389	pyridoxamine kinase
V1032300	Protein involved in sex pheromone biosynthesis
V1033168	UTP--glucose-1-phosphate uridylyltransferase
V1032903	Chromosome partition protein Smc
V1033258	Spo0B-associated GTP-binding protein
V1047211	N-formylmethionyl-tRNA deformylase
V1032767	Magnesium-transporting ATPase%2C P-type 1
V1032804	6-phosphogluconate dehydrogenase%2C NADP(+)-dependent%2C decarboxylating
V1032997	DNA topoisomerase 1
V1033200	Asparagine--tRNA ligase
V1033156	putative membrane protein
V1032817	hypothetical protein
V1002229	Transposase DDE domain protein
V1033256	Exodeoxyribonuclease V alpha chain
V1148961	Surface layer protein
V1032714	30S ribosomal protein S7
V1032395	Zonula occludens toxin
V1806651	putative endopeptidase Spr precursor
V1796864	Trehalose import ATP-binding protein SugC
V1806596	putative tRNA-dihydrouridine synthase
V1885137	Aminopeptidase C
V1204801	Surface layer protein
V1033033	Aspartate--tRNA ligase
V1806574	Divalent metal cation transporter MntH
V1338889	Tyrosine phosphorylated protein A
V1032206	Neutral endopeptidase
V1032410	CTP synthase
V1808080	Oligopeptide-binding protein AppA precursor
V1033101	Bifunctional protein pyrR
V1032752	Uridylate kinase
V1796922	ATP-dependent protease ATPase subunit ClpY
V1032983	hypothetical protein
V1034247	Ornithine decarboxylase%2C inducible
V1033674	gram-positive signal peptide%2C YSIRK family
V1034178	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
V1032731	Serine hydroxymethyltransferase
V1047007	Glycine--tRNA ligase beta subunit
V1032602	hypothetical protein
V1033497	Methionyl-tRNA formyltransferase
V1033484	Na(+)/glucose symporter
V1033707	N-acetylneuraminate lyase
V1883238	PTS system EIIBC component
V1032412	Dipeptidase A
V1552798	Sigma-A
V1033541	glutamyl-tRNA(Gln) amidotransferase subunit E
V1033115	putative endopeptidase p60 precursor
V1204747	putative upper collar protein
V1204586	Cell division protein FtsZ
V1034186	Recombination protein N
V1204734	Aldehyde-alcohol dehydrogenase
V1032208	Hemerythrin HHE cation binding domain protein
V1033347	Phosphoglycerol transferase%2C alkaline phosphatase superfamily
V1101372	Stage 0 sporulation protein KE
V1032337	Rod shape-determining protein RodA
V1034187	Primosomal protein N'
V1046988	Chaperone protein DnaJ
V1806654	23S rRNA (uracil-C(5))-methyltransferase RlmCD
V1150387	Signal transduction histidine-protein kinase ArlS
V1769429	30S ribosomal protein S11
V1032679	Transcription-repair-coupling factor
V1032940	AtlE
V1808084	hypothetical protein
V1032813	50S ribosomal protein L22
V1034199	Dihydroorotate dehydrogenase B (NAD(+))%2C catalytic subunit
V1033202	hypothetical protein
V1423402	Pyruvate kinase
V1034301	putative oxidoreductase/MSMEI_2347
V1032753	Ribosome-releasing factor
V1033155	Putative penicillin-binding protein PbpX
V1033728	hypothetical protein
V1034244	Ribonuclease J 1
V1807974	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1033009	Alpha-xylosidase
V1032728	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
V1891385	50S ribosomal protein L29
V1032603	EIICBA-Glc
V1032228	D-alanine--D-alanine ligase A
V1033340	ATP-dependent DNA helicase RecG
V1032626	Acetate kinase
V1885045	Transposase IS116/IS110/IS902 family protein
V1032845	Xaa-Pro dipeptidyl-peptidase
V1032574	Dihydrofolate reductase
V1032316	Putative Holliday junction resolvase
V1462044	Elongation factor Tu
V1032217	Phosphate-import permease protein PhnE
V1047152	Asparagine synthetase [glutamine-hydrolyzing] 1
V1033215	Exodeoxyribonuclease 7 large subunit
V1199409	Phosphate-import protein PhnD precursor
V1819360	gram-positive signal peptide%2C YSIRK family
V1032434	Phenylalanine--tRNA ligase beta subunit
V1446956	C protein alpha-antigen precursor
V1552710	co-chaperonin GroES
V1033650	hypothetical protein
V1032402	preprotein translocase subunit SecA
V1033157	Putative peptidoglycan binding domain protein
V1046992	Lipid-binding protein
V1163762	Glucose-6-phosphate 1-dehydrogenase
V1143193	Elongation factor 4
V1032881	DNA replication and repair protein RecF
V1047076	hypothetical protein
V1163288	Gas vesicle protein
V1032665	Helicase IV
V1032373	D-alanine--poly(phosphoribitol) ligase subunit 2
V1032525	Ribosomal RNA small subunit methyltransferase I
V1032514	hypothetical protein
V1033069	Cysteine--tRNA ligase
V1162988	Transposase%2C IS30 family
V1764180	hypothetical protein
V1032361	Inner membrane ABC transporter permease protein YcjP
V1033669	Dipeptidase A
V1796843	Xylulose-5-phosphate phosphoketolase
V1034346	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
V1101424	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2
V1047210	putative manganese-dependent inorganic pyrophosphatase
V1886365	t(6)A37 threonylcarbamoyladenosine biosynthesis protein RimN
V1693896	50S ribosomal protein L3
V1033325	putative cell division protein YtgP
V1033100	Aspartate carbamoyltransferase
V1033745	Serine/threonine exchanger SteT
V1032794	Mannitol-1-phosphate 5-dehydrogenase
V1032292	Nicotinate phosphoribosyltransferase pncB2
V1755545	GTPase Era
V1032919	Xaa-Pro dipeptidase
V1162609	Folate ECF transporter S component FolT
V1033139	Rod shape-determining protein MreB
V1032812	30S ribosomal protein S19
V1796840	hypothetical protein
V1796881	Aminopeptidase E
V1891215	bifunctional antitoxin/transcriptional repressor RelB
V1163714	D-alanyl-lipoteichoic acid biosynthesis protein DltD
V1819405	Dipeptidase A
V1199427	Transposase DDE domain protein
V1047070	Penicillin-binding protein 2B
V1034230	L-lactate dehydrogenase
V1033348	G3P acyltransferase
V1033259	hypothetical protein
V1032312	Holliday junction ATP-dependent DNA helicase RuvB
V1033324	Leucine--tRNA ligase
V1032769	Antibiotic biosynthesis monooxygenase
V1032211	D-aspartate ligase
V1033050	[Citrate [pro-3S]-lyase] ligase
V1032649	Transcriptional regulatory protein YycF
V1033472	Tagatose-6-phosphate kinase
V1034181	Pur operon repressor
V1684079	cell division protein MraZ
V1033127	Replicative DNA helicase
V1033212	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
V1033624	polynucleotide kinase
V1032909	Primosomal protein DnaI
V1886924	Zinc-transporting ATPase
V1388962	DNA topoisomerase 4 subunit A
V1033514	50S ribosomal protein L1
V1163687	hypothetical protein
V1808158	Transposase%2C IS30 family
V1032719	polynucleotide kinase
V1033490	50S ribosomal protein L19
V1032978	50S ribosomal protein L27
V1034284	Ribonuclease Z
V1033138	Rod shape-determining protein MreC
V1032459	FMN reductase
V1032526	Acyl-ACP thioesterase
V1891344	hypothetical protein
V1001513	hypothetical protein
V1203404	Phenylalanine--tRNA ligase alpha subunit
V1032674	Signal transduction histidine-protein kinase BaeS
V1819364	DegV domain-containing protein
V1446961	hypothetical protein
V1806660	hypothetical protein
V1032555	UDP-N-acetylenolpyruvoylglucosamine reductase
V1032801	Ribonuclease P protein component
V1033032	Histidine--tRNA ligase
V1033188	Glucosamine kinase GspK
V1033612	Magnesium and cobalt efflux protein CorC
V1032391	Stage III sporulation protein E
V1033333	6%2C7-dimethyl-8-ribityllumazine synthase
V1032882	DNA polymerase III subunit beta
V1033399	hypothetical protein
V1032931	Putative glycosyltransferase EpsH
V1032519	Recombination protein RecR
V1033036	Putative ribosome biogenesis GTPase RsgA
V1034224	Peptide chain release factor 1
V1143422	Transposase%2C IS30 family
V1033463	Cystathionine beta-lyase family protein involved in aluminum resistance
V1033687	HTH-type transcriptional activator CmpR
V1032476	putative FAD-linked oxidoreductase
V1032642	Phosphatidate cytidylyltransferase
V1033471	Glucitol operon repressor
V1101380	putative membrane protein
V1424786	putative transcriptional regulatory protein
V1033361	putative DEAD-box ATP-dependent RNA helicase
V1033090	30S ribosomal protein S9
V1796834	ATP-dependent DNA helicase PcrA
V1150431	Type-1 restriction enzyme R protein
V1032989	Proline iminopeptidase
V1884791	Peptidase T
V1032523	DNA polymerase III subunit gamma/tau
V1033020	Peptide chain release factor 3
V1101200	tetratricopeptide repeat protein
V1890912	Dipeptidase A
V1891308	glutathione ABC transporter permease GsiC
V1032524	Initiation-control protein YabA
V1033172	DNA-binding protein HU
V1034207	Phosphate acyltransferase
V1032216	Phosphate-import permease protein PhnE
V1033848	Adenine phosphoribosyltransferase
V1032823	50S ribosomal protein L30
V1806589	YbbR-like protein
V1033128	hypothetical protein
V1764472	SigL modulation protein
V1032595	potassium transport protein Kup
V1033201	hypothetical protein
V1891127	major capsid protein
V1033692	Release factor glutamine methyltransferase
V1033408	O-acetyl-ADP-ribose deacetylase
V1033171	hypothetical protein
V1032839	Carboxylesterase NlhH
V1237154	Cephalosporin-C deacetylase
V1032393	Putative zinc protease AlbF
V1423860	Phosphocarrier protein HPr
V1807953	Surface layer protein
V1101383	Membrane-bound protein LytR
V1032472	Sensor histidine kinase YycG
V1032901	hypothetical protein
V1033623	RNA pyrophosphohydrolase
V1033253	tRNA-specific 2-thiouridylase MnmA
V1162595	putative cation-transporting ATPase F
V1046998	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
V1884554	Tryptophan--tRNA ligase 2
V1336009	Surface layer protein
V1338861	Bifunctional oligoribonuclease and PAP phosphatase NrnA
V1032557	DNA integrity scanning protein DisA
V1032914	DNA polymerase I
V1882173	putative oxidoreductase
V1032724	Chaperone protein YajL
V1796870	N-acetyldiaminopimelate deacetylase
V1032682	CBS domain protein
V1101441	Multidrug-efflux transporter 3
V1819365	ATP-dependent protease subunit HslV
V1033158	YGGT family protein
V1202459	hypothetical protein
V1163626	DNA gyrase subunit A
V1032331	Cysteine desulfurase
V1032521	Thymidylate kinase
V1032652	Serine protease Do-like HtrA
V1882165	hypothetical protein
V1033349	Membrane-bound protein LytR
V1032996	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
V1552699	Surface layer protein
V1872750	Transposase
V1032318	MutS2 protein
V1032838	Surface layer protein
V1032552	Phosphate acetyltransferase
V1891294	hypothetical protein
V1033055	Arabinose import ATP-binding protein AraG
V1880086	Surface layer protein
V1032831	autolysin
V1883278	Fluoroquinolones export ATP-binding proteinc/MT2762
