gene	geneProduct
V1016072	DNA replication initiation protein gpA
V1016074	capsid protein
V1016073	minor spike protein
V1541158	major spike protein
V1064214	external scaffolding protein
V1053544	hypothetical protein
V1055790	Heat shock protein 70
V1016999	Elongation factor Tu
V1019516	Phosphoenolpyruvate carboxykinase [ATP]
V1470073	Elongation factor Tu
V1015255	Glyceraldehyde-3-phosphate dehydrogenase
V1017002	50S ribosomal protein L1
V1232339	co-chaperonin GroES
V1014772	Vegetative protein 19
V1116820	Arginine deiminase
V1081714	hypothetical protein
V1164740	Sulfonamide resistance protein
V1015384	Pyruvate-flavodoxin oxidoreductase
V1470364	ATP synthase subunit beta
V1486082	hypothetical protein
V1051482	hypothetical protein
V1014134	DNA-directed RNA polymerase subunit beta
V1049457	Chaperone protein ClpB 1
V1216207	hypothetical protein
V1119708	ATP synthase subunit alpha
V1013667	Fructose-bisphosphate aldolase
V1601149	Listeria-Bacteroides repeat domain (List_Bact_rpt)
V1164566	Ornithine carbamoyltransferase%2C catabolic
V1017003	50S ribosomal protein L10
V1013332	Enolase
V1118648	Enolase
V1470277	6-phosphofructokinase
V1018831	30S ribosomal protein S1
V1014775	50S ribosomal protein L4
V1049455	ATP-dependent Clp protease ATP-binding subunit ClpC
V1016411	30S ribosomal protein S11
V1019199	Elongation factor Ts
V1470097	Phosphoenolpyruvate-protein phosphotransferase
V1014133	DNA-directed RNA polymerase subunit beta'
V1019383	Hydroxylamine reductase
V1020454	hypothetical protein
V1470276	Pyruvate kinase
V1049443	High temperature protein G
V1049610	ATP synthase subunit alpha
V1164612	Metal ABC transporter substrate-binding lipoprotein precursor
V1018782	preprotein translocase subunit SecY
V1470183	Glyceraldehyde-3-phosphate dehydrogenase
V1014881	Fumarate reductase flavoprotein subunit
V1470387	Anaerobic ribonucleoside-triphosphate reductase
V1014780	hypothetical protein
V1470365	F-type ATPase subunit b
V1119707	F-ATPase gamma subunit
V1118877	Arginine/ornithine antiporter
V1049442	Cytosol non-specific dipeptidase
V1018256	ATP synthase subunit beta%2C sodium ion specific
V1017823	Desulfoferrodoxin
V1023795	hypothetical protein
V1018365	Pyruvate%2C phosphate dikinase
V1014776	50S ribosomal protein L23
V1014779	hypothetical protein
V1155983	hypothetical protein
V1057118	hypothetical protein
V1016410	hypothetical protein
V1049967	putative PEP-CTERM system TPR-repeat lipoprotein
V1470945	Glycogen phosphorylase
V1017001	50S ribosomal protein L11
V1020573	Tyrosine recombinase XerC
V1686897	site-specific tyrosine recombinase XerC
V1016409	DNA-directed RNA polymerase subunit alpha
V1013428	Translation initiation factor IF-2
V1047632	Vegetative protein 209
V1118248	preprotein translocase subunit SecY
V1018822	Phosphoglycerate kinase
V1052644	30S ribosomal protein S5
V1021333	hypothetical protein
V1018781	50S ribosomal protein L15
V1470944	4-alpha-glucanotransferase
V1017462	Colicin I receptor precursor
V1019123	Periplasmic pH-dependent serine endoprotease DegQ precursor
V1470389	Stress protein H5
V1012316	2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase
V1014694	protein TolR
V1470281	DNA-directed RNA polymerase subunit beta'
V1470139	Phosphoglucomutase
V1700921	Secreted 45 kDa protein precursor
