gene	geneProduct
V1067936	Formate acetyltransferase
V1000546	Maltose/maltodextrin-binding protein precursor
V1066646	Maltose/maltodextrin-binding protein precursor
V1013092	Formate acetyltransferase
V1016072	DNA replication initiation protein gpA
V1194993	Putative endo-beta-N-acetylglucosaminidase precursor
V1000545	Maltose transport system permease protein MalF
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1016074	capsid protein
V1504200	Heat shock protein 70
V1008495	Formate acetyltransferase
V1464571	Elongation factor Tu-B
V1000122	Elongation factor Tu
V1000549	Maltose phosphorylase
V1421051	Putative endo-beta-N-acetylglucosaminidase precursor
V1000640	Phosphoglycerate kinase
V1016073	minor spike protein
V1000004	DNA-directed RNA polymerase subunit alpha
V1463773	hypothetical protein
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1504617	TonB-linked outer membrane protein%2C SusC/RagA family
V1000116	Pyruvate kinase
V1000548	Beta-phosphoglucomutase
V1345818	hypothetical protein
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1200593	Multiple sugar-binding protein precursor
V1010364	Outer membrane protein alpha precursor
V1083372	Stress protein H5
V1190266	flagellar capping protein
V1194965	hypothetical protein
V1011087	Heat shock protein 70
V1067558	Glyceraldehyde-3-phosphate dehydrogenase
V1143274	gram-positive signal peptide%2C YSIRK family
V1912442	6-phosphofructokinase
V1001368	EIIAB-Man
V1369262	NAD-specific glutamate dehydrogenase
V1067559	Phosphoglycerate kinase
V1065438	Stress protein H5
V1574099	PTS system mannose-specific EIIC component
V1267384	Procyclic acidic repetitive protein (PARP)
V1000487	Fructose-bisphosphate aldolase
V1041445	co-chaperonin GroES
V1066640	Elongation factor Tu
V1235913	ATP synthase subunit alpha
V1000527	Vegetative protein 19
V1000842	F-ATPase subunit 6
V1541158	major spike protein
V1065923	ATP synthase subunit beta%2C sodium ion specific
V1000305	Enolase
V1394860	hypothetical protein
V1144133	hypothetical protein
V1851980	Procyclic acidic repetitive protein (PARP)
V1000841	F-type ATPase subunit delta
V1504616	SusD family protein
V1036606	F-type ATPase subunit b
V1158426	PTS system mannose-specific EIIC component
V1000547	Trehalose import ATP-binding protein SugC
V1195882	Fructose-bisphosphate aldolase
V1000018	hypothetical protein
V1339929	L-lactate dehydrogenase
V1000943	50S ribosomal protein L11
V1000596	Stress protein H5
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1393615	hypothetical protein
V1006020	50S ribosomal protein L2
V1073967	50S ribosomal protein L10
V1000641	Triosephosphate isomerase
V1265423	hypothetical protein
V1000642	Enolase
V1066925	Oligopeptide-binding protein AppA precursor
V1013090	Fructose-bisphosphate aldolase
V1067937	Pyruvate formate-lyase-activating enzyme
V1181275	Adhesin YadA precursor
V1066648	DNA-directed RNA polymerase subunit beta
V1000017	50S ribosomal protein L16
V1000021	50S ribosomal protein L3
V1000079	DNA gyrase subunit A
V1356102	Elongation factor Tu
V1099396	Cyclodextrin-binding protein precursor
V1380123	Na(+)-translocating ATPase gamma chain
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1067099	6-phosphofructokinase
V1431607	50S ribosomal protein L21
V1357366	Heat shock protein J
V1067061	Threonine--tRNA ligase 2
V1000171	Oligopeptide-binding protein AppA precursor
V1066910	Ribonuclease Y
V1547327	Immunoglobulin G-binding protein G precursor
V1381099	F-ATPase gamma subunit
V1064214	external scaffolding protein
