gene	geneProduct
V1006735	gram-positive signal peptide%2C YSIRK family
V1073455	Phosphoenolpyruvate carboxykinase [ATP]
V1088192	hypothetical protein
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1079798	TonB-linked outer membrane protein%2C SusC/RagA family
V1485691	Elongation factor Tu
V1016072	DNA replication initiation protein gpA
V1198628	hypothetical protein
V1500439	Elongation factor Tu
V1036418	hypothetical protein
V1016074	capsid protein
V1081813	ATP synthase subunit alpha
V1075033	Glyceraldehyde-3-phosphate dehydrogenase A
V1074069	hypothetical protein
V1152427	Malate dehydrogenase
V1053762	hypothetical protein
V1265557	Outer membrane protein alpha precursor
V1079799	SusD family protein
V1368901	Maltose/maltodextrin-binding protein precursor
V1016073	minor spike protein
V1077152	50S ribosomal protein L10
V1394389	Cyclodextrin-binding protein precursor
V1265423	hypothetical protein
V1036177	Fimbrial subunit type 1 precursor
V1037687	Stress protein H5
V1073738	50S ribosomal protein L22
V1310212	Beta-N-acetylhexosaminidase precursor
V1499048	DNA-directed RNA polymerase subunit beta
V1072266	Enolase
V1138842	30S ribosomal protein S1
V1085154	hypothetical protein
V1836803	Beta-N-acetylhexosaminidase precursor
V1000546	Maltose/maltodextrin-binding protein precursor
V1036256	Maltodextrin-binding protein
V1079141	Pyruvate-flavodoxin oxidoreductase
V1080826	50S ribosomal protein L1
V1139649	DNA-directed RNA polymerase subunit beta'
V1201618	Formate acetyltransferase
V1070888	Thiol-activated cytolysin
V1013684	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1499465	hypothetical protein
V1081021	Isoleucine--tRNA ligase
V1884213	Pyruvate-flavodoxin oxidoreductase
V1012379	Flavodoxin
V1010370	Ferrous iron transport protein B
V1145082	Beta/alpha-amylase precursor
V1073737	hypothetical protein
V1000545	Maltose transport system permease protein MalF
V1074522	Biopolymer transport protein ExbD/TolR
V1000004	DNA-directed RNA polymerase subunit alpha
V1138803	Heat shock protein 70
V1178485	hypothetical protein
V1272241	hypothetical protein
V1884207	Maltose transport system permease protein MalF
V1366884	co-chaperonin GroES
V1152905	F-type ATPase subunit delta
V1337358	Thiol-activated cytolysin
V1006736	Beta-N-acetylhexosaminidase precursor
V1038361	Elongation factor Tu
V1238174	Vegetative protein 300
V1464571	Elongation factor Tu-B
V1239597	Dark-response protein 21
V1541158	major spike protein
V1081400	Biopolymer transport protein ExbB
V1000122	Elongation factor Tu
V1036425	hypothetical protein
V1141833	hypothetical protein
V1138312	Periplasmic pH-dependent serine endoprotease DegQ precursor
V1138616	Maltodextrin phosphorylase
V1015469	Electron transfer flavoprotein large subunit
V1042360	hypothetical protein
V1574099	PTS system mannose-specific EIIC component
V1010320	putative FAD-linked oxidoreductase
V1145548	30S ribosomal protein S1
V1082180	Fumarate reductase flavoprotein subunit
V1806808	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1076810	50S ribosomal protein L7/L12
V1079173	Translation initiation factor IF-2
V1081399	protein TolR
V1036259	4-alpha-glucanotransferase
V1175702	hypothetical protein
V1139283	Glucokinase
V1001368	EIIAB-Man
V1014517	pyrroloquinoline quinone biosynthesis protein PqqE
V1394807	Elongation factor Tu
V1084025	putative TonB-dependent receptor precursor
V1500737	6-phosphofructokinase isozyme 1
V1085061	Cytosol non-specific dipeptidase
V1083488	30S ribosomal protein S5
V1000018	hypothetical protein
V1082145	Enterobactin outer-membrane receptor
V1085162	(S)-sulfolactate dehydrogenase
V1000017	50S ribosomal protein L16
V1266125	Formate acetyltransferase
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1080488	Pyruvate%2C phosphate dikinase
V1084381	Chaperone protein ClpB 1
V1075465	Elongation factor Ts
V1014074	Formate acetyltransferase
V1087127	6-phosphofructokinase isozyme 1
V1138248	Phosphate-selective porin
V1000943	50S ribosomal protein L11
V1138313	Phosphoglucomutase
V1076102	50S ribosomal protein L15
V1080453	bifunctional preprotein translocase subunit SecD/SecF
V1384350	30S ribosomal protein S7
V1617409	hypothetical protein
V1008596	hypothetical protein
V1089092	hypothetical protein
V1081232	Formate acetyltransferase 1
V1013795	Nucleoside triphosphate pyrophosphohydrolase
V1613141	30S ribosomal protein S11
V1037512	hypothetical protein
V1036358	Fimbrial subunit type 1 precursor
V1015867	50S ribosomal protein L11
V1083585	hypothetical protein
V1269313	hypothetical protein
V1177532	50S ribosomal protein L11
V1000549	Maltose phosphorylase
V1493841	Beta-N-acetylhexosaminidase precursor
V1073923	DNA-directed RNA polymerase subunit alpha
V1140098	ATP synthase subunit beta%2C sodium ion specific
V1074055	hypothetical protein
V1068939	1%2C4-alpha-glucan branching enzyme GlgB
V1036164	Stress protein H5
V1064214	external scaffolding protein
V1074667	IgA-specific serine endopeptidase autotransporter precursor
V1015704	Formate acetyltransferase 1
V1085032	Alkyl hydroperoxide reductase subunit C
V1145224	hypothetical protein
V1000527	Vegetative protein 19
V1441127	50S ribosomal protein L1
V1038252	F-ATPase gamma subunit
V1076687	Ferritin
V1138247	Glycerophosphoryl diester phosphodiesterase precursor
V1166924	Heat shock protein 70
V1073219	Methylmalonyl-CoA carboxyltransferase 5S subunit
V1596952	hypothetical protein
V1549573	co-chaperonin GroES
V1000021	50S ribosomal protein L3
V1038276	TM2 domain protein
V1073967	50S ribosomal protein L10
V1432853	50S ribosomal protein L21
V1000116	Pyruvate kinase
V1081499	hypothetical protein
V1000841	F-type ATPase subunit delta
V1836823	hypothetical protein
V1080459	DNA gyrase subunit B
V1013250	Cold shock protein CspC
V1138253	putative propionyl-CoA carboxylase beta chain 5
V1081240	hypothetical protein
V1000640	Phosphoglycerate kinase
V1158426	PTS system mannose-specific EIIC component
V1037793	hypothetical protein
V1012820	(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha
V1548997	hypothetical protein
V1015868	50S ribosomal protein L1
V1080812	High temperature protein G
V1073427	4-alpha-glucanotransferase
V1080015	Transketolase
V1037518	50S ribosomal protein L7/L12
V1084323	bacteriocin-associated integral membrane protein
V1841384	Tyrosine recombinase XerD
V1014932	Oligopeptide-binding protein AppA precursor
V1075073	50S ribosomal protein L13
V1547956	hypothetical protein
V1154539	Glyceraldehyde-3-phosphate dehydrogenase
V1083710	Phenylalanine--tRNA ligase beta subunit
V1138661	Alanine--tRNA ligase
V1036270	cell division protein MraZ
V1000548	Beta-phosphoglucomutase
V1073415	F-type ATPase subunit b
V1522030	Beta-N-acetylhexosaminidase precursor
V1141150	Enolase
V1038257	ABC transporter permease YtrF precursor
V1912442	6-phosphofructokinase
V1155393	Vegetative protein 19
V1138294	Elongation factor G
V1079172	hypothetical protein
V1073610	ATP-dependent zinc metalloprotease FtsH
V1006020	50S ribosomal protein L2
V1266145	S-adenosylmethionine synthase
V1190680	Meso-diaminopimelate D-dehydrogenase
V1013092	Formate acetyltransferase
V1012602	Acetate kinase
V1016891	Helix-destabilizing protein
V1140670	ATP synthase subunit alpha%2C sodium ion specific
V1238882	hypothetical protein
V1612264	hypothetical protein
V1180681	hypothetical protein
V1084261	tetratricopeptide repeat protein
V1431607	50S ribosomal protein L21
V1010364	Outer membrane protein alpha precursor
V1017544	Elongation factor Tu
V1806795	Glyceraldehyde-3-phosphate dehydrogenase
V1083487	hypothetical protein
V1090535	DNA protection during starvation protein
V1080854	hypothetical protein
V1073413	F-ATPase subunit 6
V1077505	hypothetical protein
V1074148	Trigger factor
V1108928	ATP synthase subunit beta%2C sodium ion specific
V1000642	Enolase
V1009698	Alkyl hydroperoxide reductase subunit C
V1145663	Elongation factor G
V1139744	Pullulanase
V1073235	putative PEP-CTERM system TPR-repeat lipoprotein
V1083489	preprotein translocase subunit SecY
V1073414	Lipid-binding protein
V1138324	protease3
V1291747	Fumarate hydratase class I%2C aerobic
V1138984	hypothetical protein
V1558106	hypothetical protein
V1081814	F-ATPase gamma subunit
V1015866	hypothetical protein
