gene	geneProduct
V1013271	hypothetical protein
V1448552	hypothetical protein
V1136163	50S ribosomal protein L10
V1203576	6-phosphofructokinase
V1016072	DNA replication initiation protein gpA
V1211201	preprotein translocase subunit SecY
V1136510	50S ribosomal protein L2
V1597389	50S ribosomal protein L11
V1136440	50S ribosomal protein L16
V1136121	30S ribosomal protein S6
V1016074	capsid protein
V1136465	30S ribosomal protein S5
V1136538	Trigger factor
V1448327	F-ATPase gamma subunit
V1211229	ATP synthase subunit beta
V1436495	co-chaperonin GroES
V1136548	Elongation factor Ts
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1016073	minor spike protein
V1600200	Phosphoenolpyruvate-protein phosphotransferase
V1213484	Cyclodextrin-binding protein precursor
V1213705	Fructose-bisphosphate aldolase
V1136388	Phosphoglycerate kinase
V1154974	50S ribosomal protein L4
V1799342	DNA-directed RNA polymerase subunit beta'
V1154972	hypothetical protein
V1213559	Oligopeptide-binding protein AppA precursor
V1448309	Oxalyl-CoA decarboxylase
V1136203	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1136462	30S ribosomal protein S8
V1448519	Glyceraldehyde-3-phosphate dehydrogenase
V1886543	Vegetative protein 19
V1237698	50S ribosomal protein L3
V1157115	Enolase
V1154969	50S ribosomal protein L15
V1155228	Elongation factor Tu
V1136049	50S ribosomal protein L13
V1203478	EIIAB-Man
V1213513	Maltose phosphorylase
V1599347	putative transporter
V1136437	50S ribosomal protein L24
V1136308	putative endopeptidase precursor
V1211184	DNA-directed RNA polymerase subunit beta
V1211334	Enolase
V1799340	hypothetical protein
V1156179	30S ribosomal protein S1
V1211345	ATP synthase subunit alpha
V1203452	Muramidase-2 precursor
V1213511	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1136354	Formyl-coenzyme A transferase
V1136438	50S ribosomal protein L14
V1136266	HTH-type transcriptional regulator SinR
V1426355	Translation initiation factor IF-3
V1599158	Thymidylate synthase
V1158332	Pyruvate kinase
V1541158	major spike protein
V1203556	Acyl-ACP thioesterase
V1213485	Maltose transport system permease protein MalF
V1136463	50S ribosomal protein L6
V1212427	Adenylate kinase
V1203570	Glucose-6-phosphate isomerase
V1136573	50S ribosomal protein L1
V1136352	Tyrosine phosphorylated protein A
V1136448	PTS system mannose-specific EIIC component
