gene	count	length
V1001305	66157	1212
V1064553	59574	2559
V1016072	46212	1569
V1000390	37319	1293
V1605177	37280	5865
V1016074	36854	1284
V1001201	36438	912
V1799410	36363	510
V1000961	35880	717
V1462044	35787	1206
V1000962	34674	2229
V1806712	32444	1233
V1000814	31687	756
V1002828	31622	540
V1001250	30957	2268
V1016073	30040	987
V1301806	29350	537
V1256203	28957	1818
V1481432	28327	1782
V1806742	27718	2148
V1492831	26766	126
V1001253	26493	1590
V1598369	26107	1398
V1001104	25648	1737
V1492438	24306	531
V1000815	24232	1212
V1806743	24161	3669
V1510897	23958	2448
V1462039	23893	1053
V1162893	23769	729
V1001309	23535	1344
V1034627	23148	2565
V1000907	20650	960
V1000407	20534	516
V1000860	20296	783
V1000383	20080	441
V1001053	19908	1080
V1001054	19869	1074
V1000378	19390	630
V1001183	19105	963
V1547333	18910	2568
V1000816	18536	1017
V1000376	18174	2091
V1001437	18098	1236
V1553549	17494	111
V1799411	17110	135
V1541158	16525	582
V1257375	16308	1212
V1207150	16214	405
V1001078	16086	579
V1150709	15955	1587
V1143245	15738	456
V1001336	15446	555
V1000956	15136	1821
V1001181	15077	510
V1000391	14240	654
V1256223	14222	1314
V1000781	13760	1626
V1001016	13589	1005
V1001337	13454	1047
V1000221	13331	1371
V1000358	13302	2211
V1000861	12723	876
V1301183	12637	1794
V1000373	12611	3663
V1890551	12431	288
V1598404	12286	1053
V1462246	12248	378
V1000385	12155	315
V1000734	11995	363
V1204532	11995	2730
V1001184	11351	1443
V1001060	11092	1431
V1210045	11074	171
V1002229	10979	858
V1302301	10796	408
V1064214	10779	459
V1001026	10746	1374
V1001077	10736	798
V1150830	10736	405
V1001308	10709	1872
V1210751	10598	246
V1000386	10325	543
V1001012	10252	2652
V1836857	10166	2883
V1150412	10075	1860
V1891079	10012	534
V1836860	9969	29328
V1000382	9923	675
V1806747	9887	432
V1143683	9870	975
V1256874	9854	438
V1302819	9834	369
V1001076	9768	918
V1303324	9614	2568
V1001252	9591	1116
V1598279	9555	399
V1001040	9435	1317
V1001157	9352	1314
V1891385	9290	201
V1000743	9229	1686
V1000406	8994	294
V1001296	8952	2538
V1001182	8911	549
V1001254	8887	1359
V1000950	8882	693
V1836869	8800	969
V1150496	8760	1038
V1000957	8692	1944
V1000801	8620	1353
V1159981	8537	729
V1301472	8342	327
V1257385	8276	2721
V1000384	8146	267
V1000731	8133	1404
V1886895	8126	486
V1887027	8018	2418
V1001274	7795	1002
V1301143	7759	1566
V1000387	7755	531
V1000867	7672	4320
V1150763	7549	783
V1001275	7462	936
V1000793	7432	729
V1209840	7417	927
V1541136	7413	360
V1001255	7374	858
V1598348	7344	1704
V1001251	7340	672
V1001230	7325	1338
V1580822	7319	981
V1001603	7191	1584
V1001276	7106	1227
V1806762	7098	774
V1001075	7089	357
V1000969	7085	1008
V1000388	7054	516
V1000740	6999	1362
V1001379	6953	1629
V1000650	6941	2076
V1000277	6899	1404
V1150528	6898	141
V1256761	6761	495
V1581231	6732	432
V1000405	6674	2478
V1302519	6633	417
V1001249	6623	1707
V1000922	6543	1083
V1836836	6488	8502
V1000741	6440	867
V1001186	6414	1062
V1207166	6394	1545
V1000409	6326	2019
V1573676	6313	666
V1000229	6272	1299
V1000925	6240	2403
V1547355	6150	7647
V1297429	6131	198
V1001042	6128	1509
V1001380	6122	1587
V1302774	6100	282
V1150432	6076	579
V1001039	6065	933
V1149748	6059	294
V1150536	6018	684
V1755676	5997	837
V1000247	5975	1806
V1555322	5853	2202
V1162891	5804	2637
V1000276	5803	1392
V1001480	5795	879
V1301152	5781	1560
V1829441	5761	1062
V1257540	5726	1632
V1000392	5706	222
V1420625	5675	621
V1006032	5652	1230
V1162954	5595	1311
V1162889	5588	1605
V1420624	5582	1938
V1000685	5562	1356
V1880218	5534	1650
V1001168	5494	1866
V1598362	5414	1530
V1302970	5384	315
V1000729	5382	1230
V1598547	5360	618
V1000380	5348	276
V1806689	5337	1209
V1605192	5269	4908
V1159677	5237	1257
V1204717	5213	1224
V1000266	5194	915
V1880268	5188	1269
V1836874	5174	4758
V1000379	5130	297
V1885964	5115	1272
V1000360	5113	1368
V1000767	5083	447
V1000244	5073	1239
V1001200	5036	1677
V1836854	5027	4614
V1001351	5016	1959
V1150477	4997	1413
V1000659	4987	1971
V1000739	4980	852
V1420594	4915	1917
V1001061	4895	1440
V1001347	4887	2088
V1149628	4874	285
V1000676	4847	2409
V1301167	4847	1080
V1000866	4844	1254
V1598492	4843	726
V1001352	4837	2481
V1365511	4834	1794
V1581846	4819	2526
V1616331	4807	1182
V1150704	4802	1308
V1001118	4766	903
V1555497	4749	1161
V1598288	4736	1512
V1806684	4733	2244
V1302934	4677	351
V1001059	4651	918
V1836875	4649	10926
V1000902	4637	1329
V1880223	4635	297
V1301163	4631	1308
V1298018	4627	261
V1001019	4607	954
V1001030	4581	732
V1001055	4576	1536
