gene	geneProduct
V1036177	Fimbrial subunit type 1 precursor
V1016072	DNA replication initiation protein gpA
V1073455	Phosphoenolpyruvate carboxykinase [ATP]
V1088192	hypothetical protein
V1141371	hypothetical protein
V1074069	hypothetical protein
V1036418	hypothetical protein
V1016074	capsid protein
V1500439	Elongation factor Tu
V1198628	hypothetical protein
V1013684	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1485691	Elongation factor Tu
V1084381	Chaperone protein ClpB 1
V1016073	minor spike protein
V1085032	Alkyl hydroperoxide reductase subunit C
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1079798	TonB-linked outer membrane protein%2C SusC/RagA family
V1075033	Glyceraldehyde-3-phosphate dehydrogenase A
V1145082	Beta/alpha-amylase precursor
V1265423	hypothetical protein
V1079141	Pyruvate-flavodoxin oxidoreductase
V1138803	Heat shock protein 70
V1037687	Stress protein H5
V1366884	co-chaperonin GroES
V1081232	Formate acetyltransferase 1
V1201618	Formate acetyltransferase
V1337358	Thiol-activated cytolysin
V1368901	Maltose/maltodextrin-binding protein precursor
V1166870	Outer membrane protein alpha precursor
V1394389	Cyclodextrin-binding protein precursor
V1077152	50S ribosomal protein L10
V1884207	Maltose transport system permease protein MalF
V1070888	Thiol-activated cytolysin
V1073738	50S ribosomal protein L22
V1079799	SusD family protein
V1036425	hypothetical protein
V1145548	30S ribosomal protein S1
V1038361	Elongation factor Tu
V1081813	ATP synthase subunit alpha
V1272241	hypothetical protein
V1138842	30S ribosomal protein S1
V1072266	Enolase
V1499048	DNA-directed RNA polymerase subunit beta
V1085154	hypothetical protein
V1541158	major spike protein
V1080826	50S ribosomal protein L1
V1080812	High temperature protein G
V1139649	DNA-directed RNA polymerase subunit beta'
V1152427	Malate dehydrogenase
V1166924	Heat shock protein 70
V1073737	hypothetical protein
V1036256	Maltodextrin-binding protein
V1036191	Alkyl hydroperoxide reductase subunit C
V1079173	Translation initiation factor IF-2
V1081021	Isoleucine--tRNA ligase
V1499465	hypothetical protein
V1014074	Formate acetyltransferase
V1074522	Biopolymer transport protein ExbD/TolR
V1036259	4-alpha-glucanotransferase
V1042360	hypothetical protein
V1076687	Ferritin
V1009698	Alkyl hydroperoxide reductase subunit C
