gene	geneProduct
V1338863	Pyruvate kinase
V1204502	Anaerobic ribonucleoside-triphosphate reductase
V1033079	6-phosphofructokinase
V1608705	Surface layer protein
V1034259	Elongation factor Tu
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1016072	DNA replication initiation protein gpA
V1033549	Enolase
V1032617	Phosphate import ATP-binding protein PstB 3
V1016074	capsid protein
V1033097	Carbamoyl-phosphate synthase large chain
V1608729	Surface layer protein
V1033096	DNA-directed RNA polymerase subunit alpha
V1016073	minor spike protein
V1033500	Fructose-bisphosphate aldolase
V1032631	Cyclodextrin-binding protein precursor
V1765286	Fructose-bisphosphate aldolase
V1032618	Phosphate regulon transcriptional regulatory protein PhoB
V1033558	Phosphoglycerate kinase
V1886984	PhoU-like phosphate uptake regulator
V1032513	50S ribosomal protein L10
V1885172	ATP synthase subunit alpha
V1032825	preprotein translocase subunit SecY
V1033629	Heat shock protein 70
V1047208	Elongation factor G
V1032814	hypothetical protein
V1033444	hypothetical protein
V1338876	NADH peroxidase
V1694047	hypothetical protein
V1032826	Adenylate kinase
V1366240	Surface layer protein
V1032815	50S ribosomal protein L16
V1046995	F-ATPase gamma subunit
V1032616	Phosphate transport system permease protein PstA
V1032201	Multicopper oxidase mco
V1806600	Surface layer protein
V1541158	major spike protein
V1047291	hypothetical protein
V1032527	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1033003	Phosphoenolpyruvate-protein phosphotransferase
V1872734	50S ribosomal protein L11
V1047181	Multiple sugar-binding protein precursor
V1032619	Alkaline phosphatase synthesis sensor protein PhoR
V1033091	50S ribosomal protein L13
V1032309	Stress protein H5
V1806605	Beta-phosphoglucomutase
V1032615	Phosphate transport system permease protein PstC
V1828832	Alkaline phosphatase synthesis sensor protein PhoR
V1032614	Phosphate-binding protein PstS 1 precursor
V1046993	F-type ATPase subunit b
V1150427	Fructose-bisphosphate aldolase
V1033428	EIIAB-Man
V1032528	ribosomal-protein-alanine N-acetyltransferase
V1806611	D-lactate dehydrogenase
V1884884	Magnesium-transporting ATPase%2C P-type 1
V1046991	F-ATPase subunit 6
V1880844	Heterocyst differentiation ATP-binding protein HepA
V1032210	anaerobic ribonucleotide reductase-activating protein
V1552772	Pyruvate kinase
V1882158	hypothetical protein
V1032341	F-ATPase epsilon subunit
V1033322	Surface layer protein
V1032638	Translation initiation factor IF-2
V1880007	Surface layer protein
V1033464	Glutamine synthetase
V1884691	Surface layer protein
V1033332	Riboflavin biosynthesis protein RibBA
V1032342	ATP synthase subunit beta
V1034296	Pyruvate oxidase
V1032750	Vegetative protein 209
V1047060	Oligopeptide-binding protein AppA precursor
V1033129	Phosphoenolpyruvate-protein phosphotransferase
V1032303	Diacylglycerol kinase
V1033056	Purine nucleoside receptor A
V1032407	Bifunctional protein GlmU
V1807974	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1064214	external scaffolding protein
V1163652	ATP-dependent zinc metalloprotease FtsH
V1032763	Surface layer protein
V1883305	hypothetical protein
V1032630	Trehalose import ATP-binding protein SugC
V1162609	Folate ECF transporter S component FolT
V1033331	Riboflavin biosynthesis protein RibD
V1033098	Carbamoyl-phosphate synthase small chain
V1032751	Elongation factor Ts
V1033821	hypothetical protein
V1796890	hypothetical protein
V1033559	Triosephosphate isomerase
V1806575	Riboflavin synthase
V1033341	DAK2 domain fusion protein YloV
V1032374	D-alanine--poly(phosphoribitol) ligase subunit 1
V1755587	hypothetical protein
V1034206	FeS cluster assembly protein SufB
V1033306	Trigger factor
V1032984	hypothetical protein
V1424927	50S ribosomal protein L18
V1033392	putative cysteine desulfurase
V1552800	30S ribosomal protein S1
V1338860	Proline--tRNA ligase
V1032349	Uracil phosphoribosyltransferase
V1887290	Translation initiation factor IF-3
V1032808	50S ribosomal protein L4
V1032699	Aminopeptidase E
V1684175	D-alanyl-lipoteichoic acid biosynthesis protein DltB
V1032526	Acyl-ACP thioesterase
V1032372	D-alanyl-lipoteichoic acid biosynthesis protein DltD
V1033393	NifU-like protein
V1204335	PPOX class probable F420-dependent enzyme%2C family
V1032620	Ribonucleoside-diphosphate reductase 2 subunit beta
V1033346	Valine--tRNA ligase
V1046994	F-type ATPase subunit delta
V1034179	Glyceraldehyde-3-phosphate dehydrogenase
V1034213	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1032601	PTS system maltose-specific EIICB component
V1032819	50S ribosomal protein L24
V1033740	Central glycolytic genes regulator
V1033376	DNA protection during starvation protein
V1034346	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
V1033413	Adenylosuccinate synthetase
V1872751	gram-positive signal peptide%2C YSIRK family
V1032820	50S ribosomal protein L5
V1148961	Surface layer protein
V1033216	hypothetical protein
V1828790	gram-positive signal peptide%2C YSIRK family
V1033321	Surface layer protein
V1033391	putative ABC transporter ATP-binding protein
V1806647	DNA primase
V1032339	Rod shape-determining protein MreB
V1755566	PPOX class probable F420-dependent enzyme%2C family
V1032632	Maltose transport system permease protein MalF
V1887313	30S ribosomal protein S6
V1032301	Glutamyl-tRNA(Gln) amidotransferase subunit A
V1796904	Aminopeptidase N
V1143301	FeS cluster assembly protein SufB
V1598290	Serine-rich repeat protein GspB
V1033426	product=hypothetical protein
V1032715	Glutamate--tRNA ligase
V1032670	putative transcriptional regulatory protein
V1808000	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
V1883379	Major Facilitator Superfamily protein
V1163789	Deoxyadenosine kinase
V1206514	Ribose-phosphate pyrophosphokinase
V1033133	Ribosomal RNA small subunit methyltransferase H
V1047236	ATP-dependent Clp protease ATP-binding subunit ClpE
V1684155	DNA-directed RNA polymerase subunit beta
V1046989	HSP-70 cofactor
V1684154	DNA-directed RNA polymerase subunit beta'
V1032628	Intracellular maltogenic amylase
V1032473	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
V1336009	Surface layer protein
V1880086	Surface layer protein
V1033050	[Citrate [pro-3S]-lyase] ligase
V1032397	Recombinase A
V1033627	hypothetical protein
V1203697	Bifunctional protein FolD protein
V1032822	hypothetical protein
V1828860	MucBP domain protein
V1033126	Phosphate-import protein PhnD precursor
V1032681	L-lactate dehydrogenase
V1032639	hypothetical protein
V1032299	DNA ligase
V1143661	Ribonuclease Y
V1047177	Maltose phosphorylase
V1032821	30S ribosomal protein S8
V1047075	gram-positive signal peptide%2C YSIRK family
V1032468	Ribosome-binding ATPase YchF
V1204801	Surface layer protein
V1033414	Adenylosuccinate lyase
V1033034	50S ribosomal protein L35
V1796841	Ribokinase
V1032809	50S ribosomal protein L23
V1684181	hypothetical protein
V1032824	50S ribosomal protein L15
V1032558	Phosphoglucosamine mutase
V1684093	Zinc metalloprotease RasP
V1684092	Ribosomal RNA small subunit methyltransferase B
V1032315	Alanine--tRNA ligase
V1886306	ATP-dependent Clp protease ATP-binding subunit ClpC
V1046990	Ditrans%2Cpolycis-undecaprenyl-diphosphate synthase ((2E%2C6E)-farnesyl-diphosphate specific)
V1032941	Exo-glucosaminidase LytG precursor
V1216924	Ribonucleoside-diphosphate reductase 2 subunit beta
V1032634	Heat-inducible transcription repressor HrcA
V1204587	Minicell-associated protein DivIVA
V1033276	Isoleucine--tRNA ligase
V1047076	hypothetical protein
V1033565	RNA polymerase sigma factor RpoD
V1047113	Serine/threonine-protein kinase PrkC
V1032979	50S ribosomal protein L21
V1033217	Elongation factor P
V1032713	30S ribosomal protein S12
V1033099	Dihydroorotase
V1033375	Trigger factor
V1033707	N-acetylneuraminate lyase
V1883114	SigL modulation protein
V1033427	PTS system mannose-specific EIIC component
V1047061	Threonine--tRNA ligase
V1032300	Protein involved in sex pheromone biosynthesis
V1032330	putative tRNA sulfurtransferase
V1684156	Lysine--tRNA ligase
V1755585	DNA gyrase subunit B
V1033213	Farnesyl diphosphate synthase
V1819389	pyridoxamine kinase
V1796915	Pullulanase
V1032804	6-phosphogluconate dehydrogenase%2C NADP(+)-dependent%2C decarboxylating
V1338859	MucBP domain protein
V1047007	Glycine--tRNA ligase beta subunit
V1204779	Stage 0 sporulation protein KD
V1755580	L-2-hydroxyisocaproate dehydrogenase
V1033229	hypothetical protein
V1462044	Elongation factor Tu
V1033156	putative membrane protein
V1806660	hypothetical protein
V1032827	Translation initiation factor IF-1
V1552781	DNA polymerase III PolC-type
V1033258	Spo0B-associated GTP-binding protein
V1032910	Replication initiation and membrane attachment protein
V1032412	Dipeptidase A
V1032371	Putative penicillin-binding protein PbpX
V1033614	Arginine--tRNA ligase
V1692640	Enolase
V1034178	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
V1806578	Cell division protein FtsZ
V1032563	phosphoenolpyruvate carboxykinase
V1032792	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
V1033319	hypothetical protein
V1032218	Glutamine transport ATP-binding protein GlnQ
V1032997	DNA topoisomerase 1
V1033320	hypothetical protein
V1684077	Cell division protein FtsA
V1796922	ATP-dependent protease ATPase subunit ClpY
V1033004	Adapter protein MecA
V1684153	50S ribosomal protein L2
V1033416	Guanylate kinase
V1033682	putative L-ascorbate-6-phosphate lactonase UlaG
V1032817	hypothetical protein
V1883370	Pullulanase
V1032562	hypothetical protein
V1806574	Divalent metal cation transporter MntH
V1033168	UTP--glucose-1-phosphate uridylyltransferase
V1883371	Glv operon regulatory protein
V1610069	50S ribosomal protein L6
V1885137	Aminopeptidase C
V1033200	Asparagine--tRNA ligase
V1033033	Aspartate--tRNA ligase
V1033542	Endoribonuclease YbeY
V1032395	Zonula occludens toxin
V1032316	Putative Holliday junction resolvase
V1423402	Pyruvate kinase
V1032752	Uridylate kinase
V1033101	Bifunctional protein pyrR
V1032406	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
V1032333	30S ribosomal protein S4
V1033045	6-phospho-alpha-glucosidase 1
V1034301	putative oxidoreductase/MSMEI_2347
V1101399	Inosine-5'-monophosphate dehydrogenase
V1032903	Chromosome partition protein Smc
V1032731	Serine hydroxymethyltransferase
V1101372	Stage 0 sporulation protein KE
V1032381	Phosphoenolpyruvate carboxylase
V1032919	Xaa-Pro dipeptidase
V1163762	Glucose-6-phosphate 1-dehydrogenase
V1032373	D-alanine--poly(phosphoribitol) ligase subunit 2
V1032747	Neutral endopeptidase
V1032753	Ribosome-releasing factor
V1033667	S-adenosylmethionine synthase
V1034181	Pur operon repressor
V1034221	Phosphoglucomutase
V1033497	Methionyl-tRNA formyltransferase
V1552798	Sigma-A
V1162988	Transposase%2C IS30 family
V1101199	transposase%2C IS605 OrfB family
V1033052	Citrate lyase subunit beta
V1033030	Bifunctional (p)ppGpp synthase/hydrolase RelA
V1033120	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
V1806654	23S rRNA (uracil-C(5))-methyltransferase RlmCD
V1796864	Trehalose import ATP-binding protein SugC
V1032714	30S ribosomal protein S7
V1887317	hypothetical protein
V1047240	Ascorbate-specific PTS system EIIC component
V1796838	Fumarate hydratase class II
V1033674	gram-positive signal peptide%2C YSIRK family
V1034186	Recombination protein N
V1143193	Elongation factor 4
V1796840	hypothetical protein
V1033100	Aspartate carbamoyltransferase
V1880033	Lactate 2-monooxygenase
V1808158	Transposase%2C IS30 family
V1047152	Asparagine synthetase [glutamine-hydrolyzing] 1
V1101430	Bacterial Ig-like domain (group 3)
