gene	geneProduct
V1067936	Formate acetyltransferase
V1066646	Maltose/maltodextrin-binding protein precursor
V1074069	hypothetical protein
V1073455	Phosphoenolpyruvate carboxykinase [ATP]
V1079798	TonB-linked outer membrane protein%2C SusC/RagA family
V1200593	Multiple sugar-binding protein precursor
V1088192	hypothetical protein
V1463773	hypothetical protein
V1485691	Elongation factor Tu
V1016072	DNA replication initiation protein gpA
V1053762	hypothetical protein
V1194965	hypothetical protein
V1067937	Pyruvate formate-lyase-activating enzyme
V1067114	Thioredoxin reductase
V1500439	Elongation factor Tu
V1016074	capsid protein
V1079799	SusD family protein
V1075033	Glyceraldehyde-3-phosphate dehydrogenase A
V1190262	Autolysin
V1067559	Phosphoglycerate kinase
V1084381	Chaperone protein ClpB 1
V1065438	Stress protein H5
V1138803	Heat shock protein 70
V1085032	Alkyl hydroperoxide reductase subunit C
V1380851	hypothetical protein
V1235913	ATP synthase subunit alpha
V1016073	minor spike protein
V1067558	Glyceraldehyde-3-phosphate dehydrogenase
V1366884	co-chaperonin GroES
V1066640	Elongation factor Tu
V1065433	putative NADH oxidase
V1138842	30S ribosomal protein S1
V1337358	Thiol-activated cytolysin
V1072266	Enolase
V1080812	High temperature protein G
V1067037	Alcohol dehydrogenase 1
V1190266	flagellar capping protein
V1065923	ATP synthase subunit beta%2C sodium ion specific
V1066648	DNA-directed RNA polymerase subunit beta
V1079141	Pyruvate-flavodoxin oxidoreductase
V1067061	Threonine--tRNA ligase 2
V1152427	Malate dehydrogenase
V1079173	Translation initiation factor IF-2
V1066910	Ribonuclease Y
V1074522	Biopolymer transport protein ExbD/TolR
V1066641	Vegetative protein 19
V1083585	hypothetical protein
V1067115	Alkyl hydroperoxide reductase subunit C
V1081813	ATP synthase subunit alpha
V1380123	Na(+)-translocating ATPase gamma chain
V1077152	50S ribosomal protein L10
V1067088	Fructose-bisphosphate aldolase
V1616702	hypothetical protein
V1499048	DNA-directed RNA polymerase subunit beta
V1082990	hypothetical protein
V1066613	product=enterobactin exporter EntS
V1068288	Aldehyde-alcohol dehydrogenase
V1066925	Oligopeptide-binding protein AppA precursor
V1073738	50S ribosomal protein L22
V1499465	hypothetical protein
V1464834	Formate acetyltransferase
V1085033	Alkyl hydroperoxide reductase subunit F
V1084025	putative TonB-dependent receptor precursor
V1201556	DNA-directed RNA polymerase subunit beta'
V1272241	hypothetical protein
V1138313	Phosphoglucomutase
V1541158	major spike protein
V1290782	Putative endo-beta-N-acetylglucosaminidase precursor
V1058847	Transposase DDE domain protein
V1081400	Biopolymer transport protein ExbB
V1081021	Isoleucine--tRNA ligase
V1582926	Flagellin
V1080453	bifunctional preprotein translocase subunit SecD/SecF
V1152905	F-type ATPase subunit delta
V1139649	DNA-directed RNA polymerase subunit beta'
V1393635	Flagellin subunit protein B2
V1109044	hypothetical protein
V1081399	protein TolR
V1068297	Trigger factor
V1067099	6-phosphofructokinase
V1230430	Fimbrial subunit type 1 precursor
V1065535	Putative serine protease HtrA
V1076687	Ferritin
V1085061	Cytosol non-specific dipeptidase
V1073798	Phosphoserine aminotransferase
V1065552	Arginine deiminase
V1295007	Valine--tRNA ligase
V1067454	Heat shock protein 70
V1073737	hypothetical protein
V1066927	Pyruvate%2C phosphate dikinase
V1065536	Pyruvate kinase
V1273957	Putative metal chaperone YciC
V1366716	Flagellin
V1138616	Maltodextrin phosphorylase
V1295112	Putative flagellin YvzB
V1375370	Flagellin
V1464364	Glyceraldehyde-3-phosphate dehydrogenase
V1066614	EIIAB-Man
V1074055	hypothetical protein
V1085162	(S)-sulfolactate dehydrogenase
V1190192	hypothetical protein
V1146847	Putative flagellin YvzB
V1065916	Phase 1-C flagellin
V1066645	Cyclomaltodextrinase
V1079172	hypothetical protein
V1080826	50S ribosomal protein L1
V1075480	Glucose-6-phosphate isomerase
V1138294	Elongation factor G
V1109127	Alcohol dehydrogenase 1
V1080459	DNA gyrase subunit B
V1374204	Maltose phosphorylase
V1065555	C4-dicarboxylate anaerobic carrier
V1073235	putative PEP-CTERM system TPR-repeat lipoprotein
V1616735	hypothetical protein
V1082145	Enterobactin outer-membrane receptor
V1111738	co-chaperonin GroES
V1087127	6-phosphofructokinase isozyme 1
V1079897	Inner membrane protein YbhL
V1368901	Maltose/maltodextrin-binding protein precursor
V1379917	Elongation factor G
V1140098	ATP synthase subunit beta%2C sodium ion specific
V1067063	D-lactate dehydrogenase
