gene	geneProduct
V1852142	gram-positive signal peptide%2C YSIRK family
V1000546	Maltose/maltodextrin-binding protein precursor
V1265423	hypothetical protein
V1000122	Elongation factor Tu
V1000004	DNA-directed RNA polymerase subunit alpha
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1000549	Maltose phosphorylase
V1016072	DNA replication initiation protein gpA
V1001368	EIIAB-Man
V1464571	Elongation factor Tu-B
V1400062	Pullulanase precursor
V1385524	hypothetical protein
V1574099	PTS system mannose-specific EIIC component
V1000171	Oligopeptide-binding protein AppA precursor
V1201618	Formate acetyltransferase
V1000545	Maltose transport system permease protein MalF
V1016074	capsid protein
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1836803	Beta-N-acetylhexosaminidase precursor
V1181469	Enolase
V1000527	Vegetative protein 19
V1046766	C protein alpha-antigen precursor
V1000018	hypothetical protein
V1000943	50S ribosomal protein L11
V1000548	Beta-phosphoglucomutase
V1037687	Stress protein H5
V1158426	PTS system mannose-specific EIIC component
V1016073	minor spike protein
V1015469	Electron transfer flavoprotein large subunit
V1172048	Cyclodextrin-binding protein precursor
V1344061	Nickel-binding periplasmic protein precursor
V1000640	Phosphoglycerate kinase
V1000116	Pyruvate kinase
V1000487	Fructose-bisphosphate aldolase
V1073967	50S ribosomal protein L10
V1724685	Maltodextrin-binding protein
V1431607	50S ribosomal protein L21
V1000017	50S ribosomal protein L16
V1046751	gram-positive signal peptide%2C YSIRK family
V1176226	Formate acetyltransferase 1
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1181282	1%2C4-alpha-glucan branching enzyme GlgB
V1000008	Adenylate kinase
V1310212	Beta-N-acetylhexosaminidase precursor
V1195882	Fructose-bisphosphate aldolase
V1010370	Ferrous iron transport protein B
V1266145	S-adenosylmethionine synthase
V1012379	Flavodoxin
V1000305	Enolase
V1014517	pyrroloquinoline quinone biosynthesis protein PqqE
V1000021	50S ribosomal protein L3
V1010320	putative FAD-linked oxidoreductase
V1238174	Vegetative protein 300
V1912442	6-phosphofructokinase
V1175472	preprotein translocase subunit SecA
V1000642	Enolase
V1295109	Thiol-activated cytolysin
V1580898	hypothetical protein
V1013795	Nucleoside triphosphate pyrophosphohydrolase
V1000840	F-ATPase gamma subunit
V1181512	30S ribosomal protein S2
V1034591	serine/threonine protein kinase
V1000841	F-type ATPase subunit delta
V1176648	Fimbrial subunit type 1 precursor
V1000547	Trehalose import ATP-binding protein SugC
V1042355	EIIAB-Man
V1036606	F-type ATPase subunit b
V1000842	F-ATPase subunit 6
V1547956	hypothetical protein
V1391945	product=Deoxyuridine 5'-triphosphate nucleotidohydrolase
V1006020	50S ribosomal protein L2
V1000080	hypothetical protein
V1010209	Isoleucine--tRNA ligase
V1541158	major spike protein
V1181162	hypothetical protein
V1000079	DNA gyrase subunit A
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1175121	Stress protein H5
V1175702	hypothetical protein
V1852084	50S ribosomal protein L23
V1306539	50S ribosomal protein L13
V1175828	Branched-chain-amino-acid aminotransferase
V1000013	30S ribosomal protein S8
V1491714	30S ribosomal protein S1
V1836823	hypothetical protein
V1000003	hypothetical protein
V1144133	hypothetical protein
V1009707	putative NADH oxidase
V1014074	Formate acetyltransferase
V1384350	30S ribosomal protein S7
V1000011	50S ribosomal protein L18
V1295196	Cell division protein FtsA
V1266125	Formate acetyltransferase
V1000168	Isoleucine--tRNA ligase
V1852083	50S ribosomal protein L5
V1000007	Translation initiation factor IF-1
V1339929	L-lactate dehydrogenase
V1017894	Outer membrane protein
V1183570	F-type ATPase subunit b
V1465978	Maltose transport system permease protein MalF
V1010605	Heat shock protein 70
V1009698	Alkyl hydroperoxide reductase subunit C
V1014932	Oligopeptide-binding protein AppA precursor
V1016891	Helix-destabilizing protein
V1239784	50S ribosomal protein L7/L12
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1015867	50S ribosomal protein L11
V1000005	30S ribosomal protein S11
V1265557	Outer membrane protein alpha precursor
V1852133	Translation initiation factor IF-3
V1038290	FeoA domain protein
V1836804	Lysine--tRNA ligase
V1000143	Elongation factor Ts
V1006727	30S ribosomal protein S1
V1166870	Outer membrane protein alpha precursor
V1237835	Glutathione transport system permease protein GsiC
V1440338	Outer membrane protein alpha precursor
V1481366	30S ribosomal protein S1
V1420702	4-alpha-glucanotransferase
V1291185	hypothetical protein
V1011483	DNA protection during starvation protein
V1012925	Phosphate acetyltransferase
V1000129	Tyrosine phosphorylated protein A
V1355167	hypothetical protein
V1042049	Pyrimidine-specific ribonucleoside hydrolase RihA
V1000944	50S ribosomal protein L1
V1469282	Glutathione transport system permease protein GsiC
V1016291	pyridoxamine 5'-phosphate oxidase%2C FMN-binding family
V1064534	DNA-directed RNA polymerase subunit beta
V1042143	Alcohol dehydrogenase 1
V1181200	hypothetical protein
