gene	geneProduct
V1001305	putative MFS-type transporter YhjX
V1064553	chromosome segregation protein SMC
V1016072	DNA replication initiation protein gpA
V1000390	preprotein translocase subunit SecY
V1605177	hypothetical protein
V1016074	capsid protein
V1001201	Fructose-bisphosphate aldolase
V1000961	anaerobic ribonucleotide reductase-activating protein
V1462044	Elongation factor Tu
V1000962	Anaerobic ribonucleoside-triphosphate reductase
V1806712	Maltose/maltodextrin-binding protein precursor
V1000814	Triosephosphate isomerase
V1002828	Folate ECF transporter S component FolT
V1001250	Maltose phosphorylase
V1016073	minor spike protein
V1301806	Folate ECF transporter S component FolT
V1256203	Pyruvate oxidase
V1806742	ATP-dependent zinc metalloprotease FtsH
V1001253	Glucan 1%2C6-alpha-glucosidase
V1598369	Enolase
V1001104	Phosphoenolpyruvate-protein phosphotransferase
V1000815	Phosphoglycerate kinase
V1806743	DNA-directed RNA polymerase subunit beta'
V1510897	chromosome segregation protein
V1462039	EIIAB-Man
V1162893	UGMP family protein
V1001309	6-phospho-alpha-glucosidase 1
V1034627	chromosome segregation protein SMC
V1000907	6-phosphofructokinase
V1000407	Helix-destabilizing protein
V1000860	Vegetative protein 209
V1000383	50S ribosomal protein L16
V1001053	Purine nucleoside receptor A
V1001054	Purine nucleoside receptor A
V1000378	50S ribosomal protein L3
V1001183	F-ATPase gamma subunit
V1547333	chromosome segregation protein SMC
V1000816	Glyceraldehyde-3-phosphate dehydrogenase
V1000376	Vegetative protein 19
V1001437	Serine hydroxymethyltransferase 2
V1541158	major spike protein
V1257375	30S ribosomal protein S1
V1207150	30S ribosomal protein S8
V1001078	Folate ECF transporter S component FolT
V1150709	Multicopper oxidase mco
V1143245	50S ribosomal protein L15
V1001336	Acetyltransferase YpeA
V1000956	Exo-glucosaminidase LytG precursor
V1001181	F-type ATPase subunit b
V1000391	Adenylate kinase
V1256223	Enolase
V1000781	Stress protein H5
V1001016	Rod shape-determining protein MreB
V1001337	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1000221	NADH peroxidase
V1000358	putative endopeptidase YafL precursor
V1000861	Elongation factor Ts
V1301183	Oligopeptide-binding protein AppA precursor
V1000373	DNA-directed RNA polymerase subunit beta
V1890551	hypothetical protein
V1462246	50S ribosomal protein L14
V1000385	50S ribosomal protein L24
V1000734	50S ribosomal protein L21
V1204532	Calcium-transporting ATPase
V1001184	ATP synthase subunit beta
V1001060	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
V1002229	Transposase DDE domain protein
V1302301	50S ribosomal protein L2
V1064214	external scaffolding protein
V1001026	Cell division protein FtsZ
V1001077	PTS system mannose-specific EIIC component
V1150830	Pyridoxamine 5'-phosphate oxidase
V1001308	PTS system maltose-specific EIICB component
V1210751	50S ribosomal protein L10
V1000386	50S ribosomal protein L5
V1001012	Valine--tRNA ligase
V1836857	Isoleucine--tRNA ligase
V1150412	putative endopeptidase YafL precursor
V1891079	hypothetical protein
V1836860	MucBP domain protein
V1000382	hypothetical protein
V1806747	50S ribosomal protein L11
V1143683	DNA-directed RNA polymerase subunit alpha
V1302819	preprotein translocase subunit SecY
V1001076	product=hypothetical protein
V1303324	Serine/threonine-protein kinase C
V1001252	Trehalose import ATP-binding protein SugC
V1001040	D-alanyl-lipoteichoic acid biosynthesis protein DltD
V1001157	Trigger factor
V1891385	50S ribosomal protein L29
V1000743	Recombination protein N
V1000406	hypothetical protein
V1001296	Aminopeptidase N
V1001182	F-type ATPase subunit delta
V1001254	Maltose transport system permease protein MalF
V1000950	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1836869	Glutathione transport system permease protein GsiC
V1150496	ATP synthase subunit alpha
V1000957	Neutral endopeptidase
V1000801	Phosphoglucosamine mutase
V1159981	F-ATPase subunit 6
V1257385	Translation initiation factor IF-2
V1000384	hypothetical protein
V1000731	FeS cluster assembly protein SufB
V1886895	50S ribosomal protein L13
V1001274	Ornithine carbamoyltransferase
V1301143	putative endopeptidase YafL precursor
V1000387	50S ribosomal protein L6
V1000867	DNA polymerase III PolC-type
V1001275	Carbamate kinase 1
V1000793	putative transcriptional regulatory protein
V1209840	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1541136	hypothetical protein
V1001255	Maltose transport system permease protein MalG
V1001251	Beta-phosphoglucomutase
V1001230	Glucose-6-phosphate isomerase
V1001603	Lipid A export ATP-binding/permease protein MsbA
V1001276	Arginine deiminase
V1806762	hypothetical protein
V1001075	hypothetical protein
V1000969	putative endopeptidase p60 precursor
V1000388	hypothetical protein
V1000740	Exodeoxyribonuclease 7 large subunit
V1001379	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
V1000650	Lipoteichoic acid synthase 1
V1000277	Fumarate hydratase class II
V1581231	50S ribosomal protein L13
V1000405	DNA gyrase subunit A
V1001249	Intracellular maltogenic amylase
V1000922	Recombinase A
V1836836	C protein alpha-antigen precursor
V1000741	Farnesyl diphosphate synthase
V1001186	Rod shape-determining protein MreB
V1207166	Lysine--tRNA ligase
V1000409	Bifunctional oligoribonuclease and PAP phosphatase NrnA
V1000229	Asparagine--tRNA ligase
V1000925	preprotein translocase subunit SecA
V1001042	D-alanine--poly(phosphoribitol) ligase subunit 1
V1001380	RTX-I toxin determinant B
V1302774	Glyceraldehyde-3-phosphate dehydrogenase
V1150432	RNAP delta factor
V1001039	FmtA-like protein
V1149748	Translation initiation factor IF-3
V1755676	50S ribosomal protein L2
V1000247	DNA primase
V1555322	putative endopeptidase YafL precursor
V1162891	Alanine--tRNA ligase
V1000276	Fumarate reductase flavoprotein subunit precursor
V1001480	CysJI operon transcriptional activator
V1301152	Exo-glucosaminidase LytG precursor
V1829441	D-lactate dehydrogenase
V1257540	Ribonuclease Y
V1000392	Translation initiation factor IF-1
V1420625	Purine nucleoside receptor A
V1006032	D-alanyl-lipoteichoic acid biosynthesis protein DltB
V1162954	Trigger factor
V1162889	Plasmin-sensitive surface protein
