gene	count	length
V1694047	64162	228
V1872766	60016	2184
V1693489	49772	288
V1033557	45116	1017
V1886005	34840	1215
V1338863	33463	1779
V1204502	24874	2223
V1033079	23586	963
V1033549	22397	1287
V1034259	22088	1191
V1366240	19579	795
V1150427	18759	918
V1884596	18041	711
V1047042	16312	1131
V1162957	15877	1440
V1032670	15140	729
V1033558	13054	1293
V1806611	12661	1050
V1033096	11889	939
V1872734	11887	432
V1034630	11587	483
V1887313	11496	321
V1032620	11475	1059
V1033097	11475	3189
V1032341	11435	441
V1033003	11355	1734
V1216924	11331	1464
V1033120	10878	639
V1033821	10864	753
V1684120	10650	897
V1885172	10560	1527
V1887290	10402	534
V1032210	9588	714
V1033629	9399	1854
V1032513	9354	513
V1032333	9257	744
V1033682	9138	1074
V1033091	8886	444
V1884825	8627	213
V1047240	8527	1488
V1204335	8489	396
V1891370	8468	1179
V1047208	8352	2094
V1212521	8305	480
V1032750	8183	774
V1032751	8058	1026
V1033306	7960	1332
V1046993	7833	507
V1033129	7732	1521
V1032342	7622	1440
V1883114	7581	600
V1851961	7564	2178
V1002229	7442	858
V1032715	7410	1500
V1884418	7349	1641
V1033428	7342	1008
V1552800	7292	951
V1204587	7133	837
V1032829	7102	1209
V1032631	7062	1227
V1033501	6965	258
V1047061	6961	2010
V1046995	6944	963
V1884576	6867	921
V1032825	6740	1296
V1339799	6712	822
V1884575	6639	609
V1034213	6632	729
V1032826	6629	657
V1047264	6622	468
V1806595	6503	462
V1608729	6464	1830
V1032814	6448	675
V1032815	6443	441
V1883385	6411	435
V1143661	6379	1638
V1592983	6370	9618
V1148979	6337	501
V1886313	6207	1032
V1203355	6186	1143
V1046991	6069	714
V1047291	6047	732
V1047177	6000	2265
V1148992	5967	258
V1580955	5932	588
V1033559	5861	759
V1163652	5840	2169
V1033172	5834	285
V1033133	5825	948
V1032681	5803	972
V1000642	5797	1299
V1033464	5767	1338
V1000596	5674	1635
V1033261	5656	834
V1034296	5656	1842
V1883121	5592	858
V1000639	5554	1017
V1851967	5534	1083
V1047294	5528	2934
V1032978	5502	297
V1883097	5475	2337
V1033902	5358	447
V1552772	5341	1770
V1884691	5261	2193
V1577228	5237	1896
V1608705	5231	1407
V1033493	5161	273
V1338881	5136	222
V1033444	5124	426
V1880007	5114	2172
V1143274	5049	1368
V1828827	5037	225
V1032309	5027	1626
V1032527	5024	744
V1032514	4895	363
V1046994	4875	549
V1101430	4815	1551
V1034179	4735	1029
V1807974	4689	1050
V1032763	4683	1476
V1882317	4580	717
V1033375	4566	1299
V1033550	4556	756
V1338876	4531	1449
V1047181	4487	1302
V1032374	4467	1515
V1684175	4364	1239
V1882158	4344	705
V1552701	4310	894
V1206514	4300	1041
V1032397	4251	1101
V1828851	4225	528
V1033346	4168	2652
V1808084	4167	750
V1886281	4109	774
V1033341	4106	1662
V1032371	4099	942
V1032807	4072	645
V1464571	4056	1452
V1033740	4046	1056
V1755566	4017	357
V1872751	4012	1809
V1032638	3967	2622
V1163789	3967	738
V1032612	3961	375
V1033650	3941	990
V1032372	3934	1287
V1828860	3933	2913
V1000638	3921	1068
V1684156	3910	1551
V1338860	3907	1704
V1034438	3901	198
V1032808	3892	618
V1806605	3859	675
V1032641	3848	4311
V1032809	3843	306
V1032984	3802	507
V1886314	3792	603
V1885045	3744	1254
V1148985	3710	1302
V1552805	3670	987
V1199367	3634	849
V1684119	3618	1227
V1032473	3617	1572
V1149190	3617	1047
V1032339	3608	990
V1032801	3605	369
V1047277	3594	786
V1033426	3584	921
V1047287	3578	1449
V1885167	3574	384
V1034199	3560	924
V1149298	3536	1350
V1884278	3532	3870
V1032819	3528	237
V1684155	3526	3639
V1033474	3521	894
V1684154	3509	3660
V1033322	3485	1140
V1552804	3477	1335
V1033869	3462	537
V1032528	3408	573
V1883305	3379	2073
V1032410	3356	1620
V1033490	3351	378
V1162988	3349	1035
V1891261	3321	3564
V1033347	3311	2991
V1033098	3289	1086
V1033034	3278	201
V1047152	3274	1950
V1032218	3271	774
V1033004	3270	747
V1000134	3263	549
V1033276	3250	2802
V1000534	3249	720
V1033168	3249	903
V1886198	3240	513
V1032630	3217	1107
V1882237	3213	681
V1000122	3187	1191
V1032792	3183	1812
V1887307	3160	1800
V1796878	3142	942
V1033728	3134	693
V1808158	3091	1035
V1034206	3063	1404
V1033170	3058	2364
V1890890	3041	3120
V1684181	3040	1442
V1884638	3031	594
V1339929	3018	981
V1032330	3002	1218
V1000116	2993	1770
V1033848	2991	552
V1364867	2982	120
V1033216	2968	432
V1032381	2957	2739
V1204769	2947	372
V1163759	2936	1086
V1755580	2935	960
V1032211	2918	1284
V1807953	2912	1473
V1202532	2909	669
V1755579	2909	2346
V1032206	2871	1947
V1033139	2849	1005
V1886306	2846	2502
V1872750	2843	1179
V1047076	2834	753
V1806647	2810	1830
V1032303	2800	921
V1033392	2792	1239
V1796915	2791	3780
V1033542	2785	525
V1047314	2775	603
V1032337	2771	1194
V1033050	2768	1056
V1796922	2766	1407
V1886719	2761	753
V1032822	2759	507
V1032558	2758	1353
V1047060	2742	1821
V1033117	2725	2397
V1033565	2725	1113
V1046989	2712	585
V1101490	2712	1251
V1032769	2703	660
V1884555	2703	3615
V1032395	2689	1134
V1032679	2689	3495
V1032628	2686	1722
V1033099	2676	1278
V1033302	2675	1296
V1884563	2667	549
V1032563	2666	1659
V1032592	2664	669
V1033250	2664	258
V1033514	2662	693
V1684153	2660	837
V1032699	2651	1314
V1806652	2648	351
V1032301	2647	1440
V1032578	2640	240
V1149059	2624	3018
V1016072	2617	1569
V1032228	2616	1083
V1796843	2612	2439
V1047007	2595	2064
V1684174	2586	153
V1481385	2578	870
V1032302	2569	1431
V1684144	2560	1278
V1033416	2550	615
V1547338	2541	291
V1047229	2526	2628
V1032201	2518	1554
V1206519	2511	552
V1032232	2500	987
V1033056	2495	1095
V1032373	2491	240
V1032818	2490	369
V1424786	2487	729
V1032731	2483	1236
V1033427	2479	810
V1033633	2475	672
V1033614	2463	1683
V1883370	2463	3660
V1032713	2456	408
V1047215	2437	2538
V1162609	2434	549
V1032468	2433	1101
V1047070	2433	2109
V1684088	2432	1227
V1101399	2425	1146
V1047113	2422	2031
V1032820	2418	543
V1552699	2409	1383
V1883278	2407	894
V1392216	2400	1011
V1755585	2392	1968
V1032824	2389	441
V1047236	2389	2193
V1032407	2388	1386
V1033782	2380	1077
V1891294	2357	465
V1032299	2354	2025
V1047301	2349	957
V1828790	2347	960
V1000040	2338	2190
V1033121	2338	303
V1033391	2332	795
V1552781	2325	4857
V1755541	2323	447
V1033101	2318	543
V1033541	2317	444
V1032983	2303	309
V1032316	2299	429
V1852092	2295	525
V1204782	2286	6384
V1885137	2278	1356
V1338859	2265	2343
V1034244	2251	1680
V1883274	2249	1221
V1032649	2247	717
V1047109	2247	1368
V1684135	2236	1179
V1882983	2225	2997
V1684092	2222	1362
V1033119	2216	882
V1684075	2212	1104
V1755587	2212	375
V1000004	2208	939
V1033100	2208	957
V1033256	2205	2391
V1032292	2200	1497
V1000640	2194	1215
V1430275	2189	1515
V1032728	2186	1368
V1806596	2176	1029
V1033757	2161	1242
V1684093	2152	1257
V1912442	2152	996
V1033202	2151	2781
V1047211	2148	3528
V1032664	2127	2370
V1796890	2127	678
V1032227	2121	750
V1032293	2117	831
V1389855	2116	204
V1033393	2103	462
V1808108	2099	159
V1032652	2096	1281
V1016074	2093	1284
V1047313	2093	177
V1872749	2081	1179
V1032979	2079	312
V1032880	2075	2481
V1047159	2074	2295
V1033033	2070	1854
V1338889	2060	1878
V1692640	2059	1287
V1032601	2058	1881
V1032901	2057	357
V1615860	2057	7791
V1806660	2052	405
V1032595	2051	2010
V1684079	2049	432
V1047288	2045	1875
V1880086	2039	1176
V1033468	2037	1332
V1047111	2029	813
V1032665	2026	2307
V1000627	2016	1632
V1033258	2002	1305
V1199409	2000	936
V1912438	1993	5448
V1450945	1990	1986
V1032903	1986	3570
V1032216	1982	813
V1034371	1981	267
V1032741	1972	1017
V1032629	1959	2265
V1033090	1955	396
V1033127	1954	1392
V1033667	1954	1200
V1032605	1951	951
V1033030	1950	2250
V1032217	1943	792
V1882160	1934	246
V1033157	1933	1206
V1150387	1928	1578
V1199358	1926	816
V1033002	1923	267
V1033253	1922	1128
V1033229	1921	291
V1796834	1919	2262
V1886311	1903	390
V1149097	1902	5523
V1880898	1900	1674
V1033077	1876	219
V1033321	1866	1152
V1033349	1864	1101
V1034262	1862	486
V1033126	1858	936
V1032571	1854	1377
V1032827	1852	222
V1755551	1852	345
V1883267	1852	135
V1032634	1851	1050
V1358422	1848	594
V1032639	1844	1224
V1032565	1831	2232
V1032804	1827	1422
V1552799	1820	1311
V1148961	1817	1245
V1338861	1812	1794
V1033188	1802	924
V1032767	1801	2703
V1032313	1795	402
V1684077	1795	1428
V1033138	1794	852
V1033115	1793	894
V1149070	1790	1461
V1143301	1786	1236
V1032940	1777	1092
V1819389	1777	849
V1032393	1773	1245
V1032349	1762	630
V1883337	1762	906
V1000305	1761	1287
V1034221	1759	1725
V1886371	1754	1140
V1033035	1747	357
V1882220	1723	1716
V1481435	1720	1740
V1032402	1711	2400
V1101424	1706	1329
V1884616	1706	1290
V1891247	1702	1020
V1389104	1699	351
V1891332	1699	5532
V1884583	1697	342
V1033707	1696	873
V1149220	1686	132
V1032719	1682	936
V1033691	1682	1329
V1032434	1678	2421
V1882253	1674	852
V1755600	1673	729
V1033813	1663	573
V1806610	1662	1575
V1047172	1660	957
V1149058	1658	1863
V1033669	1656	1422
V1033624	1653	504
V1819404	1652	414
V1885082	1646	435
V1033642	1640	414
V1431607	1640	441
V1046990	1639	735
V1000546	1638	1215
V1032882	1637	1131
V1000943	1630	426
V1000487	1620	915
