gene	count	length
V1177462	128696	282
V1337358	103157	1176
V1567909	93786	246
V1167012	86707	978
V1067936	68804	2265
V1728013	42284	441
V1394389	39564	1239
V1166924	35661	1902
V1036256	34785	1341
V1614891	31930	333
V1368901	31683	927
V1036177	30670	1794
V1066646	25987	1341
V1181936	25009	2007
V1145548	24792	1503
V1342924	23089	2238
V1806808	23038	2496
V1295229	22875	96
V1884207	22728	1410
V1393646	22569	285
V1445200	21822	552
V1414120	21791	147
V1036164	21295	1626
V1145082	19844	1863
V1422497	18215	294
V1013684	17954	1320
V1462086	17503	312
V1038361	17319	1230
V1366835	17107	819
V1037518	16619	381
V1070888	16559	1551
V1036259	16396	2250
V1484064	16373	681
V1834858	16237	573
V1103115	15920	1284
V1574627	15915	231
V1121567	15853	168
V1036425	15779	558
V1171816	14591	153
V1081232	14275	2376
V1364027	14259	1365
V1362379	14229	972
V1549573	13766	336
V1574482	13706	288
V1075948	13557	1167
V1362785	13408	1389
V1337573	12929	447
V1036115	12529	699
V1037512	11628	552
V1074313	11378	228
V1168807	11270	240
V1038252	11237	1005
V1067937	11173	732
V1168094	10994	585
V1190199	10987	2247
V1066144	10899	267
V1157772	10793	762
V1006055	10566	1356
V1067114	10421	1686
V1265052	10260	1296
V1065438	10203	1620
V1162245	10062	2490
V1737033	9960	693
V1367590	9794	864
V1157569	9720	855
V1200593	9587	1335
V1313683	9396	855
V1109394	9296	840
V1144748	9280	573
V1834832	9249	9669
V1460939	9178	192
V1806795	9066	1089
V1036274	9038	1356
V1239597	8999	735
V1085154	8861	423
V1068939	8822	2286
V1421438	8758	843
V1145034	8682	3774
V1037422	8579	543
V1036261	8459	924
V1138953	8323	1938
V1200931	8199	552
V1038267	8050	2031
V1367838	8030	2148
V1526141	7971	2646
V1145663	7927	2130
V1367285	7866	1245
V1345614	7731	1167
V1834818	7648	321
V1036191	7630	564
V1383841	7513	618
V1368877	7480	714
V1445419	7440	1488
V1034175	7411	1230
V1312248	7389	1374
V1036826	7370	2757
V1139744	7370	5721
V1375699	7364	528
V1006110	7259	336
V1383881	7198	1116
V1040344	7152	234
V1362787	7120	363
V1553994	7050	459
V1145315	6766	996
V1235913	6712	1551
V1036479	6709	2004
V1066910	6658	1548
V1037423	6636	1662
V1036988	6605	2418
V1036176	6597	1338
V1367869	6566	663
V1006125	6491	900
V1036270	6487	813
V1067454	6485	1887
V1557734	6460	1302
V1266177	6320	1818
V1035957	6265	1344
V1362482	6262	108
V1162256	6251	711
V1140854	6169	2925
V1368546	6124	1620
V1445347	6111	3804
V1162252	6102	1470
V1036367	6094	1920
V1037884	6067	819
V1496913	6045	354
V1554521	6032	456
V1037074	6017	2238
V1013092	6006	2253
V1230382	6000	891
V1067558	5938	1020
V1162280	5924	5769
V1819269	5873	1221
V1388913	5856	192
V1065923	5758	1398
V1554033	5731	279
V1066664	5692	1737
V1036378	5689	768
V1067088	5524	864
V1067559	5490	1254
V1238100	5466	648
V1496602	5396	825
V1036773	5388	2115
V1313175	5377	1296
V1036258	5335	834
V1384369	5269	516
V1036092	5245	1497
V1524332	5163	5973
V1138581	5151	2631
V1198628	5112	573
V1036111	5055	1302
V1038272	5044	1698
V1036616	5018	1335
V1185703	5012	282
V1069093	5009	1494
V1137087	4999	2178
V1038263	4942	9579
V1036907	4941	1083
V1038271	4910	1683
V1445352	4902	939
V1383877	4830	1284
V1067061	4803	1788
V1355511	4788	1719
V1363891	4768	906
V1036465	4752	2391
V1527021	4733	1236
V1341888	4704	1602
V1111738	4661	321
V1067115	4658	582
V1265423	4639	660
V1036260	4581	2010
V1144728	4500	2622
V1728061	4444	969
V1037426	4429	747
V1103133	4416	732
V1158372	4409	1488
V1237403	4381	1104
V1037687	4378	1632
V1036298	4346	1425
V1036841	4346	2310
V1481110	4299	801
V1036483	4266	1665
V1035843	4224	336
V1067099	4209	984
V1037254	4194	897
V1066648	4187	3939
V1337287	4167	729
V1363555	4167	1380
V1464834	4165	756
V1036481	4161	1467
V1724620	4114	147
V1037678	4078	675
V1265557	4072	1425
V1066613	4043	912
V1036959	4009	1962
V1036127	4008	2652
V1368264	3997	921
V1036227	3979	1629
V1068297	3962	1371
V1389977	3962	303
V1181333	3956	1440
V1383833	3950	756
V1553877	3940	807
V1036169	3929	1407
V1066640	3914	1230
V1036422	3909	2049
V1295099	3909	1380
V1065536	3889	1425
V1036839	3865	1098
V1037345	3851	2706
V1576072	3848	285
V1036795	3835	789
V1042838	3832	972
V1036684	3825	2322
V1373601	3809	1554
V1373615	3799	3090
V1103096	3779	2172
V1036611	3765	495
V1370810	3734	198
V1105335	3713	1572
V1445140	3709	1989
V1040198	3692	1638
V1687755	3692	384
V1036282	3688	774
V1066655	3686	1320
V1031979	3683	774
V1201875	3665	2199
V1036407	3661	1053
V1373597	3654	2601
V1036458	3647	846
V1032135	3645	1626
V1380123	3644	855
V1482769	3627	1395
V1036565	3605	1707
V1318362	3601	480
V1553792	3588	708
V1013685	3580	990
V1036223	3579	1926
V1194952	3577	771
V1806766	3557	1779
V1172076	3551	1185
V1200468	3535	432
V1067581	3530	1686
V1274094	3504	414
V1036101	3498	1797
V1265568	3487	543
V1072900	3484	1398
V1367794	3469	1350
V1354174	3450	258
V1384074	3429	465
V1065916	3417	1410
V1445191	3408	2178
V1036186	3401	1794
V1032070	3400	2484
V1301930	3397	459
V1010320	3350	1434
V1190195	3341	1527
V1295007	3332	2709
V1036171	3313	2028
V1190192	3298	1698
V1724791	3295	138
V1386621	3289	927
V1066917	3284	2718
V1445304	3278	3585
V1230290	3275	330
V1036516	3265	1362
V1431452	3263	828
V1154487	3260	972
V1421911	3255	459
V1190158	3249	801
V1364166	3249	498
V1067455	3233	1173
V1464364	3216	1026
V1042435	3213	1071
V1383824	3204	1473
V1146465	3196	933
V1018179	3194	651
V1065484	3192	288
V1036118	3190	2325
V1013250	3183	222
V1040197	3182	273
V1501533	3168	402
V1513839	3161	1431
V1806864	3146	1878
V1002465	3138	702
V1074483	3138	567
V1084588	3126	1488
V1036961	3121	720
V1237649	3121	1092
V1036872	3113	1035
V1006265	3112	261
V1201556	3111	3837
V1167248	3105	1578
V1036680	3089	1128
V1526826	3080	3066
V1486976	3060	672
V1037064	3059	2175
V1705041	3044	1407
V1065535	3026	1464
V1560688	3022	2004
