gene	count	length
V1852142	14272	1302
V1423289	13551	1266
V1481385	7188	870
V1034630	6459	483
V1016072	6259	1569
V1483404	6048	1866
V1016074	4926	1284
V1035222	4775	4479
V1882989	4669	7992
V1503164	4221	9888
V1390179	3942	2844
V1016073	3804	987
V1503141	3579	9558
V1164548	3360	3666
V1565357	2938	1782
V1211148	2890	426
V1481433	2829	2418
V1000079	2470	2448
V1035134	2468	1323
V1464532	2423	2307
V1001468	2327	2415
V1464571	2023	1452
V1046739	1997	2721
V1541158	1994	582
V1000534	1957	720
V1000639	1911	1017
V1836804	1883	1512
V1204231	1843	2640
V1150430	1798	7041
V1445551	1786	9102
V1000301	1744	2253
V1836803	1737	1284
V1034906	1729	3069
V1851965	1716	2742
V1298012	1701	3252
V1136952	1673	1917
V1064200	1644	1842
V1162285	1643	3102
V1046766	1602	9891
V1465413	1602	1425
V1000074	1598	1893
V1000502	1591	1143
V1000634	1577	2817
V1204223	1575	7362
V1000122	1567	1191
V1481459	1566	6969
V1064214	1549	459
V1150418	1545	1221
V1552718	1545	2568
V1000627	1543	1632
V1000642	1539	1299
V1257303	1538	1326
V1522031	1532	1227
V1000500	1531	2019
V1000040	1518	2190
V1000527	1512	2091
V1162881	1510	1749
V1592983	1488	9618
V1458257	1480	2028
V1000129	1460	1899
V1852053	1446	1314
V1420563	1442	1971
V1420585	1437	1809
V1000638	1411	1068
V1594651	1409	1329
V1295196	1393	1386
V1000090	1390	1311
V1464441	1389	2643
V1000168	1372	2874
V1000886	1361	1290
V1000004	1359	939
V1552751	1344	1104
V1851961	1339	2178
V1355907	1336	1557
V1836820	1335	1560
V1334761	1332	1641
V1000549	1327	2274
V1000526	1317	2310
V1458297	1311	1131
V1000082	1310	1374
V1430377	1299	1728
V1430275	1296	1515
V1046741	1295	1950
V1552722	1291	1395
V1000318	1288	2415
V1552777	1283	3591
V1000605	1274	2361
V1213480	1264	1062
V1403121	1260	1407
V1162259	1257	1497
V1323334	1256	1593
V1000573	1250	1155
V1356248	1242	1323
V1836805	1237	2097
V1000601	1234	2721
V1886582	1232	2412
V1000057	1229	990
V1541133	1229	1395
V1592992	1228	1509
V1562518	1227	2487
V1000630	1226	2400
V1000640	1226	1215
V1064534	1217	3699
V1481435	1214	1740
V1431607	1208	441
V1000643	1205	2277
V1548376	1194	1035
V1000081	1192	2016
V1035174	1179	1065
V1836815	1174	1539
V1000326	1170	1932
V1836833	1161	11382
V1035223	1141	2250
V1541162	1139	9300
V1000633	1138	1998
V1338858	1137	1326
V1203355	1125	1143
V1164541	1122	2181
V1150309	1120	3324
V1000313	1100	2385
V1851983	1098	2235
V1000827	1087	996
V1481312	1087	1500
V1018798	1082	1935
V1481441	1074	1437
V1594784	1072	915
V1034901	1071	1470
V1576136	1065	957
