gene	count	length
V1034630	239016	483
V1339799	92986	822
V1143274	91792	1368
V1886719	47563	753
V1852092	47294	525
V1358422	44902	594
V1000639	42711	1017
V1464571	41099	1452
V1000642	37495	1299
V1000534	33244	720
V1000122	33093	1191
V1364867	30308	120
V1431607	29581	441
V1000116	29088	1770
V1912442	25753	996
V1339929	22256	981
V1000004	21329	939
V1852039	20968	555
V1073967	20828	564
V1000546	20363	1215
V1000836	20330	279
V1836823	19838	375
V1430275	18854	1515
V1164548	18683	3666
V1000046	18206	477
V1851961	18194	2178
V1580955	17837	588
V1000943	17700	426
V1000549	17174	2274
V1000305	16716	1287
V1203355	16425	1143
V1000487	16375	915
V1000129	15844	1899
V1481435	15557	1740
V1000596	15152	1635
V1256184	15090	795
V1577228	14994	1896
V1000545	14940	1350
V1000627	14816	1632
V1000080	14740	297
V1000079	14621	2448
V1439186	13982	405
V1000638	13616	1068
V1887021	13601	1341
V1306539	13580	552
V1000527	13485	2091
V1886336	13347	282
V1481338	13323	579
V1552772	12976	1770
V1573648	12573	240
V1043485	12074	309
V1034595	11825	786
V1000570	11787	1044
V1000040	11770	2190
V1852016	11677	129
V1886416	11577	1017
V1000944	11349	693
V1432502	11155	591
V1000106	11154	1677
V1000886	11140	1290
V1290863	11068	1302
V1000075	11038	372
V1163593	10836	1755
V1000630	10724	2400
V1093074	10715	510
V1000640	10712	1215
V1852050	10646	2157
V1836804	10536	1512
V1135971	10443	2004
V1034832	10415	1902
V1340884	10272	429
V1576144	10271	1308
V1836805	9768	2097
V1851967	9603	1083
V1464170	9579	1515
V1552804	9474	1335
V1000510	9342	561
V1000821	9287	1101
V1392169	9259	363
V1889488	9207	333
V1392006	9170	387
V1000840	9039	954
V1000841	9012	570
V1000845	8858	1341
V1886986	8828	204
V1000548	8776	663
V1001368	8720	990
V1423344	8651	1422
V1000625	8632	1104
V1592992	8632	1509
V1000001	8496	396
V1000828	8435	2046
V1580717	8387	414
V1195882	8359	870
V1553618	8292	894
V1000171	8232	1752
V1000134	8044	549
V1204223	8030	7362
V1301126	8022	1830
V1886517	7831	576
V1880077	7471	1347
V1607589	7466	1551
V1000143	7456	879
V1483410	7362	1842
V1000018	7158	675
V1000003	7156	384
V1000518	7130	807
V1006020	7130	837
V1888216	7003	1431
V1553523	6953	942
V1006727	6931	1188
V1519450	6895	447
V1592983	6864	9618
V1553668	6861	1308
V1000172	6859	930
V1420590	6836	1278
V1000021	6750	630
V1392216	6739	1011
V1143984	6737	573
V1481385	6693	870
V1491714	6579	1425
V1162881	6555	1749
V1000017	6554	438
V1482513	6536	2103
V1033869	6534	537
V1198583	6361	4116
V1144358	6287	267
V1390055	6204	324
V1144304	6201	342
V1547338	6142	291
V1369981	6076	861
V1036606	6074	501
V1143837	6065	273
V1102439	6054	720
V1000312	6024	162
V1295374	6023	1467
V1574099	6014	798
V1360328	5945	165
V1000025	5935	243
V1000643	5934	2277
V1000307	5853	1338
V1000082	5825	1374
V1420563	5825	1971
V1000184	5805	1218
V1033902	5704	447
V1295196	5664	1386
V1059001	5639	1065
V1392051	5629	1029
V1000044	5584	1950
V1852133	5550	408
V1886558	5497	351
V1852094	5492	1305
V1000151	5489	273
V1363976	5398	1776
V1364877	5393	441
V1382281	5392	300
V1882083	5386	168
V1107920	5383	1056
V1323707	5370	867
V1420559	5339	3171
V1612021	5339	429
V1886712	5326	1212
V1882887	5311	528
V1000499	5282	1440
V1203300	5248	1689
V1144133	5235	426
V1392504	5201	168
V1000023	5200	993
V1340131	5113	774
V1886965	5090	444
V1000563	5084	627
V1552777	5078	3591
V1356383	5074	897
V1000093	5042	2286
V1381763	5009	918
V1852109	4904	1302
V1430573	4893	360
V1078022	4881	357
V1481324	4875	1434
V1191213	4852	2637
V1000835	4780	1368
V1552729	4760	678
V1608313	4748	450
V1836833	4723	11382
V1430753	4715	1890
V1356068	4709	1698
V1064534	4706	3699
V1033891	4705	204
V1481366	4698	930
V1391945	4695	936
V1037207	4670	663
V1000057	4660	990
V1580709	4655	216
V1000502	4653	1143
V1503139	4646	2349
V1000317	4632	525
V1299127	4606	2154
V1075411	4586	933
V1888223	4540	819
V1000300	4515	1839
V1076034	4508	627
V1033925	4496	198
V1000081	4490	2016
V1158426	4462	810
V1042869	4450	948
V1588328	4447	297
V1574082	4442	1281
V1016072	4419	1569
V1000326	4398	1932
V1104333	4392	993
V1000304	4391	1872
V1000834	4388	1464
V1298017	4336	1008
V1400168	4334	840
V1000882	4319	1200
V1608875	4289	372
V1593053	4284	1353
V1000644	4282	459
V1000641	4278	756
V1000842	4265	753
V1167440	4180	1344
V1000162	4176	1137
V1076330	4153	465
V1552718	4135	2568
V1000827	4132	996
V1000547	4128	1104
V1469363	4105	864
V1000045	4068	483
V1879918	4053	438
V1483459	4034	1653
V1594784	4034	915
V1000475	4009	279
V1000144	3981	774
V1000574	3963	1728
V1852084	3959	366
V1203395	3950	414
V1295109	3931	1578
V1164541	3921	2181
V1482595	3916	621
V1464441	3908	2643
V1237186	3898	2427
V1043585	3877	273
V1144329	3873	309
V1553655	3865	519
V1381099	3862	741
V1000076	3860	141
V1836829	3857	1623
V1000175	3846	216
V1339886	3837	432
V1851995	3832	954
V1000503	3820	2664
V1000617	3816	861
V1552739	3810	876
V1852108	3806	759
V1552764	3785	1407
V1000552	3779	954
V1264072	3749	483
V1852138	3730	893
V1615860	3724	7791
V1006021	3720	360
V1836820	3690	1560
V1000533	3684	1623
V1886582	3677	2412
V1211148	3666	426
V1042355	3632	987
V1581223	3626	405
V1000039	3610	714
V1886598	3601	468
V1886538	3600	351
V1016074	3591	1284
V1000008	3589	651
V1000892	3549	1353
V1886431	3544	207
V1033803	3531	960
V1481442	3503	5304
V1888250	3496	804
V1151052	3494	7704
V1887155	3432	1164
V1101641	3427	597
V1852083	3421	588
V1000066	3404	1173
V1008711	3389	4848
V1339711	3388	519
V1552713	3384	1353
V1033474	3359	894
V1491698	3344	2709
V1481434	3338	633
V1144385	3315	222
V1006735	3311	1347
V1431066	3308	396
V1000558	3303	750
V1607575	3281	4287
V1553617	3269	2817
V1043994	3265	660
V1886629	3259	888
V1000301	3258	2253
V1339870	3243	1107
V1001477	3240	423
V1000011	3227	360
V1001475	3220	891
V1000298	3207	444
V1552751	3202	1104
V1001468	3200	2415
V1500383	3189	1317
V1879897	3187	498
V1000077	3152	1143
V1064607	3149	5193
V1301158	3145	1086
V1522724	3143	1353
V1886653	3137	1941
V1000132	3132	2286
V1432307	3132	690
V1297375	3125	186
V1000009	3118	441
V1060343	3112	360
V1595331	3098	678
V1149854	3087	366
V1000564	3079	1263
V1000074	3046	1893
V1469348	3046	276
V1576760	3032	399
V1580898	3032	516
V1364188	3024	1278
V1836824	3023	801
V1149263	3021	444
V1143404	3017	222
V1593006	3014	5889
V1006728	3008	837
V1000833	2969	1128
V1469298	2964	636
V1000500	2956	2019
V1000013	2948	399
V1000109	2933	1314
V1000299	2930	834
V1469572	2916	303
V1481433	2905	2418
V1000330	2903	816
V1594750	2902	576
V1000318	2896	2415
V1836815	2892	1539
V1366482	2881	420
V1046767	2866	2709
V1000505	2858	699
V1481472	2858	108
V1851978	2852	1308
V1852121	2846	1557
V1000168	2836	2874
V1886377	2816	1098
V1594051	2813	1293
V1886966	2809	264
V1469301	2803	306
V1000185	2793	1620
V1000551	2766	1749
V1137029	2762	978
V1595138	2761	762
V1000085	2755	1227
V1430720	2753	837
V1000601	2750	2721
V1836819	2748	1008
V1481312	2740	1500
V1553632	2738	978
V1000047	2736	801
V1541133	2734	1395
V1580921	2727	657
V1074742	2723	414
V1484050	2714	126
