gene	count	length
V1177462	121436	282
V1154487	68755	972
V1422497	63506	294
V1342924	63321	2238
V1414120	57885	147
V1039094	49911	570
V1728013	46820	441
V1567909	41599	246
V1393646	41489	285
V1007844	28435	2427
V1067936	24035	2265
V1574482	21508	288
V1322633	18243	105
V1010451	16388	1230
V1524769	16107	2676
V1181936	14610	2007
V1736951	13437	1380
V1292722	13208	846
V1109609	13001	1449
V1137152	12987	1356
V1235967	12818	276
V1066646	12693	1341
V1329314	12364	1602
V1200593	11457	1335
V1007084	11448	270
V1008395	11085	2478
V1013090	10228	993
V1237635	10202	1389
V1431274	10037	969
V1013092	9992	2253
V1066910	9930	1548
V1411137	9763	441
V1103535	9622	969
V1066144	9366	267
V1103115	9053	1284
V1103096	8986	2172
V1067937	8858	732
V1881261	8537	921
V1069376	8406	1518
V1411952	7976	288
V1595642	7912	243
V1139748	7872	1050
V1047883	7857	528
V1008714	7698	2274
V1362379	7693	972
V1105638	7375	1401
V1042838	7324	972
V1268246	7291	864
V1111563	7202	459
V1007943	6951	777
V1087726	6815	1266
V1265029	6757	972
V1462086	6724	312
V1035957	6682	1344
V1344061	6593	1758
V1066664	6425	1737
V1516671	6409	249
V1230019	6359	972
V1564466	6343	1863
V1583622	6335	621
V1110058	6251	864
V1105335	6250	1572
V1065433	6228	1338
V1442734	6192	1296
V1008385	6143	1440
V1574627	6116	231
V1040344	6097	234
V1121567	6042	168
V1067278	6041	1029
V1393635	5960	1461
V1007060	5866	1011
V1394159	5863	981
V1069093	5859	1494
V1200167	5846	189
V1067558	5815	1020
V1011471	5814	1017
V1008595	5809	276
V1139530	5755	2346
V1068297	5753	1371
V1038810	5749	435
V1008216	5634	1626
V1553886	5537	1401
V1007440	5494	672
V1171816	5491	153
V1159100	5439	1629
V1066160	5395	1077
V1795643	5347	360
V1013898	5300	417
V1145030	5292	975
V1465337	5290	1344
V1011530	5284	996
V1066648	5123	3939
V1532476	5104	405
V1121000	5099	2145
V1066645	5084	1707
V1173676	5022	117
V1190192	5011	1698
V1160682	5010	600
V1074835	5007	1629
V1363555	4997	1380
V1045063	4968	162
V1408929	4960	2706
V1463976	4866	519
V1104488	4863	1335
V1505538	4825	1185
V1190195	4764	1527
V1007441	4754	2787
V1045125	4730	432
V1066640	4724	1230
V1200606	4642	1116
V1009331	4631	285
V1009361	4619	990
V1736881	4583	1338
V1007951	4544	852
V1386949	4543	531
V1232082	4517	123
V1355408	4513	1620
V1010072	4505	1101
V1381248	4489	1251
V1506464	4489	1221
V1014561	4467	219
